Date,Open,High,Low,Close,Adj Close,Volume
1989-06-22,6.062500,6.093750,5.718750,5.781250,4.370455,1746400
1989-06-23,5.781250,5.875000,5.687500,5.875000,4.441325,2356000
1989-06-26,5.875000,5.968750,5.812500,5.812500,4.394076,533200
1989-06-27,5.937500,6.093750,5.937500,6.000000,4.535822,2098000
1989-06-28,6.000000,6.000000,5.781250,5.781250,4.370455,856400
1989-06-29,5.781250,5.843750,5.656250,5.718750,4.323205,1496000
1989-06-30,5.718750,5.718750,5.562500,5.687500,4.299583,606400
1989-07-03,5.687500,5.687500,5.625000,5.656250,4.275959,127200
1989-07-05,5.687500,5.687500,5.625000,5.687500,4.299583,668400
1989-07-06,5.687500,5.875000,5.656250,5.843750,4.417700,1311600
1989-07-07,5.937500,6.000000,5.812500,5.906250,4.464950,1616800
1989-07-10,5.937500,6.125000,5.937500,6.125000,4.630319,975200
1989-07-11,6.125000,6.281250,6.125000,6.187500,4.677566,1833200
1989-07-12,6.250000,6.312500,6.093750,6.093750,4.606692,1640400
1989-07-13,6.125000,6.125000,5.843750,5.968750,4.512197,2386800
1989-07-14,6.000000,6.062500,5.937500,6.000000,4.535822,1527600
1989-07-17,6.062500,6.093750,6.000000,6.093750,4.606692,1277200
1989-07-18,6.093750,6.093750,5.968750,5.968750,4.512197,1643600
1989-07-19,6.031250,6.031250,5.843750,5.875000,4.441325,2506000
1989-07-20,5.937500,6.218750,5.937500,6.062500,4.583069,2471200
1989-07-21,6.062500,6.125000,6.000000,6.093750,4.606692,1890400
1989-07-24,6.093750,6.093750,5.968750,5.968750,4.512197,1080000
1989-07-25,6.000000,6.062500,5.968750,6.062500,4.583069,1612800
1989-07-26,6.093750,6.187500,6.062500,6.125000,4.630319,4258000
1989-07-27,6.187500,6.375000,6.187500,6.312500,4.772063,7722400
1989-07-28,6.343750,6.375000,6.281250,6.312500,4.772063,3185600
1989-07-31,6.281250,6.312500,6.156250,6.281250,4.748438,2185600
1989-08-01,6.281250,6.312500,6.187500,6.281250,4.748438,3455200
1989-08-02,6.250000,6.281250,6.187500,6.187500,4.677566,3822000
1989-08-03,6.187500,6.250000,6.156250,6.250000,4.724814,3407600
1989-08-04,6.156250,6.312500,6.156250,6.312500,4.772063,1885600
1989-08-07,6.312500,6.312500,6.125000,6.156250,4.653941,2147600
1989-08-08,6.187500,6.250000,6.156250,6.250000,4.724814,2505600
1989-08-09,6.250000,6.312500,6.250000,6.281250,4.748438,2747200
1989-08-10,6.250000,6.312500,6.187500,6.218750,4.701188,4166000
1989-08-11,6.312500,6.312500,6.250000,6.281250,4.748438,2558800
1989-08-14,6.250000,6.281250,6.156250,6.156250,4.653941,2912000
1989-08-15,6.187500,6.187500,5.937500,5.968750,4.512197,2775600
1989-08-16,6.000000,6.218750,5.968750,5.968750,4.512197,3040400
1989-08-17,6.031250,6.062500,5.937500,6.062500,4.583069,1970000
1989-08-18,6.031250,6.093750,6.000000,6.093750,4.606692,1364400
1989-08-21,6.031250,6.125000,6.031250,6.062500,4.583069,1891600
1989-08-22,6.031250,6.156250,6.031250,6.093750,4.606692,1999200
1989-08-23,6.093750,6.187500,6.062500,6.156250,4.653941,1092400
1989-08-24,6.156250,6.218750,6.125000,6.218750,4.701188,2400000
1989-08-25,6.218750,6.250000,6.156250,6.187500,4.677566,861200
1989-08-28,6.187500,6.187500,6.093750,6.125000,4.630319,1054800
1989-08-29,6.125000,6.156250,6.000000,6.062500,4.583069,2449200
1989-08-30,6.062500,6.156250,6.031250,6.156250,4.653941,1654400
1989-08-31,6.125000,6.218750,6.125000,6.187500,4.677566,1598800
1989-09-01,6.187500,6.281250,6.187500,6.250000,4.724814,1911600
1989-09-05,6.250000,6.281250,6.218750,6.218750,4.701188,2658000
1989-09-06,6.218750,6.218750,6.093750,6.125000,4.630319,1264800
1989-09-07,5.500000,5.531250,5.125000,5.187500,3.921594,12668800
1989-09-08,5.218750,5.250000,4.968750,5.062500,3.827100,7364000
1989-09-11,5.062500,5.093750,4.875000,5.062500,3.827100,6420000
1989-09-12,5.031250,5.093750,4.937500,5.000000,3.779850,2242400
1989-09-13,4.968750,5.093750,4.968750,4.968750,3.756225,4391600
1989-09-14,4.968750,5.000000,4.937500,4.968750,3.756225,3736000
1989-09-15,5.000000,5.031250,4.937500,4.968750,3.756225,5024400
1989-09-18,4.968750,4.968750,4.906250,4.968750,3.756225,2668000
1989-09-19,4.937500,5.000000,4.750000,4.781250,3.614483,2683200
1989-09-20,4.750000,4.812500,4.718750,4.781250,3.614483,1377200
1989-09-21,4.812500,4.812500,4.656250,4.656250,3.519986,980800
1989-09-22,4.656250,4.687500,4.500000,4.531250,3.425490,3218800
1989-09-25,4.562500,4.718750,4.562500,4.656250,3.519986,4335600
1989-09-26,4.718750,4.812500,4.718750,4.718750,3.567236,3874400
1989-09-27,4.718750,4.781250,4.687500,4.687500,3.543610,1645200
1989-09-28,4.687500,4.812500,4.687500,4.781250,3.614483,2245600
1989-09-29,4.781250,4.781250,4.718750,4.718750,3.567236,1075600
1989-10-02,4.750000,4.781250,4.718750,4.750000,3.590860,979600
1989-10-03,4.750000,5.031250,4.750000,5.000000,3.779850,2903600
1989-10-04,5.000000,5.125000,4.937500,5.062500,3.827100,2246800
1989-10-05,5.062500,5.125000,5.031250,5.093750,3.850724,820400
1989-10-06,5.062500,5.125000,5.031250,5.062500,3.827100,1576400
1989-10-09,5.062500,5.250000,5.062500,5.250000,3.968843,646000
1989-10-10,5.187500,5.218750,5.093750,5.125000,3.874350,1354400
1989-10-11,5.062500,5.187500,5.062500,5.093750,3.850724,1558000
1989-10-12,5.093750,5.125000,4.875000,4.968750,3.756225,2108800
1989-10-13,4.968750,4.968750,4.656250,4.656250,3.519986,1500000
1989-10-16,4.593750,4.875000,4.562500,4.718750,3.567236,2530800
1989-10-17,4.687500,4.781250,4.656250,4.750000,3.590860,2694400
