Date,Open,High,Low,Close,Adj Close,Volume
1994-02-22,7.375000,7.375000,7.250000,7.250000,3.613605,20800
1994-02-23,7.125000,7.125000,6.750000,6.937500,3.457846,31600
1994-02-24,6.937500,6.937500,6.812500,6.812500,3.395543,32000
1994-02-25,6.687500,6.687500,6.250000,6.437500,3.208632,49800
1994-02-28,6.500000,6.750000,6.437500,6.625000,3.302088,170400
1994-03-01,6.625000,6.625000,6.500000,6.562500,3.270935,41600
1994-03-02,6.437500,6.562500,6.437500,6.562500,3.270935,67000
1994-03-03,6.625000,6.625000,6.500000,6.500000,3.239784,27800
1994-03-04,6.500000,6.750000,6.437500,6.750000,3.364389,358200
1994-03-07,6.437500,6.812500,6.437500,6.750000,3.364389,690800
1994-03-08,6.750000,6.812500,6.750000,6.812500,3.395543,515200
1994-03-09,6.812500,6.875000,6.812500,6.875000,3.426695,540400
1994-03-10,6.875000,6.875000,6.812500,6.875000,3.426695,1832200
1994-03-11,6.937500,7.187500,6.937500,7.187500,3.582455,1895400
1994-03-14,7.187500,7.625000,7.187500,7.562500,3.769364,1413800
1994-03-15,7.562500,7.687500,7.437500,7.437500,3.707058,1665200
1994-03-16,7.437500,7.437500,7.312500,7.437500,3.707058,717000
1994-03-17,7.437500,7.687500,7.437500,7.562500,3.794875,971200
1994-03-18,7.625000,7.687500,7.625000,7.625000,3.826239,1178000
1994-03-21,7.625000,7.687500,7.625000,7.687500,3.857600,659400
1994-03-22,7.687500,7.875000,7.687500,7.812500,3.920325,374000
1994-03-23,7.812500,7.937500,7.750000,7.875000,3.951688,430200
1994-03-24,7.812500,7.875000,7.750000,7.750000,3.888964,747000
1994-03-25,7.812500,7.812500,7.625000,7.687500,3.857600,370000
1994-03-28,7.687500,7.687500,7.625000,7.625000,3.826239,1116200
1994-03-29,7.625000,7.687500,7.500000,7.500000,3.763512,595800
1994-03-30,7.500000,7.500000,7.312500,7.375000,3.700786,653000
1994-03-31,7.375000,7.437500,7.250000,7.375000,3.700786,448400
1994-04-04,7.125000,7.375000,7.125000,7.375000,3.700786,386600
1994-04-05,7.312500,7.687500,7.312500,7.625000,3.826239,361600
1994-04-06,7.625000,7.687500,7.375000,7.375000,3.700786,551400
1994-04-07,7.500000,7.500000,7.375000,7.437500,3.732149,338400
1994-04-08,7.312500,7.500000,7.312500,7.500000,3.763512,166000
1994-04-11,7.500000,7.625000,7.250000,7.250000,3.638062,424800
1994-04-12,7.125000,7.250000,7.125000,7.125000,3.575335,602800
1994-04-13,7.125000,7.312500,7.000000,7.000000,3.512610,504600
1994-04-14,7.062500,7.062500,6.937500,6.937500,3.481249,378200
1994-04-15,6.875000,7.062500,6.875000,6.875000,3.449888,197600
1994-04-18,7.000000,7.250000,7.000000,7.250000,3.638062,184800
1994-04-19,7.187500,7.312500,7.187500,7.250000,3.638062,122200
1994-04-20,7.312500,7.312500,7.125000,7.125000,3.575335,201400
1994-04-21,7.125000,7.312500,6.875000,6.875000,3.449888,858200
1994-04-22,7.000000,7.250000,7.000000,7.250000,3.638062,411400
1994-04-25,7.187500,7.625000,7.187500,7.625000,3.826239,330600
1994-04-26,7.562500,7.562500,7.250000,7.375000,3.700786,313400
1994-04-28,7.312500,7.312500,7.125000,7.312500,3.669423,161600
1994-04-29,7.250000,7.312500,7.187500,7.250000,3.638062,344600
1994-05-02,7.187500,7.312500,7.062500,7.187500,3.606701,135800
1994-05-03,7.250000,7.437500,7.125000,7.187500,3.606701,375200
1994-05-04,7.125000,7.375000,7.125000,7.312500,3.669423,491800
1994-05-05,7.312500,7.312500,7.187500,7.250000,3.638062,152800
1994-05-06,7.250000,7.312500,7.250000,7.250000,3.638062,272800
1994-05-09,7.250000,7.312500,7.250000,7.250000,3.638062,161600
1994-05-10,7.250000,7.500000,7.250000,7.500000,3.763512,308200
1994-05-11,7.500000,7.687500,7.500000,7.562500,3.794875,388600
1994-05-12,7.500000,7.750000,7.500000,7.750000,3.888964,155000
1994-05-13,7.687500,7.750000,7.375000,7.375000,3.700786,105200
