Date,Open,High,Low,Close,Adj Close,Volume
2013-10-10,54.150002,55.020000,51.560001,52.009998,50.078110,29240900
2013-10-11,52.259998,55.439999,51.849998,53.299999,51.320194,3245300
2013-10-14,53.180000,56.500000,53.000000,55.639999,53.573277,1018700
2013-10-15,56.380001,57.669998,55.869999,57.060001,54.940529,1566100
2013-10-16,57.400002,57.799999,55.980000,57.560001,55.421963,2233300
2013-10-17,57.500000,57.619999,53.900002,54.900002,52.860764,1985800
2013-10-18,55.299999,56.560001,52.910000,55.130001,53.082222,1017200
2013-10-21,55.000000,55.480000,54.619999,55.130001,53.082222,849200
2013-10-22,54.700001,56.009998,53.849998,54.349998,52.331188,1071600
2013-10-23,53.250000,55.000000,53.119999,54.820000,52.783737,781600
2013-10-24,54.820000,55.450001,54.480000,55.200001,53.149620,629700
2013-10-25,55.049999,56.520000,54.310001,56.380001,54.285789,536900
2013-10-28,56.000000,57.150002,55.590000,57.000000,54.882759,518900
2013-10-29,57.000000,57.220001,56.040001,56.330002,54.237656,1172600
2013-10-30,55.849998,57.080002,55.549999,56.840000,54.728703,979300
2013-10-31,56.500000,57.759998,56.020000,56.490002,54.391705,396100
2013-11-01,56.750000,57.000000,54.509998,55.150002,53.101479,987600
2013-11-04,56.950001,57.119999,54.230000,54.980000,52.937790,810100
2013-11-05,55.990002,56.000000,54.580002,55.189999,53.139988,521300
2013-11-06,55.959999,56.060001,54.880001,55.040001,52.995567,719300
2013-11-07,54.700001,54.700001,53.310001,54.000000,51.994190,1566500
2013-11-08,56.720001,56.720001,54.000000,55.639999,53.573277,708700
2013-11-11,55.150002,55.849998,54.160000,54.279999,52.263786,646400
2013-11-12,54.279999,55.060001,53.599998,54.240002,52.225277,523700
2013-11-13,54.480000,54.480000,53.770000,54.070000,52.061596,433100
2013-11-14,54.040001,54.130001,53.360001,53.799999,51.801620,362400
2013-11-15,54.000000,54.520000,53.400002,53.520000,51.532024,384200
2013-11-18,53.639999,54.150002,51.830002,52.060001,50.126251,395600
2013-11-19,52.000000,52.990002,51.889999,52.700001,50.742485,569800
2013-11-20,52.549999,53.279999,51.970001,52.669998,50.713589,383800
2013-11-21,52.750000,53.779999,52.410000,53.490002,51.503139,349800
2013-11-22,54.759998,55.980000,54.099998,55.400002,53.342197,910900
2013-11-25,55.450001,55.450001,54.430000,55.180000,53.130363,48800
2013-11-26,55.060001,55.619999,54.950001,55.099998,53.053333,409900
2013-11-27,55.119999,56.330002,54.849998,54.860001,52.822247,253700
2013-11-29,55.139999,55.709999,54.660000,54.900002,52.860764,92400
2013-12-02,54.840000,55.139999,52.720001,54.230000,52.215649,623300
2013-12-03,54.340000,55.060001,53.720001,54.340000,52.321564,885400
2013-12-04,54.000000,54.930000,53.820000,54.400002,52.379337,769200
2013-12-05,54.279999,55.009998,54.000000,54.689999,52.658562,741700
2013-12-06,54.990002,55.770000,54.160000,54.180000,52.167511,733400
2013-12-09,53.110001,54.709999,53.099998,54.299999,52.283051,575200
2013-12-10,55.740002,58.230000,55.740002,56.840000,54.728703,2043800
2013-12-11,57.000000,57.480000,55.910000,56.049999,53.968044,1287800
2013-12-12,55.900002,56.980000,55.389999,56.680000,54.574650,815700
2013-12-13,57.060001,57.070000,56.259998,56.410000,54.314674,551600
2013-12-16,56.799999,57.240002,56.340000,56.570000,54.468731,712700
2013-12-17,56.709999,58.820000,56.349998,58.459999,56.288528,787400
2013-12-18,58.560001,59.570000,58.150002,59.540001,57.328411,1041000
2013-12-19,60.349998,60.990002,58.939999,59.000000,56.808468,927200
2013-12-20,59.389999,60.250000,58.369999,59.910000,57.684669,3382100
2013-12-23,59.810001,60.529999,58.540001,60.330002,58.089066,967200
2013-12-24,60.240002,61.160000,60.240002,61.080002,58.811211,272200
2013-12-26,61.369999,62.029999,60.560001,61.000000,58.734180,242800
2013-12-27,61.259998,62.459999,60.720001,62.380001,60.062927,318900
2013-12-30,62.270000,63.189999,61.860001,62.250000,59.937752,423600
2013-12-31,62.509998,63.570000,61.340000,63.439999,61.083546,510200
2014-01-02,63.150002,63.209999,60.070000,60.980000,58.714924,1022400
2014-01-03,61.279999,61.380001,59.650002,60.720001,58.464584,524600
2014-01-06,60.810001,60.810001,58.000000,58.950001,56.760326,687600
2014-01-07,58.750000,59.099998,56.549999,57.290001,55.161995,1084400
2014-01-08,57.520000,58.369999,56.810001,57.939999,55.787846,680600
2014-01-09,58.259998,58.450001,54.790001,56.099998,54.016186,1136100
2014-01-10,56.060001,56.380001,54.779999,55.130001,53.082222,637900
2014-01-13,55.070000,55.439999,53.610001,54.450001,52.427479,1125300
2014-01-14,54.560001,55.599998,54.099998,55.369999,53.313305,550100
2014-01-15,55.639999,56.939999,55.080002,56.029999,53.948792,973500
2014-01-16,56.500000,57.560001,56.099998,57.049999,54.930901,867700
2014-01-17,57.270000,57.840000,56.369999,56.509998,54.410957,688300
2014-01-21,58.299999,58.299999,56.340000,57.200001,55.075333,658800
2014-01-22,57.500000,58.270000,57.330002,58.180000,56.018932,542900
2014-01-23,58.180000,58.700001,57.520000,58.520000,56.346302,766500
2014-01-24,57.970001,58.720001,55.009998,57.990002,55.835983,1273300
2014-01-27,58.090000,58.410000,56.669998,57.020000,54.902012,795800
2014-01-28,57.950001,59.639999,57.580002,58.959999,56.769955,755400
2014-01-29,58.310001,60.029999,57.599998,59.860001,57.636528,725100
2014-01-30,59.990002,60.000000,58.000000,58.869999,56.683300,1405100
2014-01-31,58.340000,59.430000,57.470001,58.740002,56.558132,437700
2014-02-03,59.119999,59.259998,56.869999,57.529999,55.393070,372700
2014-02-04,57.759998,58.430000,56.080002,57.580002,55.441219,1137300
2014-02-05,57.320000,58.119999,56.500000,56.779999,54.670925,627100
2014-02-06,57.000000,57.700001,56.560001,57.049999,54.930901,1391200
2014-02-07,58.290001,58.290001,55.330002,55.680000,53.611790,1050300
2014-02-10,55.700001,56.250000,55.099998,55.419998,53.361446,597500
2014-02-11,55.340000,57.070000,55.250000,56.730000,54.622787,558100
2014-02-12,57.150002,57.570000,56.389999,56.750000,54.642044,565200
2014-02-13,56.610001,57.500000,55.590000,56.790001,54.680557,711100
2014-02-14,57.000000,58.310001,56.500000,57.139999,55.017555,710800
2014-02-18,57.259998,58.270000,57.029999,57.139999,55.017555,410100
2014-02-19,57.380001,58.900002,56.810001,58.360001,56.192242,629500
2014-02-20,58.279999,58.419998,57.070000,57.639999,55.498985,369800
2014-02-21,58.080002,58.130001,55.959999,57.139999,55.017555,1462400
2014-02-24,57.470001,58.980000,57.090000,58.270000,56.105583,965500
2014-02-25,57.980000,58.950001,57.759998,58.610001,56.432957,561200
2014-02-26,58.570000,59.090000,58.029999,58.580002,56.404072,787400
2014-02-27,59.139999,62.040001,56.820000,60.669998,58.416439,1676900
2014-02-28,60.830002,61.040001,58.900002,60.340000,58.098698,756300
2014-03-03,60.340000,61.400002,57.770000,59.490002,57.280273,989700
2014-03-04,59.650002,60.090000,58.500000,59.349998,57.145470,542800
2014-03-05,59.700001,61.150002,59.049999,59.360001,57.155098,897700
2014-03-06,59.790001,61.570000,59.349998,61.009998,58.743813,836400
2014-03-07,60.970001,61.470001,60.700001,61.240002,58.965271,454700
2014-03-10,61.180000,61.540001,60.000000,60.779999,58.522350,451500
2014-03-11,61.060001,61.830002,59.950001,60.590000,58.339409,429600
