Date,Open,High,Low,Close,Adj Close,Volume
1985-01-29,7.375000,7.500000,7.375000,7.500000,0.516540,134400
1985-01-30,7.531250,7.750000,7.531250,7.750000,0.533759,282800
1985-01-31,7.750000,7.781250,7.625000,7.656250,0.527301,207600
1985-02-01,7.656250,7.718750,7.562500,7.593750,0.522998,73200
1985-02-04,7.593750,7.718750,7.500000,7.687500,0.529454,86800
1985-02-05,7.687500,7.718750,7.468750,7.687500,0.529454,96000
1985-02-06,7.687500,7.687500,7.562500,7.562500,0.520845,86400
1985-02-07,7.562500,7.750000,7.500000,7.750000,0.533759,164800
1985-02-08,7.750000,7.750000,7.687500,7.687500,0.529454,24800
1985-02-11,7.687500,7.718750,7.625000,7.625000,0.525150,20000
1985-02-12,7.562500,7.562500,7.437500,7.500000,0.516540,42400
1985-02-13,7.500000,7.625000,7.437500,7.625000,0.525150,150000
1985-02-14,7.625000,7.718750,7.625000,7.687500,0.529454,68400
1985-02-15,7.687500,7.750000,7.593750,7.593750,0.522998,70800
1985-02-19,7.593750,7.656250,7.562500,7.562500,0.520845,124800
1985-02-20,7.562500,7.656250,7.562500,7.656250,0.527301,101600
1985-02-21,7.656250,7.656250,7.500000,7.531250,0.518693,160400
1985-02-22,7.531250,7.593750,7.531250,7.562500,0.520845,18400
1985-02-25,7.562500,7.593750,7.500000,7.531250,0.518693,220000
1985-02-26,7.531250,7.562500,7.437500,7.531250,0.518693,62400
1985-02-27,7.531250,7.531250,7.343750,7.406250,0.510084,52400
1985-02-28,7.406250,7.437500,7.375000,7.375000,0.507932,20800
1985-03-01,7.375000,7.500000,7.343750,7.468750,0.514389,89600
1985-03-04,7.468750,7.531250,7.343750,7.406250,0.510084,48800
1985-03-05,7.406250,7.406250,7.312500,7.406250,0.510084,34800
1985-03-06,7.406250,7.437500,7.312500,7.406250,0.510084,22400
1985-03-07,7.406250,7.406250,7.218750,7.250000,0.499323,35600
1985-03-08,7.250000,7.343750,7.187500,7.187500,0.495018,21200
1985-03-11,7.250000,7.406250,7.250000,7.281250,0.501475,81200
1985-03-12,7.281250,7.281250,7.156250,7.187500,0.495018,27200
1985-03-13,7.187500,7.218750,7.156250,7.218750,0.497170,17600
1985-03-14,7.187500,7.187500,7.062500,7.156250,0.492866,68400
1985-03-15,7.156250,7.250000,7.156250,7.187500,0.495018,28800
1985-03-18,7.187500,7.218750,7.125000,7.156250,0.492866,40800
1985-03-19,7.187500,7.250000,7.187500,7.250000,0.499323,274400
1985-03-20,7.250000,7.250000,7.187500,7.187500,0.495018,23600
1985-03-21,7.187500,7.250000,7.187500,7.250000,0.499323,35200
1985-03-22,7.250000,7.250000,7.218750,7.250000,0.499323,83200
1985-03-25,7.250000,7.250000,7.187500,7.218750,0.497170,19600
1985-03-26,7.218750,7.250000,7.218750,7.250000,0.499323,69200
1985-03-27,7.250000,7.250000,7.187500,7.250000,0.499323,51600
1985-03-28,7.250000,7.281250,7.187500,7.281250,0.501475,70800
1985-03-29,7.281250,7.375000,7.281250,7.343750,0.505779,81600
1985-04-01,7.343750,7.375000,7.312500,7.343750,0.505779,168800
1985-04-02,7.375000,7.437500,7.375000,7.437500,0.512236,38400
1985-04-03,7.437500,7.437500,7.312500,7.437500,0.512236,26000
1985-04-04,7.437500,7.468750,7.281250,7.281250,0.501475,30000
1985-04-08,7.281250,7.437500,7.281250,7.375000,0.507932,50800
1985-04-09,7.343750,7.343750,7.250000,7.312500,0.503627,79600
1985-04-10,7.312500,7.343750,7.218750,7.312500,0.503627,32000
1985-04-11,7.312500,7.312500,7.062500,7.093750,0.488561,75600
1985-04-12,7.156250,7.250000,7.156250,7.250000,0.499323,27600
1985-04-15,7.250000,7.250000,7.125000,7.187500,0.495018,15600
