Date,Open,High,Low,Close,Adj Close,Volume
1985-06-20,2.640000,2.840000,2.640000,2.720000,2.300734,5722500
1985-06-21,2.720000,2.760000,2.680000,2.720000,2.300734,1330000
1985-06-24,2.720000,3.020000,2.720000,3.020000,2.554491,1098100
1985-06-25,3.020000,3.180000,3.000000,3.080000,2.605243,1204300
1985-06-26,3.080000,3.180000,3.020000,3.120000,2.639077,775000
1985-06-27,3.120000,3.180000,3.120000,3.140000,2.655994,371200
1985-06-28,3.140000,3.160000,2.960000,3.080000,2.605243,503100
1985-07-01,3.080000,3.180000,3.060000,3.160000,2.672911,520600
1985-07-02,3.160000,3.200000,3.120000,3.180000,2.689828,199300
1985-07-03,3.180000,3.200000,3.160000,3.160000,2.672911,80600
1985-07-05,3.160000,3.200000,3.160000,3.200000,2.706745,101200
1985-07-08,3.180000,3.180000,3.060000,3.060000,2.588325,128100
1985-07-09,3.060000,3.100000,3.040000,3.040000,2.571408,137500
1985-07-10,3.040000,3.040000,2.900000,3.000000,2.537573,300000
1985-07-11,3.020000,3.100000,3.020000,3.020000,2.554491,86200
1985-07-12,3.020000,3.080000,3.000000,3.000000,2.537573,120600
1985-07-15,3.000000,3.020000,2.960000,3.000000,2.537573,139300
1985-07-16,3.000000,3.000000,2.980000,3.000000,2.537573,125000
1985-07-17,3.000000,3.040000,2.980000,3.020000,2.554491,63100
1985-07-18,3.020000,3.060000,2.980000,2.980000,2.520656,375600
1985-07-19,2.980000,3.180000,2.980000,3.100000,2.622160,102500
1985-07-22,3.100000,3.160000,3.080000,3.140000,2.655994,92500
1985-07-23,3.140000,3.160000,3.040000,3.040000,2.571408,82500
1985-07-24,3.040000,3.160000,3.000000,3.140000,2.655994,142500
1985-07-25,3.140000,3.180000,3.140000,3.160000,2.672911,50600
1985-07-26,3.160000,3.160000,3.120000,3.120000,2.639077,69300
1985-07-29,3.120000,3.160000,3.040000,3.040000,2.571408,60600
1985-07-30,3.040000,3.080000,2.940000,3.040000,2.571408,246200
1985-07-31,3.040000,3.240000,3.040000,3.200000,2.706745,254300
1985-08-01,3.280000,3.500000,3.280000,3.480000,2.943586,175000
1985-08-02,3.480000,3.500000,3.380000,3.400000,2.875917,129300
1985-08-05,3.400000,3.400000,3.320000,3.320000,2.808248,132500
1985-08-06,3.320000,3.380000,3.320000,3.360000,2.842083,138100
1985-08-07,3.320000,3.320000,3.200000,3.240000,2.740580,191800
1985-08-08,3.240000,3.300000,3.220000,3.260000,2.757497,75000
1985-08-09,3.240000,3.240000,3.200000,3.220000,2.723662,40600
1985-08-12,3.160000,3.160000,2.960000,3.060000,2.588325,141800
1985-08-13,3.060000,3.120000,3.000000,3.040000,2.571408,52500
1985-08-14,3.040000,3.060000,2.960000,3.040000,2.571408,121800
1985-08-15,3.040000,3.060000,3.020000,3.020000,2.554491,30600
1985-08-16,3.020000,3.040000,2.960000,2.980000,2.520656,66200
1985-08-19,2.980000,2.980000,2.880000,2.880000,2.436072,164300
1985-08-20,2.880000,2.940000,2.820000,2.940000,2.486823,100600
1985-08-21,2.940000,3.000000,2.940000,3.000000,2.537573,22500
1985-08-22,3.000000,3.020000,2.960000,3.020000,2.554491,40000
1985-08-23,3.000000,3.000000,2.940000,2.940000,2.486823,92500
1985-08-26,2.980000,3.000000,2.980000,3.000000,2.537573,6800
1985-08-27,3.000000,3.020000,3.000000,3.000000,2.537573,45600
1985-08-28,3.000000,3.000000,2.980000,3.000000,2.537573,3100
1985-08-29,3.000000,3.020000,2.980000,3.020000,2.554491,100000
1985-08-30,3.020000,3.020000,3.000000,3.020000,2.554491,40000
1985-09-03,3.020000,3.020000,2.980000,2.980000,2.520656,10000
1985-09-04,2.980000,2.980000,2.880000,2.920000,2.469906,44300
1985-09-05,2.920000,2.940000,2.880000,2.940000,2.486823,61800
1985-09-06,2.980000,3.000000,2.980000,2.980000,2.520656,35600
1985-09-09,2.980000,3.020000,2.940000,3.020000,2.554491,168100
1985-09-10,3.020000,3.020000,2.920000,2.940000,2.486823,230600
1985-09-11,2.960000,3.120000,2.960000,3.120000,2.639077,183100
1985-09-12,3.160000,3.220000,3.160000,3.180000,2.689828,210000
1985-09-13,3.180000,3.220000,3.160000,3.160000,2.672911,111200
1985-09-16,3.160000,3.180000,3.120000,3.160000,2.672911,31800
1985-09-17,3.160000,3.200000,3.140000,3.140000,2.655994,83100
1985-09-18,3.120000,3.120000,3.060000,3.120000,2.639077,41200
1985-09-19,3.120000,3.200000,3.120000,3.160000,2.672911,63700
1985-09-20,3.180000,3.200000,3.180000,3.200000,2.706745,13100
1985-09-23,3.200000,3.320000,3.140000,3.140000,2.655994,38100
1985-09-24,3.140000,3.180000,3.060000,3.160000,2.672911,45600
1985-09-25,3.160000,3.180000,3.100000,3.100000,2.622160,14300
1985-09-26,3.100000,3.140000,3.060000,3.100000,2.622160,30600
1985-09-30,3.100000,3.200000,3.060000,3.200000,2.706745,115000
1985-10-01,3.200000,3.300000,3.160000,3.280000,2.774414,83700
1985-10-02,3.320000,3.420000,3.320000,3.360000,2.842083,105000
1985-10-03,3.360000,3.380000,3.300000,3.340000,2.825166,220600
1985-10-04,3.340000,3.360000,3.320000,3.320000,2.808248,103700
1985-10-07,3.340000,3.480000,3.340000,3.400000,2.875917,49300
1985-10-08,3.380000,3.380000,3.320000,3.340000,2.825166,38100
1985-10-09,3.360000,3.440000,3.360000,3.440000,2.909751,58100
1985-10-10,3.440000,3.440000,3.320000,3.360000,2.842083,50000
1985-10-11,3.340000,3.340000,3.280000,3.280000,2.774414,65000
1985-10-14,3.280000,3.380000,3.260000,3.380000,2.859000,22500
1985-10-15,3.380000,3.420000,3.320000,3.380000,2.859000,46800
1985-10-16,3.380000,3.440000,3.380000,3.440000,2.909751,35600
1985-10-17,3.440000,3.520000,3.420000,3.460000,2.926669,133100
1985-10-18,3.460000,3.520000,3.440000,3.460000,2.926669,63100
1985-10-21,3.500000,3.660000,3.500000,3.660000,3.095840,168100
1985-10-22,3.660000,3.720000,3.540000,3.600000,3.045089,187500
1985-10-23,3.600000,3.680000,3.540000,3.600000,3.045089,156800
1985-10-24,3.600000,3.660000,3.520000,3.600000,3.045089,130000
1985-10-25,3.600000,3.660000,3.600000,3.620000,3.062006,93700
1985-10-28,3.620000,3.680000,3.620000,3.680000,3.112757,126800
1985-10-29,3.680000,3.880000,3.660000,3.760000,3.180426,428700
1985-10-30,3.780000,3.840000,3.780000,3.840000,3.248095,256800
1985-10-31,3.840000,3.940000,3.800000,3.860000,3.265012,183100
1985-11-01,3.860000,4.040000,3.860000,4.040000,3.417267,165000
1985-11-04,4.040000,4.160000,3.980000,4.040000,3.417267,191200
1985-11-05,4.040000,4.100000,4.000000,4.100000,3.468017,231800
1985-11-06,4.080000,4.080000,4.020000,4.020000,3.400349,130600
1985-11-07,3.980000,3.980000,3.560000,3.780000,3.197343,232500
1985-11-08,3.780000,3.860000,3.720000,3.820000,3.231177,78100
1985-11-11,3.840000,3.940000,3.840000,3.900000,3.298846,97500
1985-11-12,3.920000,4.160000,3.920000,4.160000,3.518769,393700
1985-11-13,4.160000,4.240000,4.120000,4.120000,3.484935,76800
1985-11-14,4.160000,4.480000,4.160000,4.400000,3.721774,265000
1985-11-15,4.400000,4.480000,4.340000,4.420000,3.738692,283100
1985-11-18,4.420000,4.460000,4.340000,4.440000,3.755610,158700
1985-11-19,4.440000,4.480000,4.280000,4.340000,3.671023,133100
1985-11-20,4.320000,4.320000,4.220000,4.260000,3.603356,167500
1985-11-21,4.260000,4.340000,4.180000,4.340000,3.671023,206200
1985-11-22,4.340000,4.360000,4.240000,4.280000,3.620272,41200
1985-11-25,4.280000,4.380000,4.200000,4.220000,3.569520,89300
1985-11-26,4.240000,4.360000,4.200000,4.280000,3.620272,125000
1985-11-27,4.280000,4.280000,3.960000,4.040000,3.417267,427500
1985-11-29,4.120000,4.560000,4.120000,4.480000,3.789443,272500
1985-12-02,4.480000,4.520000,4.360000,4.360000,3.687941,95000
1985-12-03,4.360000,4.520000,4.360000,4.400000,3.721774,42500
1985-12-04,4.400000,4.600000,4.400000,4.480000,3.789443,89300
1985-12-05,4.520000,5.160000,4.520000,4.800000,4.060119,176800
1985-12-06,4.800000,4.880000,4.760000,4.840000,4.093952,265600
1985-12-09,4.840000,5.160000,4.760000,5.040000,4.263125,165000
1985-12-10,5.040000,5.440000,4.960000,5.440000,4.601468,219300
1985-12-11,5.400000,5.400000,5.040000,5.040000,4.263125,328300
1985-12-12,5.120000,5.320000,5.120000,5.120000,4.330792,82500
1985-12-13,5.120000,5.120000,5.040000,5.080000,4.296958,48700
1985-12-16,5.080000,5.080000,4.800000,4.840000,4.093952,117500
1985-12-17,4.840000,4.880000,4.440000,4.520000,3.823279,144300
1985-12-18,4.520000,4.520000,4.440000,4.480000,3.789443,1913700
1985-12-19,4.480000,4.720000,4.480000,4.720000,3.992448,911800
1985-12-20,4.680000,4.680000,4.520000,4.600000,3.890946,508700
1985-12-23,4.600000,4.680000,4.520000,4.560000,3.857112,148700
1985-12-24,4.560000,4.560000,4.480000,4.560000,3.857112,221200
1985-12-26,4.560000,4.600000,4.480000,4.520000,3.823279,73300
1985-12-27,4.520000,4.640000,4.520000,4.640000,3.924779,80800
1985-12-30,4.640000,4.840000,4.560000,4.760000,4.026284,196200
1985-12-31,4.760000,5.280000,4.760000,5.000000,4.229290,215800
1986-01-02,5.000000,5.120000,4.760000,4.920000,4.161622,169600
1986-01-03,4.920000,4.960000,4.800000,4.840000,4.093952,65000
1986-01-06,4.840000,5.040000,4.760000,4.920000,4.161622,120600
1986-01-07,4.920000,5.120000,4.880000,5.080000,4.296958,121800
1986-01-08,5.080000,5.160000,4.720000,4.720000,3.992448,95000
1986-01-09,4.720000,4.920000,4.720000,4.760000,4.026284,202500
1986-01-10,4.760000,4.800000,4.720000,4.800000,4.060119,203700
1986-01-13,4.800000,4.960000,4.800000,4.960000,4.195457,80800
1986-01-14,4.960000,5.040000,4.800000,4.920000,4.161622,180000
1986-01-15,4.920000,5.160000,4.920000,5.160000,4.364626,87500
1986-01-16,5.160000,5.240000,5.120000,5.240000,4.432295,268300
1986-01-17,5.240000,5.440000,5.160000,5.320000,4.499964,229600
1986-01-20,5.320000,5.400000,5.240000,5.360000,4.533799,177500
1986-01-21,5.360000,5.400000,5.160000,5.240000,4.432295,102100
1986-01-22,5.240000,5.360000,5.120000,5.160000,4.364626,127100
1986-01-23,5.160000,5.280000,5.120000,5.160000,4.364626,72500
1986-01-24,5.160000,5.240000,5.080000,5.240000,4.432295,43100
1986-01-27,5.280000,5.600000,5.280000,5.520000,4.669136,266200
1986-01-28,5.520000,5.680000,5.520000,5.640000,4.770638,103100
1986-01-29,5.640000,5.760000,5.520000,5.520000,4.669136,167500
1986-01-30,5.520000,5.640000,5.360000,5.520000,4.669136,89300
1986-01-31,5.520000,5.760000,5.520000,5.640000,4.770638,41200
1986-02-03,5.640000,5.640000,5.440000,5.520000,4.669136,200800
1986-02-04,5.520000,5.640000,5.520000,5.560000,4.702970,33100
1986-02-05,5.560000,5.600000,5.480000,5.520000,4.669136,15600
1986-02-06,5.520000,5.640000,5.480000,5.600000,4.736803,43300
1986-02-07,5.600000,5.600000,5.480000,5.480000,4.635302,35600
1986-02-10,5.480000,5.600000,5.440000,5.560000,4.702970,112100
1986-02-11,5.560000,5.600000,5.480000,5.520000,4.669136,83100
1986-02-12,5.600000,5.720000,5.600000,5.680000,4.804472,62100
1986-02-13,5.720000,6.080000,5.720000,6.000000,5.075147,123100
1986-02-14,6.000000,6.160000,6.000000,6.040000,5.108982,94600
1986-02-18,6.040000,6.560000,6.040000,6.480000,5.481159,217100
1986-02-19,6.560000,7.360000,6.560000,6.920000,5.853337,286800
1986-02-20,6.920000,6.920000,6.600000,6.720000,5.684166,138700
1986-02-21,6.720000,6.840000,6.640000,6.720000,5.684166,188700
1986-02-24,6.720000,6.880000,6.680000,6.720000,5.684166,66200
1986-02-25,6.720000,6.800000,6.600000,6.600000,5.582663,176800
1986-02-26,6.600000,6.840000,6.200000,6.760000,5.718000,193100
1986-02-27,6.760000,7.000000,6.720000,6.880000,5.819503,166200
1986-02-28,6.960000,7.160000,6.960000,7.040000,5.954840,315000
1986-03-03,7.040000,7.160000,6.920000,7.120000,6.022508,138300
1986-03-04,7.120000,7.640000,7.120000,7.320000,6.191679,188100
1986-03-05,7.400000,7.720000,7.400000,7.600000,6.428520,285000
1986-03-06,7.600000,8.000000,7.520000,7.520000,6.360853,182500
1986-03-07,7.560000,7.920000,7.560000,7.680000,6.496189,117500
1986-03-10,7.680000,7.920000,7.600000,7.800000,6.597692,101800
1986-03-11,7.800000,7.960000,7.600000,7.640000,6.462355,152500
1986-03-12,7.640000,7.640000,7.280000,7.440000,6.293183,493100
1986-03-13,7.440000,7.520000,7.200000,7.360000,6.225514,183700
1986-03-14,7.360000,7.560000,7.320000,7.440000,6.293183,270000
1986-03-17,7.440000,7.480000,7.040000,7.280000,6.157845,88700
1986-03-18,7.560000,7.920000,7.560000,7.800000,6.597692,209300
1986-03-19,7.800000,7.920000,7.200000,7.680000,6.496189,181200
1986-03-20,7.680000,7.680000,7.360000,7.400000,6.259349,56800
1986-03-21,7.480000,7.920000,7.480000,7.840000,6.631526,529300
1986-03-24,7.840000,8.120000,7.680000,8.040000,6.800698,275000
1986-03-25,8.040000,8.200000,8.040000,8.160000,6.902201,183700
1986-03-26,8.160000,8.600000,8.160000,8.600000,7.274379,171200
1986-03-27,8.600000,9.080000,8.600000,8.760000,7.409714,186200
1986-03-31,8.760000,8.800000,8.400000,8.640000,7.308213,151800
1986-04-01,8.640000,8.800000,8.600000,8.680000,7.342047,182500
1986-04-02,8.680000,8.720000,8.520000,8.640000,7.308213,123300
1986-04-03,8.640000,9.080000,8.560000,8.800000,7.443548,81200
1986-04-04,8.800000,9.000000,8.800000,8.920000,7.545052,90000
1986-04-07,8.920000,8.920000,8.320000,8.400000,7.105208,216200
1986-04-08,8.400000,8.640000,8.120000,8.640000,7.308213,263100
1986-04-09,8.680000,8.800000,8.680000,8.760000,7.409714,40000
1986-04-10,8.760000,8.880000,8.640000,8.720000,7.375882,101800
1986-04-11,8.720000,8.760000,8.440000,8.480000,7.172875,50000
1986-04-14,8.480000,8.640000,8.400000,8.480000,7.172875,52100
1986-04-15,8.480000,8.480000,8.320000,8.400000,7.105208,32500
1986-04-16,8.400000,8.600000,8.360000,8.520000,7.206712,183100
1986-04-17,8.520000,8.560000,8.400000,8.440000,7.139041,101800
1986-04-18,8.440000,8.520000,8.400000,8.400000,7.105208,48100
1986-04-21,8.400000,8.520000,8.400000,8.440000,7.139041,30800
1986-04-22,8.440000,8.440000,8.240000,8.320000,7.037538,75800
1986-04-23,8.320000,8.320000,7.960000,8.320000,7.037538,290000
1986-04-24,8.320000,8.480000,8.280000,8.320000,7.037538,50600
1986-04-25,8.320000,8.440000,8.320000,8.320000,7.037538,42100
1986-04-28,8.320000,8.440000,8.320000,8.320000,7.037538,37500
1986-04-29,8.320000,8.320000,8.120000,8.160000,6.902201,78700
1986-04-30,8.160000,8.160000,7.680000,7.680000,6.496189,150800
1986-05-01,7.680000,7.960000,7.640000,7.960000,6.733029,145000
1986-05-02,8.000000,8.320000,8.000000,8.120000,6.868367,84600
1986-05-05,8.160000,8.440000,8.160000,8.440000,7.139041,84300
1986-05-06,8.400000,8.400000,8.320000,8.400000,7.105208,14600
1986-05-07,8.360000,8.360000,8.200000,8.240000,6.969869,23700
1986-05-08,8.320000,8.440000,8.320000,8.440000,7.139041,60000
1986-05-09,8.440000,8.760000,8.320000,8.640000,7.308213,102500
1986-05-12,8.680000,9.240000,8.680000,9.040000,7.646558,120000
1986-05-13,9.040000,9.080000,8.880000,9.000000,7.612721,45800
1986-05-14,9.080000,9.520000,9.080000,9.520000,8.052567,122500
1986-05-15,9.520000,9.800000,9.360000,9.440000,7.984896,300000
1986-05-16,9.480000,9.760000,9.480000,9.720000,8.221738,186800
1986-05-19,9.720000,10.000000,9.640000,9.840000,8.323243,108700
1986-05-20,9.840000,10.280000,9.840000,10.200000,8.627750,182500
1986-05-21,10.320000,10.800000,10.320000,10.600000,8.966097,308300
1986-05-22,10.600000,10.760000,9.920000,10.160000,8.593916,447500
1986-05-23,10.560000,12.000000,10.560000,11.280000,9.541277,678300
1986-05-27,11.360000,12.200000,11.360000,12.200000,10.319467,400000
1986-05-28,12.160000,12.160000,11.640000,11.720000,9.913456,271200
1986-05-29,11.720000,11.800000,11.520000,11.640000,9.845785,241200
1986-05-30,11.640000,11.760000,11.440000,11.520000,9.744287,178700
1986-06-02,11.520000,11.640000,10.760000,11.000000,9.304438,220000
1986-06-03,11.000000,11.160000,10.360000,11.120000,9.405939,413700
1986-06-04,11.120000,11.280000,11.080000,11.120000,9.405939,215600
1986-06-05,11.160000,11.520000,11.160000,11.360000,9.608944,122500
1986-06-06,11.440000,11.960000,11.440000,11.800000,9.981125,130800
1986-06-09,11.800000,12.200000,11.240000,11.360000,9.608944,303300
1986-06-10,11.360000,11.920000,11.280000,11.480000,9.710449,113300
1986-06-11,11.520000,12.160000,11.520000,12.080000,10.217963,142500
1986-06-12,12.080000,12.120000,11.840000,12.120000,10.251797,109600
1986-06-13,12.120000,12.920000,12.120000,12.760000,10.793147,260000
1986-06-16,12.680000,12.680000,12.040000,12.240000,10.353301,261800
1986-06-17,12.240000,13.440000,11.840000,12.560000,10.623977,246300
1986-06-18,12.960000,14.000000,12.960000,13.680000,11.571338,1316800
1986-06-19,14.160000,15.120000,14.160000,14.160000,11.977347,824300
1986-06-20,14.160000,14.480000,13.840000,14.240000,12.045016,265300
1986-06-23,14.240000,14.400000,13.040000,13.120000,11.097655,254700
1986-06-24,13.120000,13.680000,12.880000,13.520000,11.436000,337200
1986-06-25,13.520000,14.240000,13.520000,14.240000,12.045016,199700
1986-06-26,14.240000,14.480000,13.920000,14.400000,12.180354,207800
1986-06-27,14.400000,14.640000,13.440000,13.760000,11.639006,126200
1986-06-30,13.760000,14.320000,13.760000,14.000000,11.842012,73500
1986-07-01,14.000000,14.160000,13.200000,13.440000,11.368332,145200
1986-07-02,13.440000,13.760000,12.800000,13.520000,11.436000,70700
1986-07-03,13.520000,13.840000,13.360000,13.600000,11.503669,72000
1986-07-07,13.600000,14.000000,11.840000,12.320000,10.420972,345100
1986-07-08,11.760000,11.760000,10.880000,11.440000,9.676615,414100
1986-07-09,11.600000,12.320000,11.600000,11.920000,10.082625,278200
1986-07-10,11.920000,12.240000,10.560000,10.720000,9.067597,488800
1986-07-11,10.720000,11.840000,10.640000,11.440000,9.676615,420000
1986-07-14,11.360000,11.360000,10.800000,10.800000,9.135268,186200
1986-07-15,10.720000,10.720000,10.000000,10.160000,8.593916,376200
1986-07-16,10.160000,10.720000,10.080000,10.240000,8.661585,203200
1986-07-17,10.240000,10.720000,10.080000,10.480000,8.864591,191200
1986-07-18,10.480000,10.560000,10.160000,10.480000,8.864591,136000
1986-07-21,10.480000,10.720000,10.400000,10.400000,8.796922,119300
1986-07-22,10.400000,10.800000,10.320000,10.640000,8.999928,96800
1986-07-23,10.640000,11.440000,10.560000,11.200000,9.473605,149300
1986-07-24,11.200000,11.520000,11.040000,11.200000,9.473605,110600
1986-07-25,11.200000,11.280000,10.880000,10.960000,9.270604,99100
1986-07-28,10.960000,11.200000,10.640000,10.880000,9.202936,106000
1986-07-29,10.880000,11.040000,10.240000,10.720000,9.067597,195800
1986-07-30,10.720000,10.720000,10.160000,10.400000,8.796922,115200
1986-07-31,10.400000,10.960000,10.400000,10.560000,8.932261,262800
1986-08-01,10.560000,10.800000,10.560000,10.560000,8.932261,27200
1986-08-04,10.560000,10.720000,10.320000,10.320000,8.729253,59600
1986-08-05,10.320000,10.560000,10.320000,10.320000,8.729253,57000
1986-08-06,10.320000,10.800000,10.320000,10.800000,9.135268,58800
1986-08-07,10.800000,10.880000,10.400000,10.560000,8.932261,135800
1986-08-08,10.560000,10.720000,10.400000,10.560000,8.932261,105100
1986-08-11,10.560000,11.120000,10.560000,11.040000,9.338271,93700
1986-08-12,11.200000,12.400000,11.200000,12.080000,10.217963,281800
1986-08-13,12.080000,12.320000,11.360000,11.360000,9.608944,174100
1986-08-14,11.440000,11.920000,11.440000,11.680000,9.879622,73200
1986-08-15,11.680000,11.760000,11.440000,11.680000,9.879622,45200
1986-08-18,11.680000,11.920000,11.360000,11.520000,9.744287,71300
1986-08-19,11.520000,11.680000,11.280000,11.360000,9.608944,66300
1986-08-20,11.200000,11.200000,11.120000,11.120000,9.405939,600100
1986-08-21,11.120000,11.280000,11.120000,11.200000,9.473605,219600
1986-08-22,11.200000,11.200000,11.040000,11.120000,9.405939,87700
1986-08-25,11.120000,11.120000,10.720000,10.880000,9.202936,168200
1986-08-26,10.880000,11.200000,10.800000,10.960000,9.270604,103500
1986-08-27,10.960000,11.200000,10.960000,10.960000,9.270604,111800
1986-08-28,10.960000,11.200000,10.960000,11.200000,9.473605,70600
1986-08-29,11.200000,11.200000,10.880000,11.040000,9.338271,49600
1986-09-02,11.040000,11.040000,10.400000,10.800000,9.135268,236200
1986-09-03,10.720000,10.720000,10.480000,10.560000,8.932261,128300
1986-09-04,10.560000,10.880000,10.560000,10.720000,9.067597,255800
1986-09-05,10.720000,10.800000,10.560000,10.560000,8.932261,58200
1986-09-08,10.560000,10.800000,10.400000,10.560000,8.932261,143800
1986-09-09,10.560000,10.560000,10.400000,10.400000,8.796922,74300
1986-09-10,10.240000,10.240000,9.200000,9.520000,8.052567,494700
1986-09-11,9.440000,9.440000,8.320000,8.640000,7.308213,706300
1986-09-12,8.640000,8.960000,8.320000,8.960000,7.578887,546200
1986-09-15,8.960000,9.280000,8.640000,8.720000,7.375882,178300
1986-09-16,8.720000,8.880000,8.480000,8.640000,7.308213,357800
1986-09-17,8.640000,8.960000,8.560000,8.880000,7.511220,187700
1986-09-18,8.880000,9.120000,8.640000,8.880000,7.511220,98800
1986-09-19,8.880000,9.440000,8.800000,9.280000,7.849558,104600
1986-09-22,9.280000,9.600000,9.280000,9.600000,8.120237,107200
1986-09-23,9.760000,10.240000,9.760000,10.160000,8.593916,142500
1986-09-24,10.160000,10.480000,10.080000,10.160000,8.593916,134500
1986-09-25,10.160000,10.320000,9.760000,10.240000,8.661585,190800
1986-09-26,10.240000,10.640000,10.080000,10.640000,8.999928,130300
1986-09-29,10.640000,10.800000,10.320000,10.640000,8.999928,124700
1986-09-30,10.640000,10.640000,10.320000,10.400000,8.796922,59700
1986-10-01,10.400000,10.640000,10.320000,10.320000,8.729253,140700
1986-10-02,10.320000,10.560000,10.320000,10.400000,8.796922,49500
1986-10-03,10.400000,10.560000,10.320000,10.320000,8.729253,62100
1986-10-06,10.320000,10.400000,10.240000,10.240000,8.661585,59600
1986-10-07,10.160000,10.160000,9.680000,9.920000,8.390913,188200
1986-10-08,9.920000,10.160000,9.680000,9.920000,8.390913,107500
1986-10-09,9.920000,9.920000,9.840000,9.920000,8.390913,72600
1986-10-10,9.920000,10.240000,9.920000,10.160000,8.593916,85000
1986-10-13,10.160000,10.240000,10.160000,10.240000,8.661585,28200
1986-10-14,10.320000,10.640000,10.320000,10.560000,8.932261,75000
1986-10-15,10.560000,10.640000,10.400000,10.400000,8.796922,65100
1986-10-16,10.400000,10.960000,10.320000,10.880000,9.202936,112000
1986-10-17,10.880000,10.880000,10.560000,10.560000,8.932261,62200
1986-10-20,10.560000,10.720000,10.080000,10.320000,8.729253,82000
1986-10-21,10.240000,10.240000,9.840000,10.080000,8.526250,50600
1986-10-22,10.080000,10.160000,9.680000,9.760000,8.255575,173800
1986-10-23,9.760000,9.840000,9.440000,9.840000,8.323243,316800
1986-10-24,9.760000,9.760000,9.520000,9.680000,8.187904,109600
1986-10-27,9.680000,9.680000,9.440000,9.520000,8.052567,59000
1986-10-28,9.520000,9.760000,9.520000,9.680000,8.187904,167800
1986-10-29,9.680000,10.000000,9.600000,9.760000,8.255575,82000
