Date,Open,High,Low,Close,Adj Close,Volume
2011-11-11,19.000000,19.000000,18.480000,18.870001,4.520172,6031900
2011-11-14,19.000000,19.090000,18.900000,18.920000,4.532149,1219400
2011-11-15,19.000000,19.080000,18.900000,19.010000,4.553707,886100
2011-11-16,19.090000,19.400000,19.020000,19.299999,4.623174,1218800
2011-11-17,19.250000,19.400000,19.200001,19.330000,4.630362,713400
2011-11-18,19.260000,19.340000,19.150000,19.250000,4.611197,510500
2011-11-21,19.190001,19.500000,19.059999,19.260000,4.613593,443800
2011-11-22,19.299999,19.379999,19.170000,19.299999,4.623174,312700
2011-11-23,19.250000,19.299999,19.059999,19.059999,4.565682,563000
2011-11-25,19.150000,19.469999,19.059999,19.059999,4.565682,291200
2011-11-28,19.450001,19.450001,19.160000,19.389999,4.644733,703900
2011-11-29,19.490000,19.740000,19.250000,19.709999,4.721387,667200
2011-11-30,19.940001,19.950001,19.730000,19.930000,4.774086,881900
2011-12-01,19.950001,19.950001,19.799999,19.910000,4.769295,416100
2011-12-02,19.950001,20.260000,19.820000,19.959999,4.781271,643600
2011-12-05,20.000000,20.000000,19.559999,19.799999,4.742946,690800
2011-12-06,19.930000,20.129999,19.780001,19.910000,4.769295,1611000
2011-12-07,19.990000,20.400000,19.950001,20.400000,4.886672,854500
2011-12-08,20.500000,20.910000,20.400000,20.850000,4.994465,1092900
2011-12-09,20.900000,21.870001,20.860001,21.870001,5.238800,1285800
2011-12-12,21.799999,22.000000,21.559999,21.870001,5.238800,911500
2011-12-13,21.350000,21.680000,21.049999,21.170000,5.209273,549600
2011-12-14,21.040001,21.049999,20.150000,20.549999,5.056709,610000
2011-12-15,20.750000,20.850000,20.160000,20.180000,4.965662,395900
2011-12-16,20.250000,20.900000,20.180000,20.700001,5.093620,452300
2011-12-19,20.799999,21.500000,20.549999,20.650000,5.081315,349900
2011-12-20,20.959999,21.379999,20.950001,21.230000,5.224036,273300
2011-12-21,21.500000,22.190001,20.959999,22.040001,5.423352,445800
2011-12-22,22.180000,22.490000,22.000000,22.299999,5.487328,412700
2011-12-23,22.299999,22.440001,22.100000,22.170000,5.455340,191100
2011-12-27,22.240000,22.510000,22.160000,22.510000,5.539002,163400
2011-12-28,22.680000,22.940001,22.570000,22.760000,5.600520,217100
2011-12-29,22.889999,23.830000,22.740000,23.610001,5.809679,367300
2011-12-30,23.730000,24.250000,23.680000,24.040001,5.915490,320100
2012-01-03,24.379999,24.379999,23.620001,23.830000,5.863814,504000
2012-01-04,23.820000,24.000000,23.719999,23.900000,5.881040,273400
2012-01-05,23.830000,24.490000,23.830000,24.400000,6.004073,405900
2012-01-06,24.500000,24.719999,24.320000,24.320000,5.984385,531200
2012-01-09,24.490000,24.580000,23.750000,23.959999,5.895802,553800
2012-01-10,24.160000,24.389999,23.549999,24.000000,5.905645,502100
2012-01-11,23.850000,23.969999,22.670000,23.010000,5.662037,707000
2012-01-12,23.030001,23.100000,20.780001,22.549999,5.548846,2223200
2012-01-13,22.590000,23.000000,22.049999,22.900000,5.634970,702200
2012-01-17,23.500000,23.850000,22.809999,23.299999,5.733397,555600
2012-01-18,23.340000,23.940001,23.090000,23.540001,5.792455,482800
2012-01-19,23.580000,23.780001,23.070000,23.219999,5.713711,592100
2012-01-20,23.180000,23.299999,22.549999,23.110001,5.686645,618000
2012-01-23,23.270000,23.940001,23.120001,23.809999,5.858891,1124700
