Date,Open,High,Low,Close,Adj Close,Volume
1996-11-26,3.177083,3.208333,3.177083,3.208333,0.791119,258000
1996-11-27,3.218750,3.322917,3.218750,3.281250,0.809099,1950000
1996-11-29,3.312500,3.437500,3.312500,3.427083,0.845059,477600
1996-12-02,3.406250,3.406250,3.375000,3.395833,0.837354,1275600
1996-12-03,3.447917,3.531250,3.406250,3.406250,0.839922,13077600
1996-12-04,3.406250,3.406250,3.208333,3.208333,0.791119,1459200
1996-12-05,3.177083,3.177083,3.031250,3.135417,0.810264,2210400
1996-12-06,3.093750,3.104167,3.031250,3.083333,0.796804,3147600
1996-12-09,3.114583,3.229167,3.114583,3.229167,0.834492,672000
1996-12-10,3.229167,3.229167,3.187500,3.187500,0.823724,655200
1996-12-11,3.145833,3.145833,3.083333,3.104167,0.802189,688800
1996-12-12,3.125000,3.125000,3.031250,3.031250,0.783345,552000
1996-12-13,3.010417,3.010417,2.937500,2.979167,0.769886,1448400
1996-12-16,2.979167,2.989583,2.895833,2.895833,0.748350,1532400
1996-12-17,2.916667,3.041667,2.916667,3.041667,0.786037,5722800
1996-12-18,3.062500,3.083333,3.062500,3.083333,0.796804,1424400
1996-12-19,3.104167,3.145833,3.104167,3.135417,0.810264,1364400
1996-12-20,3.145833,3.260417,3.145833,3.250000,0.839875,4774800
1996-12-23,3.239583,3.250000,3.229167,3.239583,0.837183,325200
1996-12-24,3.260417,3.260417,3.229167,3.239583,0.837183,181200
1996-12-26,3.218750,3.250000,3.197917,3.250000,0.839875,672000
1996-12-27,3.291667,3.291667,3.197917,3.197917,0.826416,1422000
1996-12-30,3.218750,3.218750,3.156250,3.166667,0.818340,1094400
1996-12-31,3.166667,3.177083,3.156250,3.166667,0.818340,549600
1997-01-02,3.166667,3.166667,3.125000,3.145833,0.812956,1240800
1997-01-03,3.156250,3.197917,3.156250,3.166667,0.818340,626400
1997-01-06,3.145833,3.177083,3.125000,3.135417,0.810264,7567200
1997-01-07,3.135417,3.145833,3.114583,3.135417,0.810264,674400
1997-01-08,3.156250,3.156250,3.114583,3.114583,0.804881,2052000
1997-01-09,3.114583,3.114583,3.083333,3.093750,0.799497,1026000
1997-01-10,3.072917,3.135417,3.072917,3.135417,0.810264,715200
1997-01-13,3.125000,3.135417,3.114583,3.135417,0.810264,912000
1997-01-14,3.125000,3.229167,3.125000,3.218750,0.831799,3075600
1997-01-15,3.218750,3.291667,3.218750,3.291667,0.850643,1285200
1997-01-16,3.302083,3.302083,3.250000,3.250000,0.839875,736800
1997-01-17,3.239583,3.270833,3.239583,3.250000,0.839875,2652000
1997-01-20,3.239583,3.239583,3.218750,3.239583,0.837183,297600
1997-01-21,3.239583,3.239583,3.218750,3.229167,0.834492,454800
1997-01-22,3.250000,3.322917,3.250000,3.312500,0.856027,1254000
1997-01-23,3.312500,3.437500,3.302083,3.395833,0.877562,4110000
1997-01-24,3.375000,3.375000,3.364583,3.375000,0.872178,1075200
1997-01-27,3.364583,3.375000,3.354167,3.354167,0.866795,1790400
1997-01-28,3.364583,3.406250,3.364583,3.375000,0.872178,3631200
1997-01-29,3.375000,3.375000,3.333333,3.343750,0.864102,2434800
1997-01-30,3.343750,3.354167,3.333333,3.354167,0.866795,363600
1997-01-31,3.364583,3.364583,3.312500,3.312500,0.856027,969600
1997-02-03,3.302083,3.312500,3.291667,3.302083,0.853335,3934800
1997-02-04,3.302083,3.322917,3.302083,3.312500,0.856027,546000
1997-02-05,3.312500,3.312500,3.239583,3.239583,0.837183,390000
1997-02-06,3.229167,3.260417,3.229167,3.229167,0.834492,858000
1997-02-07,3.239583,3.260417,3.229167,3.239583,0.837183,3850800
1997-02-10,3.229167,3.229167,3.156250,3.156250,0.815648,799200
1997-02-11,3.156250,3.156250,3.135417,3.156250,0.815648,524400
1997-02-12,3.156250,3.208333,3.156250,3.208333,0.829108,476400
1997-02-13,3.208333,3.250000,3.208333,3.229167,0.834492,3140400
1997-02-14,3.218750,3.239583,3.166667,3.208333,0.829108,922800
1997-02-18,3.197917,3.229167,3.197917,3.229167,0.834492,1183200
1997-02-19,3.229167,3.229167,3.197917,3.208333,0.829108,655200
1997-02-20,3.197917,3.197917,3.177083,3.187500,0.823724,1496400
1997-02-21,3.187500,3.187500,3.135417,3.145833,0.812956,240000
1997-02-24,3.145833,3.156250,3.135417,3.145833,0.812956,3927600
1997-02-25,3.145833,3.145833,3.135417,3.135417,0.810264,470400
1997-02-26,3.125000,3.125000,3.093750,3.093750,0.799497,66000
1997-02-27,3.093750,3.093750,3.020833,3.031250,0.783345,2325600
1997-02-28,3.041667,3.041667,3.000000,3.031250,0.783345,319200
1997-03-03,3.031250,3.041667,3.010417,3.041667,0.786037,704400
1997-03-04,3.052083,3.072917,3.052083,3.052083,0.788729,229200
1997-03-05,3.052083,3.083333,3.052083,3.072917,0.840370,466800
1997-03-06,3.083333,3.125000,3.083333,3.125000,0.854614,757200
1997-03-07,3.114583,3.177083,3.114583,3.156250,0.863160,2680800
1997-03-10,3.177083,3.197917,3.177083,3.187500,0.871706,873600
1997-03-11,3.187500,3.197917,3.166667,3.166667,0.866009,424800
1997-03-12,3.177083,3.187500,3.177083,3.177083,0.868858,506400
1997-03-13,3.166667,3.187500,3.135417,3.145833,0.860311,558000
1997-03-14,3.145833,3.145833,3.135417,3.145833,0.860311,1002000
1997-03-17,3.135417,3.135417,3.093750,3.104167,0.848917,1312800
1997-03-18,3.114583,3.114583,3.093750,3.104167,0.848917,313200
1997-03-19,3.114583,3.125000,3.072917,3.072917,0.840370,108000
1997-03-20,3.062500,3.062500,3.000000,3.010417,0.823278,1161600
1997-03-21,2.979167,2.989583,2.968750,2.989583,0.817581,4107600
1997-03-24,2.989583,3.052083,2.989583,3.052083,0.834673,3626400
1997-03-25,3.062500,3.093750,3.052083,3.083333,0.843219,2431200
1997-03-26,3.083333,3.104167,3.062500,3.072917,0.840370,1326000
1997-03-27,3.093750,3.104167,3.062500,3.072917,0.840370,1166400
1997-03-31,3.072917,3.072917,2.937500,2.947917,0.806186,427200
1997-04-01,2.968750,2.968750,2.937500,2.947917,0.806186,799200
1997-04-02,2.947917,2.947917,2.864583,2.875000,0.786245,436800
1997-04-03,2.864583,2.916667,2.864583,2.906250,0.794791,4537200
1997-04-04,2.906250,2.937500,2.906250,2.916667,0.797640,4254000
1997-04-07,2.937500,2.958333,2.937500,2.947917,0.806186,464400
1997-04-08,2.958333,2.968750,2.947917,2.968750,0.811884,678000
1997-04-09,2.989583,2.989583,2.937500,2.937500,0.803337,2035200
1997-04-10,2.927083,2.927083,2.916667,2.916667,0.797640,464400
1997-04-11,2.906250,2.916667,2.875000,2.875000,0.786245,4400400
1997-04-14,2.864583,2.885417,2.822917,2.822917,0.772001,1210800
1997-04-15,2.822917,2.854167,2.822917,2.833333,0.774850,1014000
1997-04-16,2.822917,2.906250,2.822917,2.906250,0.794791,1332000
1997-04-17,2.895833,2.947917,2.895833,2.947917,0.806186,2437200
1997-04-18,2.937500,2.958333,2.927083,2.927083,0.800488,1093200
1997-04-21,2.937500,2.937500,2.916667,2.916667,0.797640,319200
1997-04-22,2.916667,2.968750,2.916667,2.947917,0.806186,1068000
1997-04-23,2.947917,2.989583,2.947917,2.968750,0.811884,6451200
1997-04-24,3.041667,3.177083,3.041667,3.166667,0.866009,3018000
1997-04-25,3.166667,3.218750,3.156250,3.156250,0.863160,2338800
1997-04-28,3.156250,3.166667,3.125000,3.166667,0.866009,873600
1997-04-29,3.166667,3.187500,3.145833,3.166667,0.866009,288000
1997-04-30,3.166667,3.208333,3.156250,3.208333,0.877404,1041600
1997-05-01,3.208333,3.291667,3.208333,3.281250,0.897345,817200
1997-05-02,3.302083,3.385417,3.291667,3.385417,0.925832,626400
1997-05-05,3.395833,3.447917,3.395833,3.427083,0.937227,1940400
1997-05-06,3.416667,3.447917,3.395833,3.416667,0.934378,692400
1997-05-07,3.395833,3.395833,3.364583,3.375000,0.922983,781200
1997-05-08,3.354167,3.395833,3.343750,3.364583,0.920134,1135200
1997-05-09,3.354167,3.364583,3.333333,3.354167,0.917286,642000
1997-05-12,3.343750,3.406250,3.343750,3.406250,0.931529,452400
1997-05-13,3.395833,3.447917,3.395833,3.406250,0.931529,888000
1997-05-14,3.427083,3.427083,3.354167,3.354167,0.917286,1653600
1997-05-15,3.364583,3.375000,3.354167,3.375000,0.922983,585600
1997-05-16,3.385417,3.385417,3.364583,3.364583,0.920134,324000
1997-05-19,3.364583,3.375000,3.364583,3.375000,0.922983,102000
1997-05-20,3.385417,3.385417,3.333333,3.364583,0.920134,7770000
1997-05-21,3.364583,3.385417,3.364583,3.385417,0.925832,349200
1997-05-22,3.395833,3.406250,3.385417,3.395833,0.928681,481200
1997-05-23,3.406250,3.468750,3.406250,3.468750,0.948621,223200
1997-05-27,3.458333,3.468750,3.427083,3.468750,0.948621,541200
1997-05-28,3.479167,3.489583,3.458333,3.489583,0.954319,999600
1997-05-29,3.489583,3.500000,3.489583,3.500000,0.957167,186000
1997-05-30,3.489583,3.489583,3.479167,3.479167,0.951470,104400
1997-06-02,3.479167,3.500000,3.479167,3.500000,0.957167,246000
1997-06-03,3.489583,3.541667,3.489583,3.520833,0.962866,4436400
1997-06-04,3.510417,3.520833,3.500000,3.500000,0.957167,222000
1997-06-05,3.468750,3.479167,3.427083,3.427083,0.984305,294000
1997-06-06,3.416667,3.437500,3.406250,3.427083,0.984305,199200
1997-06-09,3.427083,3.437500,3.406250,3.425781,0.983931,3288000
1997-06-10,3.416667,3.427083,3.406250,3.424479,0.983557,963600
