Date,Open,High,Low,Close,Adj Close,Volume
1993-02-12,4.333333,4.666667,3.666667,4.000000,3.814114,5587200
1993-02-16,3.958333,4.083333,3.416667,3.416667,3.257890,895200
1993-02-17,3.666667,3.666667,3.416667,3.458333,3.297619,378300
1993-02-18,3.666667,3.666667,3.083333,3.333333,3.178429,481500
1993-02-19,3.166667,3.333333,3.166667,3.250000,3.098968,284100
1993-02-22,3.333333,3.333333,3.166667,3.166667,3.019507,359400
1993-02-23,3.166667,3.333333,3.083333,3.333333,3.178429,153300
1993-02-24,3.083333,3.250000,3.000000,3.250000,3.098968,160200
1993-02-25,3.083333,3.250000,3.083333,3.250000,3.098968,26100
1993-02-26,3.250000,3.250000,3.083333,3.166667,3.019507,75600
1993-03-01,3.250000,3.250000,3.083333,3.166667,3.019507,43500
1993-03-02,3.083333,3.250000,3.083333,3.083333,2.940047,21600
1993-03-03,3.250000,3.250000,3.083333,3.166667,3.019507,127800
1993-03-04,3.208333,3.333333,3.083333,3.333333,3.178429,53700
1993-03-05,3.333333,3.333333,3.083333,3.083333,2.940047,473100
1993-03-08,3.333333,3.666667,3.166667,3.666667,3.496271,188100
1993-03-09,3.333333,3.666667,3.333333,3.666667,3.496271,134700
1993-03-10,3.333333,3.333333,2.666667,3.000000,2.860586,480000
1993-03-11,3.250000,3.250000,2.916667,2.916667,2.781125,114000
1993-03-12,2.916667,2.916667,2.750000,2.916667,2.781125,108000
1993-03-15,2.833333,2.833333,2.583333,2.583333,2.463282,75900
1993-03-16,2.666667,3.083333,2.666667,2.916667,2.781125,213300
1993-03-17,2.916667,3.083333,2.916667,3.083333,2.940047,79200
1993-03-18,3.083333,3.166667,3.000000,3.000000,2.860586,78000
1993-03-19,3.000000,3.166667,3.000000,3.000000,2.860586,68700
1993-03-22,3.166667,3.166667,3.000000,3.000000,2.860586,49500
1993-03-23,3.000000,3.083333,2.916667,2.916667,2.781125,24600
1993-03-24,2.916667,2.916667,2.583333,2.583333,2.463282,84600
1993-03-25,2.583333,2.833333,2.583333,2.708333,2.582473,85800
1993-03-26,2.833333,2.833333,2.583333,2.833333,2.701664,9600
1993-03-29,2.583333,2.833333,2.416667,2.416667,2.304361,31500
1993-03-30,2.416667,2.833333,2.416667,2.583333,2.463282,100500
1993-03-31,2.500000,2.750000,2.500000,2.666667,2.542743,151500
1993-04-01,2.750000,2.750000,2.666667,2.666667,2.542743,33600
1993-04-02,2.666667,2.750000,2.666667,2.666667,2.542743,54300
1993-04-05,2.791667,2.833333,2.666667,2.833333,2.701664,12300
1993-04-06,2.833333,3.083333,2.750000,2.958333,2.820855,203100
1993-04-07,3.083333,3.083333,2.916667,3.083333,2.940047,26400
1993-04-08,3.083333,3.083333,2.916667,3.083333,2.940047,13500
1993-04-12,3.000000,3.166667,3.000000,3.083333,2.940047,25800
1993-04-13,3.000000,3.083333,2.833333,3.000000,2.860586,59700
1993-04-14,2.833333,3.000000,2.750000,3.000000,2.860586,102300
1993-04-15,2.916667,3.000000,2.833333,2.958333,2.820855,12000
1993-04-16,3.000000,3.000000,2.833333,2.833333,2.701664,27900
1993-04-19,2.833333,3.000000,2.750000,2.833333,2.701664,31500
1993-04-20,2.750000,3.000000,2.750000,3.000000,2.860586,126900
1993-04-21,2.916667,3.000000,2.833333,2.833333,2.701664,24000
1993-04-22,2.833333,3.000000,2.833333,2.916667,2.781125,13500
1993-04-23,2.833333,3.000000,2.750000,3.000000,2.860586,45300
1993-04-26,2.916667,3.000000,2.791667,3.000000,2.860586,58500
1993-04-27,2.833333,2.916667,2.750000,2.916667,2.781125,53700
1993-04-28,2.916667,3.083333,2.833333,3.000000,2.860586,80400
1993-04-29,3.083333,3.083333,2.916667,3.083333,2.940047,38700
1993-04-30,2.916667,3.083333,2.916667,2.916667,2.781125,49800
1993-05-03,3.000000,3.000000,2.791667,2.916667,2.781125,59100
1993-05-04,2.916667,2.916667,2.750000,2.750000,2.622203,2100
1993-05-05,2.916667,2.916667,2.750000,2.750000,2.622203,10500
1993-05-06,2.916667,2.916667,2.666667,2.666667,2.542743,12900
1993-05-07,2.666667,2.833333,2.666667,2.833333,2.701664,17700
1993-05-10,2.666667,2.833333,2.666667,2.833333,2.701664,7800
1993-05-11,2.666667,2.916667,2.666667,2.916667,2.781125,12000
1993-05-12,2.666667,2.916667,2.666667,2.666667,2.542743,18300
1993-05-13,2.666667,2.791667,2.583333,2.666667,2.542743,51600
1993-05-14,2.750000,2.750000,2.583333,2.583333,2.463282,4800
1993-05-17,2.583333,2.750000,2.583333,2.583333,2.463282,2400
1993-05-18,2.583333,2.750000,2.500000,2.666667,2.542743,21900
1993-05-19,2.583333,2.750000,2.500000,2.583333,2.463282,102000
1993-05-20,2.583333,2.750000,2.583333,2.583333,2.463282,56700
1993-05-21,2.583333,2.750000,2.583333,2.666667,2.542743,54900
1993-05-24,2.583333,2.583333,2.583333,2.583333,2.463282,7200
1993-05-25,2.583333,2.583333,2.583333,2.583333,2.463282,5100
1993-05-26,2.583333,2.666667,2.583333,2.666667,2.542743,2400
1993-05-27,2.583333,2.666667,2.583333,2.583333,2.463282,32100
1993-05-28,2.666667,2.666667,2.500000,2.583333,2.463282,15600
1993-06-01,2.500000,2.500000,2.500000,2.500000,2.383821,14100
1993-06-02,2.500000,2.583333,2.250000,2.250000,2.145439,49800
1993-06-03,2.500000,2.500000,2.333333,2.500000,2.383821,39900
1993-06-04,2.333333,2.500000,2.333333,2.375000,2.264631,27300
1993-06-07,2.416667,2.500000,2.333333,2.333333,2.224900,61200
1993-06-08,2.500000,2.583333,2.416667,2.416667,2.304361,28500
1993-06-09,2.583333,2.750000,2.583333,2.750000,2.622203,33300
1993-06-10,2.833333,3.083333,2.750000,2.916667,2.781125,93000
1993-06-11,3.083333,3.083333,2.916667,2.916667,2.781125,30000
