Date,Open,High,Low,Close,Adj Close,Volume
2017-04-28,24.940001,24.990000,24.900000,24.950001,20.337076,665400
2017-05-01,24.950001,24.959999,24.889999,24.950001,20.337076,680900
2017-05-02,24.950001,25.020000,24.930000,25.020000,20.394136,707000
2017-05-03,25.020000,25.049999,25.000000,25.049999,20.418587,1060300
2017-05-04,25.049999,25.049999,24.940001,24.950001,20.337076,578000
2017-05-05,24.969999,25.000000,24.920000,24.990000,20.369678,296900
2017-05-08,25.000000,25.030001,24.990000,25.004999,20.381910,345500
2017-05-09,25.010000,25.020000,25.000000,25.000000,20.377831,269600
2017-05-10,25.020000,25.049999,25.010000,25.020000,20.394136,274600
2017-05-11,25.020000,25.070000,25.010000,25.030001,20.402285,404400
2017-05-12,25.040001,25.090000,25.020000,25.049999,20.418587,723500
2017-05-15,25.059999,25.090000,25.030001,25.049999,20.418587,366200
2017-05-16,25.059999,25.139999,25.040001,25.129999,20.483797,329000
2017-05-17,25.090000,25.129999,25.000000,25.000000,20.377831,415000
2017-05-18,25.030001,25.049999,24.980000,25.020000,20.394136,380100
2017-05-19,25.040001,25.070000,25.010000,25.040001,20.410437,203600
2017-05-22,25.070000,25.120001,25.049999,25.080000,20.443041,504000
2017-05-23,25.100000,25.108000,25.059999,25.080000,20.443041,237800
2017-05-24,25.059999,25.080000,25.000000,25.030001,20.402285,197100
2017-05-25,25.049999,25.070000,25.020000,25.070000,20.434889,180500
2017-05-26,25.059999,25.150000,25.049999,25.120001,20.475647,216000
2017-05-30,25.120001,25.180000,25.080000,25.160000,20.508249,268800
2017-05-31,25.170000,25.280001,25.100000,25.280001,20.606070,664600
2017-06-01,25.280001,25.299999,25.230000,25.250000,20.581612,215600
2017-06-02,25.280001,25.299999,25.230000,25.240000,20.573460,271500
2017-06-05,25.250000,25.270000,25.209999,25.240000,20.573460,162000
2017-06-06,25.219999,25.240000,25.180000,25.200001,20.540857,217200
2017-06-07,25.200001,25.240000,25.160000,25.209999,20.549009,141700
2017-06-08,25.200001,25.230000,25.139999,25.165001,20.512327,165800
2017-06-09,25.180000,25.219999,25.100000,25.200001,20.540857,181300
2017-06-12,25.219999,25.230000,25.160000,25.170000,20.516401,122000
2017-06-13,25.170000,25.230000,25.160000,25.230000,20.565308,127600
2017-06-14,25.240000,25.290001,25.209999,25.290001,20.614216,145300
2017-06-15,25.290001,25.350000,25.260000,25.299999,20.622366,372100
2017-06-16,25.299999,25.299999,25.100000,25.129999,20.483797,335900
2017-06-19,25.170000,25.219999,25.080000,25.170000,20.516401,223000
2017-06-20,25.230000,25.230000,25.125000,25.170000,20.516401,343200
2017-06-21,25.200001,25.250000,25.160000,25.230000,20.565308,153400
2017-06-22,25.270000,25.270000,25.200001,25.250000,20.581612,236800
2017-06-23,25.250000,25.290001,25.219999,25.290001,20.614216,88100
2017-06-26,25.299999,25.330000,25.266001,25.309999,20.630516,229000
2017-06-27,25.299999,25.379999,25.200001,25.240000,20.573460,374300
2017-06-28,25.299999,25.389999,25.250000,25.350000,20.663122,217800
2017-06-29,25.350000,25.350000,25.180000,25.209999,20.549009,243300
2017-06-30,25.270000,25.340000,25.219999,25.340000,20.654968,129100
2017-07-03,25.340000,25.360001,25.270000,25.309999,20.630516,32400
2017-07-05,25.309999,25.379999,25.280001,25.379999,20.687574,117400
2017-07-06,25.379999,25.379999,25.299999,25.299999,20.622366,204400
2017-07-07,25.340000,25.490000,25.320000,25.440001,20.736485,291300
2017-07-10,25.459999,25.459999,25.309999,25.350000,20.663122,96400
2017-07-11,25.370001,25.429001,25.330000,25.400000,20.703876,122100
2017-07-12,25.450001,25.450001,25.360001,25.440001,20.736485,145500
2017-07-13,25.450001,25.450001,25.340000,25.370001,20.679426,154100
2017-07-14,25.389999,25.490000,25.389999,25.450001,20.744633,95400
2017-07-17,25.480000,25.500000,25.420000,25.450001,20.744633,111200
2017-07-18,25.480000,25.480000,25.320000,25.320000,20.638670,348600
2017-07-19,25.360001,25.400000,25.340000,25.340000,20.654968,95700
