Date,Open,High,Low,Close,Adj Close,Volume
2012-01-27,25.000000,25.930000,25.000000,25.790001,12.736331,544400
2012-01-30,25.840000,26.059999,25.440001,26.059999,12.869666,188000
2012-01-31,26.160000,26.600000,25.570000,26.070000,12.874602,256500
2012-02-01,26.350000,26.590000,26.059999,26.110001,12.894361,131400
2012-02-02,26.200001,26.500000,26.200001,26.309999,12.993128,69800
2012-02-03,26.350000,26.480000,26.180000,26.480000,13.077080,35400
2012-02-06,26.230000,26.299999,26.200001,26.290001,12.983246,16000
2012-02-07,26.299999,26.320000,26.180000,26.270000,12.973380,33400
2012-02-08,26.290001,26.299999,26.240000,26.290001,12.983246,14000
2012-02-09,26.270000,26.280001,26.030001,26.180000,12.928932,29700
2012-02-10,26.129999,26.150000,26.000000,26.040001,12.859787,25700
2012-02-13,26.049999,26.299999,26.000000,26.240000,12.958559,19300
2012-02-14,26.209999,26.250000,26.129999,26.150000,12.914112,11600
2012-02-15,26.230000,26.240000,26.080000,26.080000,12.879541,8700
2012-02-16,26.100000,26.559999,26.100000,26.219999,12.948682,95700
2012-02-17,26.250000,26.590000,26.250000,26.590000,13.131407,91400
2012-02-21,26.590000,26.840000,26.559999,26.670000,13.170911,49500
2012-02-22,26.620001,26.870001,26.170000,26.490000,13.082023,76100
2012-02-23,26.490000,26.690001,26.270000,26.370001,13.022758,46100
2012-02-24,26.420000,26.850000,26.320000,26.549999,13.111649,48500
2012-02-27,26.510000,26.510000,25.600000,26.250000,12.963498,118200
2012-02-28,26.209999,26.410000,26.000000,26.350000,13.012883,97000
2012-02-29,26.320000,26.400000,26.010000,26.150000,12.914112,76400
2012-03-01,26.150000,26.400000,26.100000,26.200001,12.938806,106000
2012-03-02,25.549999,25.830000,25.299999,25.670000,12.677067,499900
2012-03-05,25.639999,25.670000,25.500000,25.620001,12.652377,124300
2012-03-06,25.580000,25.670000,25.400000,25.660000,12.672130,107300
2012-03-07,25.660000,25.990000,25.549999,25.700001,12.691887,111100
2012-03-08,25.900000,25.900000,25.580000,25.799999,12.741271,87200
2012-03-09,25.750000,25.860001,25.610001,25.740000,12.711634,55600
2012-03-12,25.760000,25.830000,25.650000,25.830000,12.756085,56200
2012-03-13,25.900000,25.900000,25.690001,25.750000,12.716571,80300
2012-03-14,25.500000,25.520000,24.980000,25.389999,12.620643,47600
2012-03-15,25.400000,25.530001,25.340000,25.410000,12.630587,90500
2012-03-16,25.430000,25.450001,25.120001,25.230000,12.541109,59700
2012-03-19,25.250000,25.450001,25.209999,25.440001,12.645494,53000
2012-03-20,25.450001,25.500000,25.150000,25.500000,12.675323,54700
2012-03-21,25.250000,25.500000,25.129999,25.450001,12.650463,111500
2012-03-22,25.389999,25.480000,25.250000,25.480000,12.665370,79200
2012-03-23,25.459999,25.459999,25.260000,25.459999,12.655437,71400
2012-03-26,25.410000,25.480000,25.240000,25.350000,12.600756,55200
2012-03-27,25.400000,25.650000,25.320000,25.559999,12.705135,121600
2012-03-28,25.450001,25.900000,25.450001,25.700001,12.774732,79200
2012-03-29,25.709999,25.830000,25.500000,25.770000,12.809531,59600
2012-03-30,25.830000,25.840000,25.520000,25.610001,12.730000,80100
2012-04-02,25.549999,25.840000,25.549999,25.690001,12.769762,55500
2012-04-03,25.650000,25.870001,25.650000,25.799999,12.824438,63900
2012-04-04,25.750000,25.879999,25.709999,25.830000,12.839350,83300
2012-04-05,25.930000,25.930000,25.799999,25.799999,12.824438,77200
2012-04-09,25.799999,25.950001,25.760000,25.820000,12.834378,37800
2012-04-10,25.830000,25.850000,25.760000,25.840000,12.844323,87700
2012-04-11,25.889999,26.000000,25.879999,25.959999,12.903970,68600
2012-04-12,25.950001,26.000000,25.860001,25.900000,12.874145,36300
2012-04-13,25.870001,26.040001,25.860001,26.000000,12.923856,27900
2012-04-16,26.000000,26.000000,25.860001,25.930000,12.889064,35800
2012-04-17,25.860001,26.080000,25.700001,26.080000,12.963620,63200
2012-04-18,25.930000,25.950001,25.680000,25.900000,12.957116,14800
2012-04-19,25.900000,26.059999,25.760000,25.889999,12.952114,10200
2012-04-20,25.920000,26.420000,25.760000,26.150000,13.082182,106800
2012-04-23,26.090000,26.250000,25.760000,26.100000,13.057176,103200
2012-04-24,26.110001,26.360001,25.969999,26.170000,13.092196,179400
2012-04-25,26.250000,26.299999,26.110001,26.250000,13.132215,78600
2012-04-26,26.299999,26.400000,26.200001,26.330000,13.172230,140100
2012-04-27,26.370001,26.370001,26.010000,26.040001,13.027154,69300
2012-04-30,26.250000,26.350000,26.139999,26.209999,13.112194,51000
2012-05-01,26.100000,26.209999,26.030001,26.129999,13.072184,48700
2012-05-02,26.090000,26.139999,25.980000,26.030001,13.022144,63000
2012-05-03,26.030001,26.040001,25.780001,26.010000,13.012145,64000
2012-05-04,26.030001,26.250000,25.930000,26.250000,13.132215,84400
2012-05-07,26.200001,26.230000,26.139999,26.190001,13.102198,57000
2012-05-08,26.170000,26.170000,25.340000,25.980000,12.997138,156500
2012-05-09,25.930000,25.959999,25.850000,25.930000,12.972128,25700
2012-05-10,25.920000,25.920000,25.850000,25.879999,12.947108,54000
2012-05-11,25.879999,25.900000,25.760000,25.860001,12.937103,66000
2012-05-14,25.870001,25.900000,25.760000,25.820000,12.917089,101000
2012-05-15,25.840000,26.000000,25.799999,25.799999,12.907088,118000
2012-05-16,25.680000,25.709999,25.549999,25.620001,12.900544,16200
2012-05-17,25.510000,25.639999,25.459999,25.469999,12.825017,137800
2012-05-18,25.400000,25.400000,25.080000,25.120001,12.648777,99200
2012-05-21,25.160000,25.549999,25.070000,25.469999,12.825017,76900
2012-05-22,25.469999,25.540001,25.299999,25.400000,12.789763,73000
2012-05-23,25.400000,25.590000,25.299999,25.520000,12.850190,138000
2012-05-24,25.520000,25.590000,25.350000,25.490000,12.835081,80200
2012-05-25,25.490000,25.680000,25.450001,25.670000,12.925722,57800
2012-05-29,25.690001,26.500000,25.690001,25.930000,13.056643,113700
2012-05-30,25.850000,26.070000,25.850000,25.969999,13.076780,47000
2012-05-31,25.980000,26.150000,25.910000,26.000000,13.091882,87100
2012-06-01,25.900000,26.370001,25.900000,26.100000,13.142242,90900
2012-06-04,26.090000,26.459999,25.910000,26.299999,13.242949,113100
2012-06-05,26.280001,26.490000,26.160000,26.299999,13.242949,79200
2012-06-06,26.280001,26.400000,26.200001,26.340000,13.263085,56700
2012-06-07,26.350000,26.480000,26.280001,26.440001,13.313444,50800
2012-06-08,26.469999,26.540001,26.370001,26.490000,13.338616,59900
2012-06-11,26.430000,26.690001,26.430000,26.670000,13.429249,59300
