Date,Open,High,Low,Close,Adj Close,Volume
1997-10-23,16.000000,20.000000,15.750000,18.500000,18.500000,8491800
1997-10-24,20.000000,20.218750,18.750000,19.000000,19.000000,2214400
1997-10-27,18.875000,18.906250,15.500000,16.500000,16.500000,937800
1997-10-28,14.875000,18.125000,14.875000,17.437500,17.437500,1217400
1997-10-29,18.000000,18.500000,17.750000,18.500000,18.500000,687600
1997-10-30,17.625000,19.187500,17.500000,18.625000,18.625000,494800
1997-10-31,18.812500,18.968750,17.625000,17.937500,17.937500,189400
1997-11-03,18.062500,18.500000,17.562500,17.750000,17.750000,256000
1997-11-04,17.687500,17.750000,17.187500,17.625000,17.625000,224600
1997-11-05,17.375000,18.187500,17.250000,18.187500,18.187500,302800
1997-11-06,18.312500,18.500000,17.875000,17.937500,17.937500,217400
1997-11-07,17.500000,17.750000,17.250000,17.750000,17.750000,236000
1997-11-10,17.750000,18.062500,17.750000,17.812500,17.812500,68600
1997-11-11,17.812500,18.218750,17.625000,17.687500,17.687500,244200
1997-11-12,17.562500,18.125000,17.312500,17.312500,17.312500,100600
1997-11-13,17.250000,17.312500,15.250000,16.562500,16.562500,495800
1997-11-14,16.812500,17.062500,16.125000,16.500000,16.500000,99000
1997-11-17,16.812500,17.125000,16.625000,16.750000,16.750000,98400
1997-11-18,16.750000,16.750000,15.468750,15.593750,15.593750,229800
1997-11-19,15.218750,15.250000,14.625000,15.187500,15.187500,830200
1997-11-20,16.000000,16.250000,15.750000,15.968750,15.968750,382200
1997-11-21,16.062500,16.125000,15.625000,15.625000,15.625000,75200
1997-11-24,15.625000,15.625000,14.937500,14.937500,14.937500,180000
1997-11-25,14.937500,15.000000,14.000000,14.687500,14.687500,391800
1997-11-26,14.750000,15.312500,14.750000,15.031250,15.031250,195400
1997-11-28,15.031250,15.031250,14.968750,14.968750,14.968750,79800
1997-12-01,14.968750,14.968750,13.750000,14.531250,14.531250,466800
1997-12-02,14.500000,15.562500,14.500000,15.375000,15.375000,85600
1997-12-03,16.250000,17.000000,16.062500,16.562500,16.562500,395000
1997-12-04,16.687500,17.437500,16.687500,17.093750,17.093750,245800
1997-12-05,17.000000,17.093750,16.812500,16.812500,16.812500,148800
1997-12-08,16.937500,16.937500,16.562500,16.687500,16.687500,42600
1997-12-09,16.500000,16.562500,16.062500,16.187500,16.187500,48600
1997-12-10,16.187500,16.187500,16.000000,16.000000,16.000000,52600
1997-12-11,15.750000,15.750000,14.875000,15.031250,15.031250,121400
1997-12-12,15.125000,15.375000,15.000000,15.250000,15.250000,146000
1997-12-15,15.250000,15.250000,14.687500,14.750000,14.750000,220400
1997-12-16,14.750000,15.812500,14.750000,15.375000,15.375000,66000
1997-12-17,15.750000,15.750000,15.687500,15.718750,15.718750,44800
1997-12-18,15.656250,16.250000,15.656250,15.937500,15.937500,342400
1997-12-19,15.812500,15.812500,15.375000,15.562500,15.562500,61600
1997-12-22,15.500000,15.562500,15.000000,15.125000,15.125000,152800
1997-12-23,15.156250,15.187500,14.875000,14.875000,14.875000,211600
1997-12-24,14.750000,15.000000,14.437500,15.000000,15.000000,92600
1997-12-26,14.937500,14.937500,14.531250,14.687500,14.687500,22400
1997-12-29,14.625000,15.812500,14.625000,15.750000,15.750000,71000
1997-12-30,15.750000,16.312500,15.687500,16.062500,16.062500,115600
1997-12-31,16.187500,17.937500,16.187500,17.562500,17.562500,184400
1998-01-02,17.312500,17.500000,17.031250,17.187500,17.187500,105800
1998-01-05,17.093750,17.093750,15.593750,15.687500,15.687500,237600
1998-01-06,15.562500,15.593750,13.562500,13.937500,13.937500,550400
1998-01-07,14.125000,14.375000,13.500000,14.000000,14.000000,265400
1998-01-08,13.875000,13.875000,13.562500,13.750000,13.750000,51400
1998-01-09,13.625000,13.656250,12.500000,12.875000,12.875000,311400
