Date,Open,High,Low,Close,Adj Close,Volume
1985-01-29,0.000000,4.944445,4.851852,4.925926,1.094441,74800
1985-01-30,0.000000,4.962963,4.888889,4.962963,1.102671,45900
1985-01-31,0.000000,4.981482,4.962963,4.981482,1.106785,2700
1985-02-01,0.000000,5.037037,4.962963,5.037037,1.119128,85000
1985-02-04,0.000000,5.222222,5.074074,5.222222,1.160272,76200
1985-02-05,0.000000,5.425926,5.259259,5.370370,1.193188,122800
1985-02-06,0.000000,5.333333,5.259259,5.314815,1.180845,95100
1985-02-07,0.000000,5.462963,5.351852,5.388889,1.197302,90400
1985-02-08,0.000000,5.370370,5.370370,5.370370,1.193188,14100
1985-02-11,0.000000,5.500000,5.333333,5.333333,1.184959,76900
1985-02-12,0.000000,5.370370,5.333333,5.351852,1.189075,63400
1985-02-13,0.000000,5.462963,5.370370,5.462963,1.213761,74200
1985-02-14,0.000000,5.518518,5.351852,5.444445,1.209647,55300
1985-02-15,0.000000,5.592593,5.481482,5.592593,1.242562,20200
1985-02-19,0.000000,5.555555,5.462963,5.462963,1.213761,20800
1985-02-20,0.000000,5.425926,5.333333,5.333333,1.184959,63400
1985-02-21,0.000000,5.333333,5.314815,5.333333,1.184959,83700
1985-02-22,0.000000,5.333333,5.222222,5.222222,1.160272,16800
1985-02-25,0.000000,5.185185,4.888889,4.925926,1.094441,34300
1985-02-26,0.000000,5.074074,4.962963,5.037037,1.119128,20800
1985-02-27,0.000000,5.185185,5.074074,5.166667,1.147929,68800
1985-02-28,0.000000,5.185185,5.129630,5.185185,1.152044,46500
1985-03-01,0.000000,5.333333,5.222222,5.333333,1.184959,10800
1985-03-04,0.000000,5.629630,5.407407,5.555555,1.234333,173400
1985-03-05,0.000000,5.666667,5.592593,5.592593,1.242562,20200
1985-03-06,0.000000,5.629630,5.555555,5.611111,1.246676,107200
1985-03-07,0.000000,5.592593,5.537037,5.555555,1.234333,138300
1985-03-08,0.000000,5.555555,5.518518,5.518518,1.226104,43200
1985-03-11,0.000000,5.518518,5.444445,5.444445,1.209647,37000
1985-03-12,0.000000,5.462963,5.370370,5.370370,1.193188,17500
1985-03-13,0.000000,5.333333,5.259259,5.296296,1.176731,16800
1985-03-14,0.000000,5.259259,5.111111,5.111111,1.135586,19500
1985-03-15,0.000000,5.111111,4.925926,5.018518,1.115014,55900
1985-03-18,0.000000,5.055555,4.981482,5.018518,1.115014,30300
1985-03-19,0.000000,5.111111,5.018518,5.111111,1.135586,19500
1985-03-20,0.000000,5.166667,5.129630,5.166667,1.147929,5400
1985-03-21,5.166667,5.166667,5.166667,5.166667,1.147929,0
1985-03-22,0.000000,5.129630,5.129630,5.129630,1.139701,11400
1985-03-25,0.000000,5.111111,5.111111,5.111111,1.135586,4000
