Date,Open,High,Low,Close,Adj Close,Volume
2017-04-28,18.700001,19.639999,18.670000,19.500000,18.315269,6609400
2017-05-01,19.500000,19.719999,19.500000,19.600000,18.409193,604900
2017-05-02,19.600000,19.850000,19.250999,19.809999,18.606434,520500
2017-05-03,19.719999,20.180000,19.250999,19.870001,18.662792,300600
2017-05-04,19.799999,20.719999,19.650000,20.299999,19.066664,1038400
2017-05-05,20.320000,20.650000,20.240000,20.370001,19.132412,154200
2017-05-08,20.350000,20.400000,20.110001,20.299999,19.066664,159900
2017-05-09,20.330000,20.837000,20.000000,20.580000,19.329657,236200
2017-05-10,20.650000,21.129999,20.299999,21.010000,19.733530,292900
2017-05-11,21.110001,21.110001,20.670000,21.010000,19.733530,153100
2017-05-12,21.049999,21.049999,20.740000,20.910000,19.639605,46200
2017-05-15,20.950001,21.473000,20.788000,21.150000,19.865023,230800
2017-05-16,21.260000,21.280001,20.799999,21.049999,19.771097,198000
2017-05-17,20.980000,21.600000,20.709999,21.480000,20.174971,398900
2017-05-18,21.480000,22.070000,21.340000,21.580000,20.268896,68100
2017-05-19,21.690001,21.950001,21.320000,21.760000,20.437960,165400
2017-05-22,21.870001,22.010000,21.809999,22.000000,20.663380,81900
2017-05-23,22.150000,22.426001,21.473000,21.940001,20.607021,279300
2017-05-24,22.000000,22.500000,21.820000,22.240000,20.888796,276900
2017-05-25,21.780001,22.459999,21.542999,22.000000,20.663380,910600
2017-05-26,22.030001,22.200001,21.450001,21.500000,20.193758,649300
2017-05-30,21.400000,21.500000,20.150000,20.500000,19.254513,257200
2017-05-31,20.500000,20.650000,20.260000,20.480000,19.235725,456300
2017-06-01,20.969999,21.230000,20.450001,20.959999,19.686563,366000
2017-06-02,21.030001,21.230000,20.799999,21.139999,19.855631,199900
2017-06-05,21.209999,21.490000,20.969999,21.280001,20.053528,203700
2017-06-06,21.170000,21.540001,21.120001,21.200001,19.978138,138800
2017-06-07,21.120001,21.379999,21.000000,21.250000,20.025255,150200
2017-06-08,22.020000,22.020000,21.160000,21.639999,20.392776,207900
2017-06-09,21.700001,21.760000,21.580000,21.709999,20.458740,85000
2017-06-12,21.730000,22.190001,21.590000,21.980000,20.713179,182900
2017-06-13,21.950001,22.665001,21.950001,22.500000,21.203209,178400
2017-06-14,22.450001,23.370001,22.315001,22.709999,21.401106,180700
2017-06-15,22.590000,22.670000,21.389999,21.780001,20.524706,167400
2017-06-16,21.740000,22.469999,21.700001,22.150000,20.873384,733300
2017-06-19,22.110001,22.730000,21.680000,21.910000,20.647215,291400
2017-06-20,21.850000,21.980000,21.250000,21.469999,20.232573,158500
2017-06-21,21.540001,21.639999,21.160000,21.370001,20.138342,200600
2017-06-22,21.360001,21.860001,20.780001,21.010000,19.799089,145500
2017-06-23,20.980000,21.809999,20.570000,21.290001,20.062952,2006900
2017-06-26,21.230000,21.610001,21.000000,21.230000,20.006407,266100
2017-06-27,21.250000,22.100000,21.155001,21.490000,20.251425,279500
2017-06-28,21.430000,22.540001,21.370001,21.820000,20.562403,193700
2017-06-29,21.860001,21.867001,21.299999,21.500000,20.260847,59800
2017-06-30,21.580000,22.150000,21.520000,21.900000,20.637791,282100
2017-07-03,21.920000,21.959999,21.670000,21.760000,20.505859,43700
2017-07-05,21.790001,22.030001,21.041000,21.840000,20.581249,164000
2017-07-06,21.709999,22.150000,21.400000,21.799999,20.543554,403500
2017-07-07,21.820000,22.180000,21.584999,22.129999,20.854532,235200
2017-07-10,22.040001,22.379999,21.870001,22.120001,20.845110,248700
2017-07-11,22.080000,22.280001,21.905001,22.260000,20.977043,166400
2017-07-12,22.370001,22.389999,22.049999,22.170000,20.892233,95200
2017-07-13,22.209999,22.500000,21.920000,22.230000,20.948772,412500
2017-07-14,22.150000,22.500000,22.014999,22.120001,20.845110,58300
2017-07-17,22.160000,22.379999,22.000000,22.100000,20.826267,70100
2017-07-18,22.100000,22.420000,22.070000,22.260000,20.977043,78000
2017-07-19,22.280001,22.700001,22.135000,22.270000,20.986467,72100
2017-07-20,22.290001,22.530001,22.209999,22.250000,20.967619,59600
2017-07-21,22.459999,22.799999,22.263000,22.549999,21.250330,417500
2017-07-24,22.500000,22.500000,22.080000,22.260000,20.977043,134100
2017-07-25,22.250000,22.730000,22.230000,22.530001,21.231480,210600
2017-07-26,22.510000,22.889999,22.240000,22.500000,21.203209,51000
2017-07-27,22.610001,22.799999,22.480000,22.520000,21.222059,67300
2017-07-28,22.370001,23.160000,22.320000,23.000000,21.674391,169400
2017-07-31,23.010000,23.014999,22.549999,22.889999,21.570734,70100
2017-08-01,22.940001,22.940001,22.219999,22.549999,21.250330,252900
2017-08-02,22.459999,22.540001,21.580000,21.950001,20.684908,354300
2017-08-03,21.799999,22.240000,20.990000,21.080000,19.865055,436700
