Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,107.500000,113.000000,110.000000,110.000000,110.000000,100
2000-01-04,112.000000,112.000000,106.500000,110.000000,110.000000,100
2000-01-05,99.000000,102.000000,99.000000,100.000000,100.000000,100
2000-01-06,99.300003,100.500000,99.000000,99.000000,99.000000,600
2000-01-07,96.000000,102.000000,95.500000,102.000000,102.000000,200
2000-01-10,108.000000,110.500000,108.000000,109.000000,109.000000,100
2000-01-11,112.000000,112.000000,111.000000,111.150002,111.150002,700
2000-01-12,108.000000,108.000000,107.500000,107.500000,107.500000,58
2000-01-13,108.500000,108.500000,107.500000,108.500000,108.500000,200
2000-01-14,107.000000,109.199997,107.000000,109.000000,109.000000,400
2000-01-18,113.300003,113.300003,112.000000,113.099998,113.099998,800
2000-01-19,110.300003,111.000000,111.000000,111.000000,111.000000,5
2000-01-20,115.800003,119.000000,115.800003,119.000000,119.000000,600
2000-01-21,119.000000,119.000000,119.000000,119.000000,119.000000,23
2000-01-24,121.000000,123.800003,121.000000,123.800003,123.800003,300
2000-01-25,113.500000,114.000000,113.500000,115.000000,115.000000,500
2000-01-26,119.000000,119.000000,119.000000,119.000000,119.000000,17
2000-01-27,110.000000,112.000000,110.000000,111.000000,111.000000,300
2000-01-28,110.000000,110.000000,109.000000,109.000000,109.000000,800
2000-01-31,103.000000,105.400002,103.000000,105.400002,105.400002,200
2000-02-01,110.000000,111.000000,106.750000,106.750000,106.750000,600
2000-02-02,109.000000,109.000000,109.000000,109.300003,109.300003,40
2000-02-03,111.900002,115.000000,111.900002,114.500000,114.500000,500
2000-02-04,114.500000,114.500000,113.500000,113.500000,113.500000,100
2000-02-07,113.000000,113.000000,112.000000,112.000000,112.000000,200
2000-02-08,116.400002,117.500000,116.900002,117.500000,117.500000,100
2000-02-09,120.000000,120.500000,119.500000,120.000000,120.000000,200
2000-02-10,116.300003,117.000000,115.500000,117.000000,117.000000,100
2000-02-11,122.000000,122.000000,122.000000,118.000000,118.000000,2
2000-02-14,116.500000,116.500000,116.500000,116.500000,116.500000,0
2000-02-15,118.000000,118.500000,118.000000,118.500000,118.500000,100
2000-02-16,119.500000,119.500000,119.500000,119.500000,119.500000,25
2000-02-17,120.300003,120.900002,119.800003,120.900002,120.900002,200
2000-02-18,122.000000,122.500000,121.000000,121.000000,121.000000,300
2000-02-22,122.000000,122.000000,120.099998,120.099998,120.099998,800
2000-02-23,116.000000,117.000000,115.699997,116.500000,116.500000,300
2000-02-24,120.000000,120.500000,120.000000,120.500000,120.500000,200
2000-02-25,128.500000,130.500000,127.900002,127.900002,127.900002,700
