Date,Open,High,Low,Close,Adj Close,Volume
2006-04-26,4.100000,4.140000,3.950000,4.100000,3.984949,56100
2006-04-27,4.080000,4.100000,4.060000,4.080000,3.965510,10500
2006-04-28,4.150000,4.210000,4.090000,4.150000,4.033546,33600
2006-05-01,4.270000,4.270000,4.150000,4.270000,4.150178,17500
2006-05-02,4.660000,4.670000,4.340000,4.660000,4.529234,12800
2006-05-03,4.400000,4.780000,4.400000,4.400000,4.276531,30300
2006-05-04,4.480000,4.610000,4.380000,4.480000,4.354286,12100
2006-05-05,4.540000,4.610000,4.450000,4.540000,4.412602,14000
2006-05-08,4.270000,4.470000,4.270000,4.270000,4.150178,18600
2006-05-09,4.400000,4.400000,4.200000,4.400000,4.276531,28200
2006-05-10,4.400000,4.420000,4.290000,4.400000,4.276531,26500
2006-05-11,4.420000,4.610000,4.370000,4.420000,4.295969,20700
2006-05-12,4.130000,4.200000,4.090000,4.130000,4.014107,8900
2006-05-15,3.950000,4.050000,3.720000,3.950000,3.839158,41000
2006-05-16,3.750000,3.990000,3.700000,3.750000,3.644770,39200
2006-05-17,3.520000,3.900000,3.510000,3.520000,3.421225,32800
2006-05-18,3.340000,6.080000,3.340000,3.340000,3.246275,32700
2006-05-19,3.090000,3.270000,2.160000,3.090000,3.003291,66100
2006-05-22,3.090000,3.090000,3.090000,3.090000,3.003291,0
2006-05-23,3.050000,3.290000,3.050000,3.050000,2.964413,93900
2006-05-24,2.980000,3.060000,2.970000,2.980000,2.896378,17500
2006-05-25,3.230000,3.240000,3.030000,3.230000,3.139362,29300
2006-05-26,3.300000,3.320000,3.210000,3.300000,3.207398,7600
2006-05-30,3.430000,3.670000,3.430000,3.430000,3.333750,28700
2006-05-31,3.390000,3.430000,3.330000,3.390000,3.294873,51100
2006-06-01,3.250000,3.400000,3.160000,3.250000,3.158801,52400
2006-06-02,3.320000,3.390000,3.240000,3.320000,3.226837,24200
2006-06-05,3.300000,3.370000,3.300000,3.300000,3.207398,28300
2006-06-06,2.980000,3.200000,2.920000,2.980000,2.896378,43000
2006-06-07,2.800000,3.000000,2.780000,2.800000,2.721429,65500
2006-06-08,2.950000,2.950000,2.660000,2.950000,2.867219,36700
2006-06-09,2.800000,3.030000,2.800000,2.800000,2.721429,19600
2006-06-12,2.750000,2.920000,2.730000,2.750000,2.672832,17100
2006-06-13,2.420000,2.680000,2.370000,2.420000,2.352092,55800
2006-06-14,2.680000,2.850000,2.510000,2.680000,2.604796,32100
2006-06-15,2.850000,2.870000,2.770000,2.850000,2.770025,13700
2006-06-16,2.830000,3.020000,2.800000,2.830000,2.750587,10400
2006-06-19,2.840000,2.850000,2.720000,2.840000,2.760306,21300
2006-06-20,2.930000,2.930000,2.800000,2.930000,2.847781,12300
2006-06-21,3.030000,3.030000,2.870000,3.030000,2.944974,13800
2006-06-22,3.060000,3.270000,2.880000,3.060000,2.974133,56100
2006-06-23,3.130000,3.200000,3.060000,3.130000,3.042169,27100
2006-06-26,2.920000,3.220000,2.920000,2.920000,2.838061,45600
2006-06-27,3.020000,3.150000,3.020000,3.020000,2.935255,18700
2006-06-28,3.010000,3.130000,2.920000,3.010000,2.925536,13400
