Date,Open,High,Low,Close,Adj Close,Volume
2015-02-04,26.469999,26.469999,26.370001,26.469999,20.835255,3700
2015-02-05,26.440001,26.450001,26.200001,26.200001,20.622728,8300
2015-02-06,25.920000,26.400000,25.920000,26.139999,20.575499,6200
2015-02-09,26.250000,26.250000,26.209999,26.209999,20.630596,1700
2015-02-10,26.080000,26.247999,26.080000,26.190001,20.614857,42600
2015-02-11,26.200001,26.229000,26.040001,26.180000,20.606985,5700
2015-02-12,26.129999,26.299999,26.129999,26.299999,20.701443,32400
2015-02-13,26.299999,26.299999,26.290001,26.299999,20.701443,5100
2015-02-17,26.299999,26.299999,26.290001,26.299999,20.701443,6600
2015-02-18,26.139999,26.190001,26.049999,26.150000,20.583370,7500
2015-02-19,26.280001,26.299999,26.245001,26.290001,20.693575,5800
2015-02-20,26.299000,26.299999,26.250000,26.299999,20.701443,27300
2015-02-23,26.379999,26.379999,26.323999,26.350000,20.740799,7500
2015-02-24,26.320000,26.429001,26.309999,26.309999,20.709314,1200
2015-02-25,26.000000,26.000000,25.950001,25.980000,20.726864,4600
2015-02-26,25.990000,25.990000,25.900000,25.900000,20.663036,5300
2015-02-27,25.990000,26.389999,25.941000,26.280001,20.966204,15900
2015-03-02,26.129999,26.400000,26.129999,26.299999,20.982161,6700
2015-03-03,26.400000,26.400000,26.190001,26.320000,20.998116,4400
2015-03-04,25.851999,26.379999,25.851999,26.370001,21.038006,1500
2015-03-05,26.400000,26.431000,26.400000,26.431000,21.086672,1200
2015-03-06,26.330000,26.330000,26.049999,26.250000,20.942268,90100
2015-03-09,26.160000,26.240000,26.100000,26.200001,20.902380,9700
2015-03-10,26.120001,26.379999,26.120001,26.379999,21.045982,8400
2015-03-11,26.337999,26.459999,26.330000,26.350000,21.022047,4200
2015-03-12,26.490000,26.490000,26.000000,26.350000,21.022047,4800
2015-03-13,26.309999,26.360001,26.299999,26.299999,20.982161,2200
2015-03-16,26.469999,26.469999,26.320000,26.340000,21.014071,1600
2015-03-17,26.406000,26.406000,26.230000,26.320999,20.998913,2400
2015-03-18,26.270000,26.440001,26.219999,26.270000,20.958227,4500
2015-03-19,26.180000,26.389999,26.080000,26.080000,20.806644,5300
2015-03-20,26.150000,26.150000,25.850000,25.850000,20.623148,2100
2015-03-23,26.190001,26.200001,25.879999,25.879999,20.647083,5700
2015-03-24,26.110001,26.170000,26.110001,26.139999,20.854511,2200
2015-03-25,26.360001,26.360001,26.080000,26.080000,20.806644,4100
2015-03-26,26.327000,26.327000,26.150000,26.150000,20.862490,2000
2015-03-27,26.250000,26.320000,26.139999,26.280001,20.966204,7900
2015-03-30,26.219999,26.309999,26.129999,26.129999,20.846535,11600
2015-03-31,26.150000,26.170000,26.117001,26.150000,20.862490,6900
2015-04-01,26.209000,26.209000,26.049999,26.049999,20.782709,1800
2015-04-02,26.129999,26.150000,26.110001,26.110001,20.830582,1100
2015-04-06,26.219999,26.219999,26.100000,26.100000,20.822599,3100
2015-04-07,26.200001,26.200001,26.200001,26.200001,20.902380,400
2015-04-08,26.160000,26.160000,26.160000,26.160000,20.870466,100
2015-04-09,26.170000,26.190001,26.139999,26.139999,20.854511,1300
2015-04-10,26.120001,26.208000,26.120001,26.172001,20.880045,900
2015-04-13,26.139999,26.191999,26.100000,26.150000,20.862490,114500
2015-04-14,26.219999,26.219999,26.129999,26.139999,20.854511,2000
2015-04-15,26.141001,26.150000,26.120001,26.129000,20.845736,2300
2015-04-16,26.129999,26.190001,26.120001,26.129999,20.846535,3800
2015-04-17,26.049999,26.150000,26.049999,26.049999,20.782709,8300
2015-04-20,26.070999,26.096001,26.070999,26.080000,20.806644,2800
2015-04-21,26.150000,26.150000,26.096001,26.150000,20.862490,5100
2015-04-22,26.150000,26.209999,26.049999,26.139999,20.854511,4000
2015-04-23,26.280001,26.459000,26.270000,26.379999,21.045982,4300
2015-04-24,26.190001,26.190001,26.190001,26.190001,20.894403,900
2015-04-27,26.200001,26.200001,26.200001,26.200001,20.902380,1300
2015-04-28,26.190001,26.200001,26.150999,26.150999,20.863287,2900
2015-04-29,26.190001,26.200001,26.139999,26.139999,20.854511,2300
2015-04-30,26.250000,26.250000,26.190001,26.190001,20.894403,1400
2015-05-01,26.200001,26.200001,26.110001,26.110001,20.830582,1900
2015-05-04,26.170000,26.170000,26.160000,26.160000,20.870466,2100
2015-05-05,26.150000,26.400000,26.150000,26.150000,20.862490,6000
2015-05-06,26.150000,26.150000,26.000000,26.110001,20.830582,4300
2015-05-07,25.990000,26.090000,25.950001,26.090000,20.814617,4000
2015-05-08,25.973000,26.090000,25.973000,26.049999,20.782709,3000
2015-05-11,26.059999,26.100000,25.879999,26.010000,20.750799,3900
2015-05-12,26.120001,26.129999,26.040001,26.040001,20.774733,4700
2015-05-13,26.150000,26.150000,26.146999,26.150000,20.862490,4500
2015-05-14,26.230000,26.250000,26.150000,26.250000,20.942268,3100
2015-05-15,26.225000,26.250000,26.125000,26.250000,20.942268,205700
2015-05-18,26.360001,26.420000,26.250000,26.250000,20.942268,3600
2015-05-19,26.230000,26.290001,26.200001,26.200001,20.902380,4300
2015-05-20,26.200001,26.209999,26.190001,26.190001,20.894403,2100
2015-05-21,26.191999,26.400000,26.191999,26.230000,20.926313,4800
2015-05-22,26.280001,26.280001,26.090000,26.170000,20.878447,2600
2015-05-26,26.100000,26.240000,26.100000,26.230000,20.926313,3000
2015-05-27,26.289000,26.330000,26.160000,26.190001,20.894403,11100
2015-05-28,26.260000,26.260000,26.049999,26.159000,20.869669,5600
2015-05-29,26.290001,26.290001,26.129999,26.139999,20.854511,1400
2015-06-01,26.047001,26.047001,25.920000,26.047001,20.780317,1900
2015-06-02,26.080000,26.250000,25.980000,26.240000,20.934292,6700
2015-06-03,26.400000,26.400000,26.110001,26.139999,20.854511,2200
2015-06-04,26.100000,26.250000,26.080000,26.250000,20.942268,3900
2015-06-05,26.326000,26.326000,26.268000,26.268000,20.956633,1200
2015-06-08,26.100000,26.330000,26.100000,26.330000,21.006092,300
2015-06-09,26.059999,26.230000,26.049999,26.230000,20.926313,2400
2015-06-10,26.211000,26.211000,26.000000,26.040001,20.774733,5700
2015-06-11,26.040001,26.240000,26.040001,26.205999,20.907166,1000
2015-06-12,26.299999,26.299999,26.110001,26.110001,20.830582,1100
2015-06-15,26.350000,26.350000,26.010000,26.070000,20.798664,900
2015-06-16,26.110001,26.266001,26.110001,26.110001,20.830582,5500
2015-06-17,26.170000,26.271999,25.690001,25.820000,20.599215,13900
2015-06-18,25.790001,25.990000,25.790001,25.930000,20.686975,3500
2015-06-19,26.030001,26.030001,25.888000,25.900000,20.663036,1000
