Date,Open,High,Low,Close,Adj Close,Volume
1985-01-29,8.585200,8.585200,8.585200,8.585200,8.585200,149850
1985-01-30,8.460360,8.928580,8.429070,8.460360,8.460360,178425
1985-01-31,8.273020,8.429070,8.273020,8.273020,8.273020,114975
1985-02-01,8.366620,8.366620,8.273020,8.366620,8.366620,56925
1985-02-04,8.397910,8.491510,8.366620,8.397910,8.397910,62325
1985-02-05,8.522760,8.522760,8.522760,8.522760,8.522760,35325
1985-02-06,8.460360,8.522760,8.429070,8.460360,8.460360,21375
1985-02-07,8.397910,8.491510,8.366620,8.397910,8.397910,14850
1985-02-08,8.273020,8.491510,8.148130,8.273020,8.273020,39375
1985-02-11,8.210580,8.273020,8.210580,8.210580,8.210580,16875
1985-02-12,8.116890,8.210580,8.085730,8.116890,8.116890,27675
1985-02-13,8.273020,8.273020,8.273020,8.273020,8.273020,12600
1985-02-14,8.210580,8.335470,8.210580,8.210580,8.210580,24750
1985-02-15,8.210580,8.335470,8.210580,8.210580,8.210580,24525
1985-02-19,8.210580,8.335470,8.210580,8.210580,8.210580,6975
1985-02-20,8.335470,8.335470,8.335470,8.335470,8.335470,12150
1985-02-21,8.335470,8.335470,8.335470,8.335470,8.335470,21150
1985-02-22,8.335470,8.335470,8.210580,8.335470,8.335470,9900
1985-02-25,7.992000,8.335470,7.992000,7.992000,7.992000,33300
1985-02-26,7.960840,8.085730,7.929560,7.960840,7.960840,35100
1985-02-27,8.085730,8.085730,8.085730,8.085730,8.085730,12150
1985-02-28,8.335470,8.429070,8.335470,8.335470,8.335470,75825
1985-03-01,9.334440,9.334440,8.335470,9.334440,9.334440,199575
1985-03-04,9.334440,9.365640,9.334440,9.334440,9.334440,47925
1985-03-05,9.459330,9.521780,9.428090,9.459330,9.459330,29475
1985-03-06,9.334440,9.646670,9.334440,9.334440,9.334440,76275
1985-03-07,9.147160,9.428090,9.147160,9.147160,9.147160,139950
1985-03-08,9.272040,9.272040,9.084710,9.272040,9.272040,23175
1985-03-11,9.147160,9.272040,9.147160,9.147160,9.147160,15975
1985-03-12,9.209600,9.209600,9.209600,9.209600,9.209600,37575
1985-03-13,9.115870,9.209600,9.084710,9.115870,9.115870,17325
1985-03-14,8.772530,9.022270,8.772530,8.772530,8.772530,60300
1985-03-15,8.710090,8.772530,8.647640,8.710090,8.710090,10575
1985-03-18,8.772530,8.772530,8.772530,8.772530,8.772530,9000
1985-03-19,8.991020,8.991020,8.991020,8.991020,8.991020,39375
1985-03-20,8.897420,9.084710,8.866130,8.897420,8.897420,13050
1985-03-21,8.991020,8.991020,8.991020,8.991020,8.991020,17550
1985-03-22,8.834980,8.866130,8.710090,8.834980,8.834980,25650
1985-03-25,8.995530,9.151730,8.995530,8.995530,8.995530,10200
1985-03-26,8.495730,8.995530,8.495730,8.495730,8.495730,29250
1985-03-27,8.589530,8.652000,8.589530,8.589530,8.589530,60900
1985-03-28,8.495730,8.652000,8.495730,8.495730,8.495730,31350
1985-03-29,8.652000,8.652000,8.402070,8.652000,8.652000,54900
1985-04-01,8.652000,8.652000,8.652000,8.652000,8.652000,58500
1985-04-02,8.652000,8.652000,8.652000,8.652000,8.652000,9150
1985-04-03,8.495730,8.652000,8.495730,8.495730,8.495730,20250
1985-04-04,8.589530,8.589530,8.339600,8.589530,8.589530,7350
1985-04-08,8.589530,8.589530,8.589530,8.589530,8.589530,7650
1985-04-09,8.589530,8.589530,8.589530,8.589530,8.589530,13050
1985-04-10,8.589530,8.589530,8.589530,8.589530,8.589530,6450
1985-04-11,8.339600,8.589530,8.339600,8.339600,8.339600,39600
1985-04-12,8.245870,8.339600,7.996000,8.245870,8.245870,10650
1985-04-15,7.652470,8.152200,7.652470,7.652470,7.652470,42150
1985-04-16,7.839870,7.839870,7.839870,7.839870,7.839870,136350
1985-04-17,7.996000,7.996000,7.996000,7.996000,7.996000,64800
1985-04-18,7.996000,7.996000,7.996000,7.996000,7.996000,13500
1985-04-19,7.996000,7.996000,7.839870,7.996000,7.996000,19350
1985-04-22,7.839870,7.996000,7.839870,7.839870,7.839870,4500
1985-04-23,7.996000,7.996000,7.996000,7.996000,7.996000,37650
1985-04-24,7.902330,7.996000,7.902330,7.902330,7.902330,43500
1985-04-25,7.839870,7.996000,7.839870,7.839870,7.839870,19950
1985-04-26,7.839870,7.996000,7.839870,7.839870,7.839870,11850
1985-04-29,7.996000,7.996000,7.996000,7.996000,7.996000,8100
1985-04-30,7.996000,7.996000,7.996000,7.996000,7.996000,4650
1985-05-01,7.839870,7.996000,7.839870,7.839870,7.839870,14700
1985-05-02,7.902330,7.996000,7.902330,7.902330,7.902330,22200
1985-05-03,8.152200,8.152200,7.839870,8.152200,8.152200,18300
1985-05-06,8.152200,8.152200,8.152200,8.152200,8.152200,6150
1985-05-07,8.652000,8.745600,8.652000,8.652000,8.652000,37950
1985-05-08,8.652000,8.839400,8.652000,8.652000,8.652000,61950
1985-05-09,8.995530,9.089270,8.995530,8.995530,8.995530,88200
1985-05-10,9.089270,9.151730,8.995530,9.089270,9.089270,146550
1985-05-13,9.401600,9.651470,9.401600,9.401600,9.401600,24150
1985-05-14,9.589000,9.838870,9.589000,9.589000,9.589000,24600
1985-05-15,9.995000,10.151200,9.995000,9.995000,9.995000,49500
1985-05-16,9.651470,10.151200,9.651470,9.651470,9.651470,33900
1985-05-17,9.838870,9.901330,9.651470,9.838870,9.838870,26250
1985-05-20,10.151200,10.151200,10.151200,10.151200,10.151200,67050
1985-05-21,10.151200,10.338600,10.151200,10.151200,10.151200,12450
1985-05-22,10.151200,10.432300,10.151200,10.151200,10.151200,15000
1985-05-23,10.244900,10.432300,10.244900,10.244900,10.244900,70800
1985-05-24,10.151200,10.432300,10.151200,10.151200,10.151200,68550
1985-05-28,10.151200,10.338600,10.151200,10.151200,10.151200,13200
1985-05-29,10.244900,10.244900,10.244900,10.244900,10.244900,21750
1985-05-30,10.244900,10.244900,10.244900,10.244900,10.244900,6900
1985-05-31,10.151200,10.244900,10.151200,10.151200,10.151200,35100
1985-06-03,10.088700,10.244900,10.088700,10.088700,10.088700,17550
1985-06-04,9.995000,10.088700,9.995000,9.995000,9.995000,16500
1985-06-05,10.151200,10.432300,10.151200,10.151200,10.151200,10650
1985-06-06,10.682100,10.682100,10.682100,10.682100,10.682100,28050
1985-06-07,10.838400,10.994500,10.838400,10.838400,10.838400,44850
1985-06-10,10.838400,10.994500,10.838400,10.838400,10.838400,15300
1985-06-11,10.994500,11.181900,10.994500,10.994500,10.994500,84900
1985-06-12,10.932100,11.181900,10.932100,10.932100,10.932100,37500
1985-06-13,10.494700,10.932100,10.494700,10.494700,10.494700,73500
1985-06-14,10.588500,10.588500,10.588500,10.588500,10.588500,24750
1985-06-17,10.244900,10.588500,10.244900,10.244900,10.244900,55200
1985-06-18,9.995000,10.244900,9.995000,9.995000,9.995000,52800
1985-06-19,9.651470,9.901330,9.651470,9.651470,9.651470,17100
1985-06-20,9.339130,9.651470,9.339130,9.339130,9.339130,13500
1985-06-21,9.589000,9.995000,9.589000,9.589000,9.589000,198750
1985-06-24,9.495270,9.589000,9.495270,9.495270,9.495270,10500
1985-06-25,10.088700,10.088700,10.088700,10.088700,10.088700,91950
1985-06-26,9.995000,10.088700,9.995000,9.995000,9.995000,17550
1985-06-27,10.338600,10.588500,10.338600,10.338600,10.338600,112650
1985-06-28,11.244400,11.338100,11.244400,11.244400,11.244400,129750
1985-07-01,11.181900,11.244400,11.181900,11.181900,11.181900,39750
1985-07-02,11.431800,11.431800,11.431800,11.431800,11.431800,55350
1985-07-03,11.494300,11.494300,11.494300,11.494300,11.494300,25050
1985-07-05,11.338100,11.588000,11.338100,11.338100,11.338100,10500
1985-07-08,11.994000,11.994000,11.994000,11.994000,11.994000,96750
1985-07-09,12.181400,12.587500,12.181400,12.181400,12.181400,87450
1985-07-10,12.837400,12.931100,12.837400,12.837400,12.837400,85500
1985-07-11,12.493700,12.837400,12.493700,12.493700,12.493700,59550
1985-07-12,12.681100,12.681100,12.681100,12.681100,12.681100,88050
1985-07-15,12.337600,12.743600,12.337600,12.337600,12.337600,21600
1985-07-16,12.181400,12.493700,12.181400,12.181400,12.181400,16350
1985-07-17,12.181400,12.587500,12.181400,12.181400,12.181400,20550
1985-07-18,12.087700,12.337600,12.087700,12.087700,12.087700,12000
1985-07-19,11.744100,12.243900,11.744100,11.744100,11.744100,22650
1985-07-22,11.744100,11.837900,11.744100,11.744100,11.744100,4050
1985-07-23,11.494300,11.931500,11.494300,11.494300,11.494300,19650
1985-07-24,11.338100,11.494300,11.338100,11.338100,11.338100,12150
1985-07-25,12.087700,12.087700,12.087700,12.087700,12.087700,30300
1985-07-26,12.087700,12.087700,12.087700,12.087700,12.087700,6150
1985-07-29,11.744100,12.087700,11.744100,11.744100,11.744100,6150
1985-07-30,11.931500,11.931500,11.931500,11.931500,11.931500,5700
1985-07-31,11.744100,11.931500,11.744100,11.744100,11.744100,8550
1985-08-01,11.744100,11.931500,11.744100,11.744100,11.744100,5100
1985-08-02,11.837900,11.837900,11.837900,11.837900,11.837900,3000
1985-08-05,11.744100,11.837900,11.744100,11.744100,11.744100,15450
1985-08-06,11.744100,11.744100,11.744100,11.744100,11.744100,4500
1985-08-07,11.431800,11.744100,11.431800,11.431800,11.431800,25650
