Date,Open,High,Low,Close,Adj Close,Volume
2019-11-14,9.650000,9.650000,9.650000,9.650000,9.650000,100
2019-11-15,9.700000,9.700000,9.680000,9.680000,9.680000,200200
2019-11-18,9.680000,9.680000,9.670000,9.670000,9.670000,133400
2019-11-19,9.680000,9.690000,9.680000,9.680000,9.680000,319500
2019-11-20,9.680000,9.690000,9.680000,9.690000,9.690000,32200
2019-11-21,9.690000,9.690000,9.690000,9.690000,9.690000,200
2019-11-22,9.650000,9.690000,9.650000,9.670000,9.670000,5600
2019-11-25,9.690000,9.690000,9.680000,9.690000,9.690000,123900
2019-11-26,9.700000,9.740000,9.700000,9.740000,9.740000,4600
2019-11-27,9.910000,10.102000,9.690000,9.740000,9.740000,20900
2019-11-29,9.740000,9.740000,9.740000,9.740000,9.740000,0
2019-12-02,9.740000,9.740000,9.740000,9.740000,9.740000,100
2019-12-03,9.740000,9.740000,9.740000,9.740000,9.740000,0
2019-12-04,9.740000,9.740000,9.740000,9.740000,9.740000,0
2019-12-05,9.740000,9.740000,9.740000,9.740000,9.740000,0
2019-12-06,9.720000,9.720000,9.720000,9.720000,9.720000,50000
2019-12-09,9.720000,9.720000,9.720000,9.720000,9.720000,0
2019-12-10,9.720000,9.720000,9.720000,9.720000,9.720000,0
2019-12-11,9.770000,9.770000,9.770000,9.770000,9.770000,2500
2019-12-12,9.770000,9.770000,9.770000,9.770000,9.770000,0
2019-12-13,9.740000,9.770000,9.740000,9.750000,9.750000,199300
2019-12-16,9.770000,9.770000,9.770000,9.770000,9.770000,600
2019-12-17,9.680000,9.800000,9.680000,9.800000,9.800000,18400
2019-12-18,9.800000,9.810000,9.760000,9.800000,9.800000,321700
2019-12-19,9.840000,9.840000,9.840000,9.840000,9.840000,100
2019-12-20,9.840000,9.840000,9.840000,9.840000,9.840000,0
2019-12-23,9.840000,9.840000,9.840000,9.840000,9.840000,0
2019-12-24,10.010000,10.010000,9.910000,9.950000,9.950000,600
2019-12-26,9.950000,9.950000,9.950000,9.950000,9.950000,0
2019-12-27,9.950000,9.950000,9.950000,9.950000,9.950000,0
2019-12-30,9.950000,9.950000,9.950000,9.950000,9.950000,0
2019-12-31,9.860000,9.860000,9.800000,9.800000,9.800000,500
2020-01-02,9.800000,9.800000,9.800000,9.800000,9.800000,0
2020-01-03,9.810000,9.830000,9.800000,9.820000,9.820000,152500
2020-01-06,9.830000,9.830000,9.830000,9.830000,9.830000,200
2020-01-07,9.830000,9.830000,9.830000,9.830000,9.830000,1100
2020-01-08,9.830000,9.830000,9.830000,9.830000,9.830000,0
2020-01-09,9.830000,9.840000,9.830000,9.840000,9.840000,52000
2020-01-10,9.850000,9.850000,9.830000,9.850000,9.850000,225200
2020-01-13,9.850000,9.850000,9.850000,9.850000,9.850000,0
2020-01-14,9.850000,9.860000,9.840000,9.840000,9.840000,8600
2020-01-15,9.880000,9.880000,9.880000,9.880000,9.880000,1300
2020-01-16,9.860000,9.860000,9.860000,9.860000,9.860000,225100
2020-01-17,9.750000,9.900000,9.750000,9.870000,9.870000,78300
2020-01-21,9.870000,9.900000,9.860000,9.900000,9.900000,130000
2020-01-22,9.900000,9.900000,9.900000,9.900000,9.900000,0
2020-01-23,9.860000,9.860000,9.860000,9.860000,9.860000,300
2020-01-24,9.950000,9.950000,9.950000,9.950000,9.950000,4800
2020-01-27,10.000000,10.020000,10.000000,10.000000,10.000000,9000
2020-01-28,10.000000,10.000000,10.000000,10.000000,10.000000,0
2020-01-29,10.000000,10.000000,10.000000,10.000000,10.000000,0
2020-01-30,10.000000,10.000000,10.000000,10.000000,10.000000,0
2020-01-31,10.000000,10.000000,10.000000,10.000000,10.000000,0
2020-02-03,10.000000,10.000000,10.000000,10.000000,10.000000,0
2020-02-04,9.870000,9.960000,9.870000,9.960000,9.960000,25800
2020-02-05,9.910000,9.930000,9.910000,9.930000,9.930000,4800
2020-02-06,9.930000,9.930000,9.930000,9.930000,9.930000,0
2020-02-07,9.930000,9.930000,9.930000,9.930000,9.930000,0
2020-02-10,9.950000,9.950000,9.950000,9.950000,9.950000,75100
2020-02-11,9.990000,9.990000,9.920000,9.950000,9.950000,615700
2020-02-12,9.920000,9.920000,9.920000,9.920000,9.920000,400
2020-02-13,9.940000,9.940000,9.940000,9.940000,9.940000,178800
2020-02-14,10.000000,10.060000,9.990000,9.990000,9.990000,1100
2020-02-18,9.920000,9.980000,9.920000,9.980000,9.980000,58800
2020-02-19,9.800000,10.000000,9.800000,10.000000,10.000000,118300
2020-02-20,9.900000,9.960000,9.900000,9.950000,9.950000,1900
2020-02-21,9.950000,9.950000,9.950000,9.950000,9.950000,0
2020-02-24,9.970000,9.970000,9.970000,9.970000,9.970000,400
2020-02-25,9.930000,10.000000,9.930000,9.980000,9.980000,51500
2020-02-26,9.980000,9.980000,9.980000,9.980000,9.980000,0
2020-02-27,9.930000,9.970000,9.910000,9.915000,9.915000,37600
2020-02-28,9.630000,9.970000,9.630000,9.970000,9.970000,50000
2020-03-02,10.170000,10.170000,9.890000,9.920000,9.920000,1800
2020-03-03,9.840000,9.895000,9.840000,9.895000,9.895000,700
2020-03-04,9.830000,9.950000,9.830000,9.950000,9.950000,2200
2020-03-05,9.950000,10.340000,9.940000,10.340000,10.340000,4300
2020-03-06,10.000000,10.000000,9.900000,9.940000,9.940000,2600
2020-03-09,9.900000,9.900000,9.850000,9.850000,9.850000,800
2020-03-10,9.850000,9.850000,9.850000,9.850000,9.850000,0
2020-03-11,9.900000,9.900000,9.900000,9.900000,9.900000,300
2020-03-12,9.790000,9.790000,9.790000,9.790000,9.790000,300
2020-03-13,9.790000,9.790000,9.790000,9.790000,9.790000,0
2020-03-16,9.510000,9.700000,9.350000,9.436000,9.436000,405900
2020-03-17,9.400000,9.471000,9.400000,9.471000,9.471000,400
2020-03-18,9.600000,9.600000,9.200000,9.300000,9.300000,320200
2020-03-19,9.200000,9.200000,9.200000,9.200000,9.200000,251500
2020-03-20,9.300000,9.310000,9.250000,9.250000,9.250000,1900
2020-03-23,9.250000,9.350000,9.240000,9.350000,9.350000,527500
2020-03-24,9.770000,9.770000,9.260000,9.523000,9.523000,23300
