Date,Open,High,Low,Close,Adj Close,Volume
1997-10-30,12.500000,13.500000,12.500000,12.625000,10.679827,2106900
1997-10-31,13.125000,13.187500,12.687500,13.062500,11.049922,488300
1997-11-03,13.000000,13.937500,13.000000,13.937500,11.790106,155000
1997-11-04,13.875000,13.875000,13.000000,13.375000,11.314272,258400
1997-11-05,13.375000,13.750000,13.375000,13.500000,11.420015,58000
1997-11-06,13.562500,13.875000,13.437500,13.437500,11.367142,57200
1997-11-07,13.000000,13.312500,12.937500,13.000000,10.997048,67100
1997-11-10,13.000000,13.125000,12.875000,12.875000,10.891309,85200
1997-11-11,12.750000,12.750000,12.125000,12.187500,10.309733,167000
1997-11-12,12.000000,12.125000,11.625000,11.937500,10.098254,82900
1997-11-13,11.812500,11.812500,11.000000,11.000000,9.305193,133100
1997-11-14,11.000000,11.187500,10.937500,11.000000,9.305193,68000
1997-11-17,11.125000,11.125000,10.937500,11.062500,9.358065,31400
1997-11-18,10.937500,10.937500,10.312500,10.312500,8.723620,71200
1997-11-19,10.187500,10.250000,9.437500,9.625000,8.142048,70300
1997-11-20,9.750000,10.875000,9.750000,10.875000,9.199455,39800
1997-11-21,10.937500,11.125000,10.500000,10.875000,9.199455,21600
1997-11-24,10.937500,10.937500,10.312500,10.375000,8.776489,14700
1997-11-25,10.437500,10.437500,9.875000,10.250000,8.670752,142200
1997-11-26,10.125000,10.125000,9.750000,9.812500,8.300656,46700
1997-11-28,9.750000,9.750000,9.625000,9.687500,8.194918,1600
1997-12-01,10.625000,10.687500,10.250000,10.375000,8.776489,194000
1997-12-02,10.500000,11.250000,10.437500,10.625000,8.987973,85300
1997-12-03,10.687500,10.750000,10.062500,10.500000,8.882233,25700
1997-12-04,10.375000,10.562500,10.062500,10.375000,8.776489,40300
1997-12-05,10.500000,11.250000,10.500000,10.812500,9.146584,137800
1997-12-08,10.812500,10.937500,10.750000,10.875000,9.199455,28700
1997-12-09,10.812500,10.875000,10.750000,10.750000,9.093713,38100
1997-12-10,10.562500,10.750000,10.500000,10.750000,9.093713,74000
1997-12-11,10.625000,10.750000,10.250000,10.750000,9.093713,20000
1997-12-12,10.812500,10.937500,10.250000,10.312500,8.723620,14600
1997-12-15,10.187500,10.375000,9.500000,9.500000,8.036307,73300
1997-12-16,9.375000,10.000000,9.375000,9.812500,8.300656,50600
1997-12-17,9.687500,9.687500,9.250000,9.250000,7.824823,49600
1997-12-18,9.187500,9.250000,9.125000,9.187500,7.771955,30100
1997-12-19,9.250000,9.500000,9.125000,9.125000,7.719085,180000
1997-12-22,9.250000,9.250000,9.062500,9.062500,7.666214,14000
1997-12-23,9.125000,9.125000,8.437500,8.625000,7.296119,90000
1997-12-24,8.625000,8.625000,8.125000,8.437500,7.137507,88500
1997-12-26,7.937500,8.312500,7.750000,8.187500,6.926024,98700
1997-12-29,8.312500,8.312500,7.812500,8.125000,6.873157,199500
1997-12-30,8.250000,9.125000,8.125000,8.750000,7.401862,140100
1997-12-31,8.750000,9.062500,8.500000,9.062500,7.666214,103800
1998-01-02,9.000000,9.437500,8.812500,9.375000,7.930563,15400
1998-01-05,9.500000,9.937500,9.250000,9.937500,8.406399,104300
1998-01-06,9.875000,10.437500,9.875000,10.250000,8.670752,92700
1998-01-07,10.000000,10.000000,9.500000,9.625000,8.142048,47600
1998-01-08,9.500000,9.687500,9.250000,9.500000,8.036307,67200
1998-01-09,9.375000,9.500000,9.375000,9.437500,7.983434,17000
1998-01-12,9.500000,9.625000,9.500000,9.625000,8.142048,15000
1998-01-13,9.625000,9.687500,9.250000,9.250000,7.824823,3500
1998-01-14,9.250000,9.250000,9.125000,9.250000,7.824823,16000
1998-01-15,9.250000,9.375000,9.125000,9.375000,7.930563,21700
1998-01-16,9.312500,9.437500,9.187500,9.250000,7.824823,22700
1998-01-20,9.375000,9.375000,9.125000,9.125000,7.719085,12900
1998-01-21,9.000000,9.250000,8.625000,9.250000,7.824823,44300
1998-01-22,9.125000,9.250000,8.750000,9.000000,7.613343,17400
1998-01-23,9.125000,9.125000,9.000000,9.000000,7.613343,31400
1998-01-26,9.000000,9.000000,8.875000,9.000000,7.613343,7200
1998-01-27,8.937500,9.750000,8.875000,9.750000,8.247787,39300
1998-01-28,9.750000,9.750000,9.500000,9.687500,8.194918,27600
1998-01-29,9.562500,9.562500,9.375000,9.500000,8.036307,9800
1998-01-30,9.500000,9.687500,9.250000,9.250000,7.824823,11300
1998-02-02,9.500000,9.625000,9.375000,9.500000,8.036307,13000
1998-02-03,9.500000,9.500000,9.375000,9.375000,7.930563,21100
1998-02-04,9.250000,9.250000,8.875000,9.000000,7.613343,28200
1998-02-05,8.750000,8.875000,8.687500,8.750000,7.401862,144500
1998-02-06,8.875000,9.000000,8.750000,9.000000,7.613343,19300
1998-02-09,8.750000,9.125000,8.750000,9.125000,7.719085,14100
1998-02-10,9.250000,9.937500,9.250000,9.937500,8.406399,34300
1998-02-11,10.187500,10.375000,9.750000,9.750000,8.247787,109500
1998-02-12,9.625000,9.937500,9.625000,9.937500,8.406399,13700
1998-02-13,9.812500,9.875000,9.500000,9.625000,8.142048,7300
1998-02-17,9.750000,9.750000,9.625000,9.750000,8.247787,36100
1998-02-18,9.750000,9.812500,9.562500,9.687500,8.194918,49800
1998-02-19,9.687500,9.687500,9.375000,9.500000,8.036307,14400
1998-02-20,9.437500,9.500000,9.250000,9.437500,7.983434,14300
1998-02-23,9.312500,9.312500,9.000000,9.187500,7.771955,38500
1998-02-24,9.312500,9.562500,9.312500,9.500000,8.036307,2900
1998-02-25,9.500000,9.750000,9.250000,9.750000,8.247787,13100
1998-02-26,10.000000,10.000000,9.812500,9.937500,8.406399,18000
1998-02-27,9.937500,10.000000,9.937500,10.000000,8.459270,26700
1998-03-02,10.000000,10.500000,10.000000,10.500000,8.882233,20800
