Date,Open,High,Low,Close,Adj Close,Volume
2002-08-30,11.050000,11.750000,11.050000,11.750000,9.324767,31900
2002-09-03,11.700000,11.700000,11.250000,11.250000,8.927967,22600
2002-09-04,11.200000,11.300000,11.150000,11.160000,8.856547,7100
2002-09-05,11.160000,11.160000,11.160000,11.160000,8.856547,100
2002-09-06,11.200000,11.220000,11.200000,11.220000,8.904160,1800
2002-09-09,11.210000,11.220000,11.150000,11.220000,8.904160,2700
2002-09-10,11.200000,11.200000,10.950000,10.950000,8.689891,10100
2002-09-11,10.930000,10.930000,10.750000,10.750000,8.546780,4500
2002-09-12,10.800000,10.800000,10.800000,10.800000,8.586532,2000
2002-09-13,10.750000,10.750000,10.750000,10.750000,8.546780,600
2002-09-16,10.750000,10.750000,10.750000,10.750000,8.546780,0
2002-09-17,10.750000,10.750000,10.750000,10.750000,8.546780,0
2002-09-18,10.750000,10.750000,10.750000,10.750000,8.546780,0
2002-09-19,10.750000,10.750000,10.750000,10.750000,8.546780,0
2002-09-20,10.800000,10.890000,10.800000,10.890000,8.658086,6000
2002-09-23,10.900000,11.050000,10.900000,11.000000,8.745543,5000
2002-09-24,11.150000,11.150000,10.950000,11.050000,8.785295,12700
2002-09-25,11.000000,11.150000,11.000000,11.150000,8.864800,7300
2002-09-26,11.100000,11.100000,11.100000,11.100000,8.825047,700
2002-09-27,11.100000,11.500000,11.000000,11.500000,9.143069,22100
2002-09-30,11.550000,11.550000,10.800000,10.950000,8.705791,87000
2002-10-01,10.900000,10.950000,10.600000,10.600000,8.427522,19500
2002-10-02,10.550000,10.550000,10.350000,10.350000,8.228761,5000
2002-10-03,10.350000,10.350000,10.250000,10.290000,8.181057,3600
2002-10-04,10.200000,10.200000,9.990000,10.040000,7.982295,8700
2002-10-07,10.040000,10.050000,9.960000,10.000000,7.950492,2700
2002-10-08,9.900000,10.000000,8.510000,8.600000,6.837423,77300
2002-10-09,8.650000,8.650000,8.200000,8.200000,6.519404,43200
2002-10-10,8.200000,8.200000,7.950000,8.200000,6.519404,45000
2002-10-11,8.200000,8.600000,8.100000,8.590000,6.829473,60200
2002-10-14,8.600000,9.010000,8.570000,9.010000,7.163395,72500
2002-10-15,9.100000,9.400000,8.700000,8.700000,6.916929,231500
2002-10-16,8.450000,8.460000,8.270000,8.280000,6.583008,204800
2002-10-17,8.300000,8.420000,8.250000,8.270000,6.575058,6318400
2002-10-18,8.280000,8.380000,8.250000,8.250000,6.559157,517900
2002-10-21,8.280000,8.340000,8.250000,8.270000,6.575058,174500
2002-10-22,8.270000,8.300000,8.250000,8.290000,6.590960,324500
