Date,Open,High,Low,Close,Adj Close,Volume
1999-07-12,9.812500,9.812500,8.500000,8.562500,1.396439,92500
1999-07-13,8.500000,8.562500,8.000000,8.125000,1.325087,61000
1999-07-14,8.187500,8.187500,7.812500,7.875000,1.284315,57300
1999-07-15,7.875000,8.062500,7.750000,7.875000,1.284315,51500
1999-07-16,7.937500,8.000000,7.812500,7.875000,1.284315,32100
1999-07-19,7.937500,8.000000,7.875000,7.875000,1.284315,67400
1999-07-20,7.937500,7.937500,7.875000,7.937500,1.294508,41000
1999-07-21,7.875000,8.000000,7.812500,7.812500,1.274122,40300
1999-07-22,7.875000,7.875000,7.750000,7.812500,1.274122,62700
1999-07-23,7.875000,7.937500,7.812500,7.875000,1.284315,31100
1999-07-26,7.937500,8.062500,7.875000,8.000000,1.304702,17400
1999-07-27,8.000000,8.125000,7.937500,8.062500,1.314894,25100
1999-07-28,8.125000,8.562500,8.062500,8.500000,1.386246,35100
1999-07-29,8.625000,8.875000,8.625000,8.687500,1.416825,29700
1999-07-30,8.687500,8.875000,8.687500,8.812500,1.437210,24300
1999-08-02,8.812500,9.000000,8.625000,8.687500,1.416825,58000
1999-08-03,8.687500,8.750000,8.375000,8.500000,1.386246,17600
1999-08-04,8.375000,8.437500,8.312500,8.312500,1.355666,17600
1999-08-05,8.437500,8.437500,8.187500,8.375000,1.365860,14800
1999-08-06,8.312500,8.437500,8.125000,8.187500,1.335281,17100
1999-08-09,8.312500,8.312500,8.062500,8.125000,1.325087,20300
1999-08-10,8.125000,8.187500,8.000000,8.062500,1.314894,18200
1999-08-11,8.000000,8.250000,8.000000,8.125000,1.325087,20700
1999-08-12,8.125000,8.312500,8.062500,8.312500,1.355666,11800
1999-08-13,8.375000,8.625000,8.312500,8.312500,1.355666,12200
1999-08-16,8.250000,8.562500,8.187500,8.375000,1.365860,16300
1999-08-17,8.375000,8.437500,8.125000,8.187500,1.335281,16400
1999-08-18,8.062500,8.250000,8.062500,8.187500,1.335281,19300
1999-08-19,8.187500,8.250000,8.062500,8.125000,1.325087,11900
1999-08-20,8.187500,8.187500,8.125000,8.125000,1.325087,12700
1999-08-23,8.187500,8.312500,8.062500,8.187500,1.335281,19300
1999-08-24,8.125000,8.312500,8.062500,8.062500,1.314894,22100
1999-08-25,8.062500,8.250000,8.000000,8.125000,1.325087,15800
1999-08-26,8.125000,8.437500,8.125000,8.312500,1.355666,14500
1999-08-27,8.250000,8.250000,8.062500,8.250000,1.345474,12600
1999-08-30,8.250000,8.437500,8.062500,8.375000,1.365860,17300
1999-08-31,8.250000,8.437500,8.062500,8.187500,1.335281,26700
1999-09-01,8.125000,8.625000,8.125000,8.562500,1.396439,20900
1999-09-02,8.625000,8.625000,8.500000,8.500000,1.386246,17100
1999-09-03,8.500000,8.625000,8.312500,8.500000,1.386246,9400
1999-09-07,8.500000,8.562500,8.250000,8.375000,1.365860,16100
1999-09-08,8.500000,8.625000,8.250000,8.250000,1.345474,17100
1999-09-09,8.312500,8.375000,8.187500,8.187500,1.335281,10900
1999-09-10,8.125000,8.312500,8.125000,8.125000,1.325087,15500
1999-09-13,8.062500,8.187500,8.000000,8.062500,1.314894,17700
1999-09-14,8.062500,8.375000,7.937500,8.375000,1.365860,18700
1999-09-15,8.312500,8.500000,8.062500,8.437500,1.376052,21400
1999-09-16,8.437500,8.500000,8.187500,8.375000,1.365860,18900
1999-09-17,8.312500,8.437500,8.312500,8.375000,1.365860,4400
1999-09-20,8.375000,8.375000,8.125000,8.187500,1.335281,13200
1999-09-21,8.125000,8.250000,8.125000,8.187500,1.335281,5900
1999-09-22,8.125000,8.250000,8.125000,8.187500,1.335281,10700
1999-09-23,8.250000,8.687500,8.187500,8.500000,1.386246,24700
1999-09-24,8.625000,8.625000,8.250000,8.500000,1.386246,15400
1999-09-27,8.375000,8.500000,8.312500,8.312500,1.355666,11700
1999-09-28,8.375000,8.375000,8.250000,8.375000,1.365860,8200
1999-09-29,8.312500,8.312500,8.187500,8.250000,1.345474,8700
1999-09-30,8.250000,8.437500,8.187500,8.375000,1.365860,9800
1999-10-01,8.437500,8.500000,8.187500,8.500000,1.386246,23100
1999-10-04,8.437500,8.500000,8.375000,8.500000,1.386246,13000
1999-10-05,8.437500,8.437500,8.250000,8.250000,1.345474,8300
1999-10-06,8.312500,8.312500,8.125000,8.125000,1.325087,13800
1999-10-07,8.125000,8.187500,8.125000,8.125000,1.325087,3100
1999-10-08,8.125000,8.187500,8.062500,8.125000,1.325087,7300
1999-10-11,8.125000,8.187500,8.062500,8.125000,1.325087,9900
1999-10-12,8.125000,8.187500,8.062500,8.062500,1.314894,16000
1999-10-13,8.062500,8.125000,8.062500,8.125000,1.325087,6700
1999-10-14,8.125000,8.187500,8.000000,8.125000,1.325087,11300
1999-10-15,8.062500,8.125000,7.937500,8.125000,1.333292,12000
1999-10-18,8.062500,8.125000,8.000000,8.062500,1.323036,7600
1999-10-19,8.062500,8.062500,7.937500,8.000000,1.312780,11400
1999-10-20,8.000000,8.062500,8.000000,8.000000,1.312780,10800
1999-10-21,8.000000,8.125000,8.000000,8.000000,1.312780,20400
1999-10-22,8.000000,8.062500,8.000000,8.000000,1.312780,17400
1999-10-25,8.000000,8.000000,8.000000,8.000000,1.312780,12100
1999-10-26,8.000000,8.000000,7.937500,7.937500,1.302523,18100
1999-10-27,7.937500,8.000000,7.875000,7.875000,1.292268,10100
1999-10-28,7.875000,8.000000,7.875000,8.000000,1.312780,20200
1999-10-29,8.000000,8.000000,7.875000,8.000000,1.312780,11700
1999-11-01,8.000000,8.000000,7.875000,7.875000,1.292268,15900
1999-11-02,7.875000,7.937500,7.812500,7.875000,1.292268,12300
1999-11-03,7.875000,8.062500,7.875000,7.937500,1.302523,19100
1999-11-04,7.937500,8.187500,7.937500,8.125000,1.333292,16200
1999-11-05,8.187500,8.375000,8.187500,8.250000,1.353804,16300
1999-11-08,8.312500,8.375000,8.187500,8.187500,1.343549,17000
1999-11-09,8.125000,8.312500,8.062500,8.062500,1.323036,8800
1999-11-10,8.062500,8.187500,8.000000,8.062500,1.323036,16900
1999-11-11,8.062500,8.125000,7.937500,8.000000,1.312780,8400
1999-11-12,8.000000,8.000000,7.812500,7.937500,1.302523,12200
1999-11-15,8.000000,8.062500,7.937500,8.000000,1.312780,12100
1999-11-16,8.000000,8.062500,7.875000,7.937500,1.302523,6700
1999-11-17,8.125000,8.125000,7.937500,8.000000,1.321102,19100
1999-11-18,8.000000,8.000000,7.875000,8.000000,1.321102,5900
1999-11-19,7.875000,8.000000,7.750000,7.812500,1.290138,26700
1999-11-22,7.750000,7.937500,7.750000,7.875000,1.300460,26100
1999-11-23,7.812500,7.875000,7.750000,7.750000,1.279817,16200
1999-11-24,7.750000,7.937500,7.750000,7.812500,1.290138,19500
1999-11-26,7.812500,7.937500,7.750000,7.875000,1.300460,8800
1999-11-29,7.937500,8.000000,7.750000,7.750000,1.279817,13300
1999-11-30,7.750000,7.812500,7.750000,7.750000,1.279817,13300
1999-12-01,7.812500,7.875000,7.687500,7.750000,1.279817,24200
1999-12-02,7.812500,7.812500,7.750000,7.750000,1.279817,10600
1999-12-03,7.750000,7.812500,7.687500,7.687500,1.269497,23500
1999-12-06,7.750000,7.812500,7.625000,7.750000,1.279817,18000
