Date,Open,High,Low,Close,Adj Close,Volume
2013-08-13,8.000000,8.500000,7.900000,8.450000,5.039129,879100
2013-08-14,8.250000,8.350000,8.250000,8.350000,4.979498,30000
2013-08-15,8.250000,8.350000,8.150000,8.200000,4.890045,78900
2013-08-16,8.200000,8.350000,8.200000,8.300000,4.949679,27600
2013-08-19,8.350000,8.500000,8.300000,8.300000,4.949679,20900
2013-08-20,8.300000,8.400000,8.280000,8.300000,4.949679,27400
2013-08-21,8.500000,8.500000,8.300000,8.300000,4.949679,13400
2013-08-22,8.450000,8.450000,8.130000,8.300000,4.949679,5100
2013-08-23,8.000000,8.450000,8.000000,8.360000,4.985459,3800
2013-08-26,8.350000,8.350000,8.350000,8.350000,4.979498,5700
2013-08-27,8.300000,8.300000,8.300000,8.300000,4.949679,300
2013-08-28,8.400000,8.400000,8.400000,8.400000,5.009313,900
2013-08-29,8.300000,8.300000,8.130000,8.130000,4.848300,1100
2013-08-30,8.110000,8.400000,8.110000,8.400000,5.042389,1800
2013-09-03,8.170000,8.170000,8.170000,8.170000,4.904324,100
2013-09-04,8.340000,8.400000,8.290000,8.310000,4.988365,3600
2013-09-05,8.420000,8.420000,8.350000,8.350000,5.012376,200
2013-09-06,8.150000,8.220000,8.150000,8.180000,4.910327,3800
2013-09-09,8.070000,8.450000,8.070000,8.450000,5.072402,2400
2013-09-10,8.450000,8.450000,8.440000,8.450000,5.072402,4900
2013-09-11,8.440000,8.450000,8.430000,8.450000,5.072402,1700
2013-09-12,8.450000,8.450000,8.450000,8.450000,5.072402,200
2013-09-13,8.400000,8.400000,8.400000,8.400000,5.042389,100
2013-09-16,8.290000,8.320000,8.290000,8.320000,4.994365,400
2013-09-17,8.400000,8.400000,8.200000,8.210000,4.928336,7500
2013-09-18,8.210000,8.300000,8.110000,8.250000,4.952345,13700
2013-09-19,8.320000,8.380000,8.300000,8.300000,4.982361,2800
2013-09-20,8.290000,8.290000,8.140000,8.140000,4.886314,11800
2013-09-23,8.250000,8.350000,8.250000,8.260000,4.958350,6700
2013-09-24,8.250000,8.330000,8.250000,8.330000,5.000371,4500
2013-09-25,8.400000,8.400000,8.320000,8.320000,4.994365,6900
2013-09-26,8.310000,8.330000,8.280000,8.280000,5.002419,500
2013-09-27,8.280000,8.280000,8.280000,8.280000,5.002419,100
2013-09-30,8.250000,8.280000,8.240000,8.280000,5.002419,400
2013-10-01,8.280000,8.280000,8.280000,8.280000,5.002419,0
2013-10-02,8.300000,8.300000,8.300000,8.300000,5.014504,800
2013-10-03,8.300000,8.370000,8.300000,8.370000,5.056794,1200
2013-10-04,8.340000,8.340000,8.340000,8.340000,5.038670,1000
2013-10-07,8.370000,8.370000,8.280000,8.290000,5.008462,2300
2013-10-08,8.270000,8.270000,8.250000,8.250000,4.984295,7100
2013-10-09,8.250000,8.250000,8.250000,8.250000,4.984295,200
2013-10-10,8.290000,8.330000,8.290000,8.330000,5.032629,1200
2013-10-11,8.360000,8.360000,8.360000,8.360000,5.050753,100
2013-10-14,8.300000,8.380000,8.300000,8.320000,5.026584,1300
2013-10-15,8.350000,8.350000,8.310000,8.310000,5.020546,900
2013-10-16,8.360000,8.500000,8.360000,8.480000,5.123251,3200
2013-10-17,8.420000,8.430000,8.420000,8.430000,5.093042,200
2013-10-18,8.500000,8.500000,8.500000,8.500000,5.135334,200
2013-10-21,8.450000,8.480000,8.450000,8.470000,5.117209,10300
2013-10-22,8.500000,8.500000,8.500000,8.500000,5.135334,100
2013-10-23,8.510000,8.550000,8.500000,8.500000,5.135334,1400
2013-10-24,8.550000,8.690000,8.550000,8.600000,5.195750,8700
2013-10-25,8.600000,8.600000,8.600000,8.600000,5.195750,0
2013-10-28,8.720000,8.720000,8.620000,8.620000,5.207832,5200
2013-10-29,8.590000,8.650000,8.590000,8.600000,5.228094,6800
2013-10-30,8.600000,8.640000,8.530000,8.640000,5.252412,1200
2013-10-31,8.680000,8.680000,8.560000,8.600000,5.228094,6800
2013-11-01,8.610000,8.660000,8.580000,8.600000,5.228094,7500
2013-11-04,8.650000,8.650000,8.650000,8.650000,5.258490,1100
2013-11-05,8.750000,8.750000,8.650000,8.650000,5.258490,1400
2013-11-06,8.650000,8.650000,8.650000,8.650000,5.258490,0
2013-11-07,8.750000,8.850000,8.750000,8.850000,5.380075,2300
2013-11-08,8.810000,8.840000,8.750000,8.750000,5.319284,7000
2013-11-11,8.710000,8.710000,8.710000,8.710000,5.294966,600
2013-11-12,8.740000,8.740000,8.730000,8.730000,5.307124,1900
2013-11-13,8.670000,8.690000,8.670000,8.670000,5.270648,1400
2013-11-14,8.720000,8.720000,8.670000,8.710000,5.294966,1100
2013-11-15,8.670000,8.700000,8.670000,8.680000,5.276728,1500
2013-11-18,8.700000,8.720000,8.700000,8.700000,5.288887,4600
2013-11-19,8.810000,8.810000,8.650000,8.660000,5.264570,3700
2013-11-20,8.710000,8.710000,8.650000,8.650000,5.258490,300
2013-11-21,8.600000,8.700000,8.600000,8.700000,5.288887,600
2013-11-22,8.650000,8.710000,8.580000,8.580000,5.215938,1700
2013-11-25,8.600000,8.600000,8.500000,8.500000,5.167305,9500
2013-11-26,8.420000,8.520000,8.420000,8.460000,5.175458,900
2013-11-27,8.470000,8.500000,8.300000,8.400000,5.138753,4200
2013-11-29,8.470000,8.470000,8.340000,8.370000,5.120401,7600
2013-12-02,8.400000,8.400000,8.300000,8.330000,5.095930,8100
2013-12-03,8.350000,8.390000,8.300000,8.330000,5.095930,2400
2013-12-04,8.300000,8.330000,8.300000,8.320000,5.089811,2300
2013-12-05,8.320000,8.340000,8.310000,8.330000,5.095930,900
2013-12-06,8.410000,8.410000,8.400000,8.400000,5.138753,1000
2013-12-09,8.400000,8.420000,8.390000,8.400000,5.138753,900
2013-12-10,8.390000,8.400000,8.390000,8.390000,5.132635,1400
2013-12-11,8.400000,8.430000,8.400000,8.420000,5.150989,2900
2013-12-12,8.560000,8.640000,8.560000,8.570000,5.242752,3100
2013-12-13,8.570000,8.640000,8.520000,8.620000,5.273339,1400
2013-12-16,8.650000,8.650000,8.450000,8.450000,5.169339,3500
2013-12-17,8.500000,8.500000,8.390000,8.390000,5.132635,1700
2013-12-18,8.350000,8.350000,8.270000,8.350000,5.108166,1000
2013-12-19,8.300000,8.320000,8.300000,8.320000,5.089811,400
2013-12-20,8.380000,8.380000,7.950000,7.950000,4.863463,15000
2013-12-23,8.350000,8.430000,8.310000,8.430000,5.157105,2300
2013-12-24,8.370000,8.670000,8.370000,8.540000,5.224398,1700
2013-12-26,8.410000,8.410000,8.350000,8.350000,5.108166,2000
2013-12-27,8.360000,8.360000,8.360000,8.360000,5.147157,200
2013-12-30,8.370000,8.370000,8.370000,8.370000,5.153313,200
2013-12-31,8.410000,8.450000,8.340000,8.340000,5.134843,1200
2014-01-02,8.400000,8.580000,8.400000,8.580000,5.282609,900
2014-01-03,8.500000,8.500000,8.500000,8.500000,5.233353,800
2014-01-06,8.470000,8.520000,8.470000,8.480000,5.221039,3000
2014-01-07,8.500000,8.500000,8.500000,8.500000,5.233353,500
2014-01-08,8.550000,8.550000,8.490000,8.490000,5.227197,600
2014-01-09,8.550000,8.550000,8.490000,8.530000,5.251823,1600
2014-01-10,8.500000,8.500000,8.500000,8.500000,5.233353,2900
2014-01-13,8.480000,8.480000,8.480000,8.480000,5.221039,400
2014-01-14,8.420000,8.500000,8.420000,8.500000,5.233353,400
2014-01-15,8.620000,8.620000,8.600000,8.620000,5.307237,700
2014-01-16,9.070000,9.070000,8.870000,8.870000,5.461156,700
2014-01-17,8.940000,8.950000,8.850000,8.850000,5.448844,1700
2014-01-21,8.500000,8.650000,8.350000,8.580000,5.282609,39800
2014-01-22,8.600000,8.710000,8.520000,8.530000,5.251823,9800
2014-01-23,8.610000,8.610000,8.390000,8.490000,5.227197,27100
2014-01-24,8.180000,8.270000,8.150000,8.250000,5.079431,978600
2014-01-27,8.250000,8.310000,8.200000,8.270000,5.091746,133400
2014-01-28,8.310000,8.320000,8.250000,8.280000,5.097902,47700
2014-01-29,8.220000,8.290000,8.220000,8.280000,5.135114,16900
2014-01-30,8.260000,8.300000,8.260000,8.260000,5.122709,16800
2014-01-31,8.300000,8.300000,8.200000,8.200000,5.085499,83500
2014-02-03,8.320000,8.320000,8.240000,8.270000,5.128912,9300
2014-02-04,8.250000,8.310000,8.250000,8.250000,5.116507,114000
2014-02-05,8.250000,8.310000,8.250000,8.290000,5.141313,70800
2014-02-06,8.340000,8.350000,8.260000,8.330000,5.166123,106500
2014-02-07,8.370000,8.370000,8.310000,8.340000,5.172324,51000
2014-02-10,8.370000,8.390000,8.310000,8.390000,5.203332,152800
2014-02-11,8.400000,8.400000,8.330000,8.400000,5.209535,60400
2014-02-12,8.390000,8.510000,8.360000,8.470000,5.252947,127300
2014-02-13,8.460000,8.500000,8.350000,8.470000,5.252947,74100
2014-02-14,8.450000,8.570000,8.400000,8.480000,5.259151,155600
2014-02-18,8.530000,8.570000,8.450000,8.570000,5.314966,79500
2014-02-19,8.560000,8.620000,8.460000,8.490000,5.265350,32200
2014-02-20,8.500000,8.540000,8.470000,8.510000,5.277754,94000
2014-02-21,8.490000,8.620000,8.490000,8.590000,5.327370,45200
2014-02-24,8.560000,8.660000,8.510000,8.560000,5.308764,82500
2014-02-25,8.560000,8.600000,8.450000,8.500000,5.271553,153800
2014-02-26,8.500000,8.650000,8.470000,8.550000,5.340258,86900
2014-02-27,8.600000,8.670000,8.530000,8.580000,5.358996,49800
2014-02-28,8.610000,8.740000,8.560000,8.610000,5.377734,78100
2014-03-03,8.640000,8.680000,8.580000,8.670000,5.415210,161000
2014-03-04,8.700000,8.790000,8.700000,8.750000,5.465175,98800
2014-03-05,8.750000,9.060000,8.730000,8.900000,5.558863,103600
2014-03-06,8.920000,8.990000,8.830000,8.900000,5.558863,76700
2014-03-07,8.900000,8.950000,8.700000,8.790000,5.490160,80500
2014-03-10,8.890000,8.940000,8.710000,8.730000,5.452682,65800
2014-03-11,8.870000,8.870000,8.750000,8.780000,5.483913,20500
2014-03-12,8.820000,8.940000,8.790000,8.900000,5.558863,26400
2014-03-13,8.820000,8.900000,8.810000,8.850000,5.527637,23000
2014-03-14,8.910000,8.920000,8.710000,8.800000,5.496405,52700
2014-03-17,8.890000,8.890000,8.750000,8.850000,5.527637,45800
2014-03-18,8.770000,8.880000,8.770000,8.790000,5.490160,45600
2014-03-19,8.750000,8.820000,8.540000,8.620000,5.383978,107500
2014-03-20,8.740000,8.750000,8.620000,8.710000,5.440192,48400
2014-03-21,8.720000,8.950000,8.670000,8.820000,5.508897,160700
2014-03-24,8.820000,8.840000,8.710000,8.730000,5.452682,40700
2014-03-25,8.760000,8.830000,8.670000,8.670000,5.415210,39500
2014-03-26,8.680000,8.890000,8.630000,8.640000,5.396471,30600
2014-03-27,8.790000,8.800000,8.650000,8.750000,5.503394,86500
2014-03-28,8.790000,8.920000,8.790000,8.800000,5.534841,23500
2014-03-31,8.870000,8.940000,8.870000,8.910000,5.604027,121700
2014-04-01,8.980000,8.990000,8.700000,8.810000,5.541131,53600
2014-04-02,8.900000,8.990000,8.860000,8.880000,5.585158,83900
2014-04-03,8.960000,9.090000,8.830000,8.830000,5.553709,48600
2014-04-04,8.920000,8.920000,8.780000,8.840000,5.559999,64900
2014-04-07,8.800000,8.950000,8.800000,8.850000,5.566291,24400
2014-04-08,8.940000,9.100000,8.800000,8.900000,5.597737,89500
2014-04-09,8.970000,9.100000,8.880000,8.980000,5.648054,103500
2014-04-10,8.990000,9.050000,8.840000,8.840000,5.559999,102200
2014-04-11,8.880000,9.000000,8.850000,8.860000,5.572579,34500
2014-04-14,8.860000,8.950000,8.830000,8.830000,5.553709,31800
2014-04-15,8.910000,9.000000,8.820000,8.920000,5.610318,59400
2014-04-16,9.010000,9.020000,8.930000,8.930000,5.616607,67200
2014-04-17,9.000000,9.020000,8.910000,8.950000,5.629186,44200
2014-04-21,8.990000,9.000000,8.960000,8.960000,5.635476,40100
2014-04-22,9.020000,9.020000,8.900000,8.970000,5.641765,61700
2014-04-23,9.000000,9.040000,8.970000,9.040000,5.685790,46100
2014-04-24,9.050000,9.070000,8.960000,9.050000,5.692082,46000
2014-04-25,9.080000,9.080000,8.910000,8.910000,5.604027,36600
2014-04-28,8.830000,8.960000,8.830000,8.900000,5.635688,25100
2014-04-29,8.910000,8.980000,8.880000,8.920000,5.648353,20000
2014-04-30,8.940000,8.990000,8.900000,8.940000,5.661016,38300
2014-05-01,8.910000,9.010000,8.910000,8.990000,5.692680,59600
2014-05-02,8.990000,9.090000,8.980000,9.020000,5.711675,31800
2014-05-05,9.000000,9.150000,9.000000,9.070000,5.743338,34500
2014-05-06,9.100000,9.100000,9.020000,9.030000,5.718008,48900
2014-05-07,9.030000,9.050000,8.900000,9.040000,5.724339,74200
2014-05-08,9.130000,9.150000,8.950000,8.950000,5.667350,69400
2014-05-09,8.940000,9.000000,8.920000,8.920000,5.648353,37300
2014-05-12,8.960000,9.020000,8.960000,9.020000,5.711675,106700
2014-05-13,9.040000,9.040000,8.950000,8.950000,5.667350,47100
2014-05-14,8.950000,9.030000,8.950000,8.950000,5.667350,80600
2014-05-15,9.010000,9.050000,8.950000,9.050000,5.730672,45100
2014-05-16,9.050000,9.140000,9.040000,9.070000,5.743338,64400
2014-05-19,9.070000,9.230000,9.070000,9.200000,5.825657,114700
2014-05-20,9.210000,9.220000,9.020000,9.120000,5.774997,79100
2014-05-21,9.170000,9.190000,9.060000,9.070000,5.743338,44600
2014-05-22,9.110000,9.180000,9.060000,9.090000,5.756002,36400
2014-05-23,9.130000,9.130000,8.970000,9.020000,5.711675,81600
