Date,Open,High,Low,Close,Adj Close,Volume
2009-01-05,7.680000,8.330000,7.680000,8.180000,3.398466,3100
2009-01-06,8.180000,8.240000,8.130000,8.240000,3.423393,11700
2009-01-07,7.790000,7.790000,7.760000,7.760000,3.223972,5900
2009-01-08,7.620000,7.650000,7.620000,7.640000,3.174118,2100
2009-01-09,7.570000,7.810000,7.570000,7.700000,3.199045,1600
2009-01-12,7.730000,7.740000,7.300000,7.300000,3.032859,8200
2009-01-13,7.360000,7.360000,6.920000,6.920000,2.874987,10600
2009-01-14,6.840000,6.840000,6.680000,6.680000,2.775275,600
2009-01-15,6.440000,6.440000,6.440000,6.440000,2.675565,500
2009-01-16,6.520000,6.550000,6.460000,6.540000,2.717110,12300
2009-01-20,6.550000,6.670000,6.550000,6.550000,2.721266,15100
2009-01-21,6.760000,6.820000,6.660000,6.820000,2.833440,6900
2009-01-22,7.000000,7.250000,6.850000,7.250000,3.012088,700
2009-01-23,7.110000,7.290000,7.110000,7.290000,3.028705,2200
2009-01-26,7.390000,7.530000,7.390000,7.470000,3.103488,1300
2009-01-27,7.610000,7.610000,7.550000,7.550000,3.136725,6800
2009-01-28,7.830000,7.880000,7.790000,7.880000,3.273827,400
2009-01-29,7.770000,8.080000,7.770000,8.080000,3.356920,200
2009-01-30,7.800000,8.110000,7.770000,8.110000,3.369384,7700
2009-02-02,8.000000,8.000000,7.850000,7.880000,3.273827,5600
2009-02-03,7.870000,8.080000,7.870000,7.950000,3.302910,1100
2009-02-04,7.960000,8.000000,7.920000,7.940000,3.298755,3700
2009-02-05,8.000000,8.050000,8.000000,8.030000,3.336147,3600
2009-02-06,8.060000,8.380000,8.060000,8.380000,3.481558,1200
2009-02-09,8.680000,8.680000,8.570000,8.570000,3.560496,1600
2009-02-10,8.660000,8.660000,8.510000,8.510000,3.535568,500
2009-02-11,8.510000,8.510000,8.510000,8.510000,3.535568,0
2009-02-12,8.400000,8.540000,8.400000,8.540000,3.548032,700
2009-02-13,8.540000,8.540000,8.540000,8.540000,3.548032,0
2009-02-17,8.530000,8.530000,8.460000,8.460000,3.514795,1600
2009-02-18,8.320000,8.320000,8.320000,8.320000,3.456631,1100
2009-02-19,8.250000,8.340000,8.250000,8.340000,3.464939,500
2009-02-20,7.810000,7.880000,7.810000,7.870000,3.269672,1000
2009-02-23,7.920000,7.980000,7.910000,7.980000,3.315373,1500
2009-02-24,7.960000,7.960000,7.930000,7.930000,3.294600,700
2009-02-25,7.790000,7.930000,7.710000,7.860000,3.265518,6700
2009-02-26,8.560000,8.560000,8.530000,8.530000,3.543876,500
2009-02-27,8.530000,8.530000,8.530000,8.530000,3.543876,0
2009-03-02,8.110000,8.170000,7.960000,7.970000,3.311220,3300
2009-03-03,8.160000,8.160000,7.940000,8.070000,3.352766,3100
2009-03-04,8.070000,8.070000,8.070000,8.070000,3.352766,0
2009-03-05,8.170000,8.170000,8.070000,8.070000,3.352766,2200
2009-03-06,8.040000,8.060000,8.020000,8.060000,3.348611,700
2009-03-09,7.670000,7.910000,7.670000,7.910000,3.286292,3600
2009-03-10,8.090000,8.240000,8.030000,8.030000,3.336147,3300
2009-03-11,8.030000,8.030000,8.030000,8.030000,3.336147,0
2009-03-12,8.030000,8.030000,8.030000,8.030000,3.336147,0
2009-03-13,8.030000,8.030000,8.030000,8.030000,3.336147,0
2009-03-16,8.390000,8.440000,8.310000,8.310000,3.452475,3300
2009-03-17,8.310000,8.310000,8.310000,8.310000,3.452475,0
2009-03-18,8.380000,8.610000,8.380000,8.610000,3.577115,1100
2009-03-19,8.690000,8.730000,8.680000,8.690000,3.610350,1200
2009-03-20,8.630000,8.630000,8.630000,8.630000,3.585423,100
2009-03-23,8.630000,8.640000,8.580000,8.580000,3.564650,2700
2009-03-24,8.830000,8.830000,8.830000,8.830000,3.668517,100
2009-03-25,8.790000,8.790000,8.620000,8.680000,3.606196,12500
2009-03-26,8.680000,8.680000,8.680000,8.680000,3.606196,0
