Date,Open,High,Low,Close,Adj Close,Volume
2011-02-25,20.010000,20.020000,20.000000,20.000000,9.034266,86800
2011-02-28,20.000000,20.010000,20.000000,20.010000,9.038787,85700
2011-03-01,20.010000,20.010000,20.000000,20.000000,9.034266,132900
2011-03-02,20.000000,20.010000,20.000000,20.000000,9.034266,61000
2011-03-03,20.000000,20.010000,20.000000,20.000000,9.034266,56200
2011-03-04,20.010000,20.010000,20.000000,20.000000,9.034266,40800
2011-03-07,20.010000,20.010000,20.000000,20.000000,9.034266,68100
2011-03-08,20.010000,20.059999,20.000000,20.059999,9.061372,33600
2011-03-09,20.000000,20.100000,20.000000,20.020000,9.043303,49100
2011-03-10,20.150000,20.150000,20.020000,20.150000,9.102024,55700
2011-03-11,20.049999,20.150000,20.010000,20.150000,9.102024,8200
2011-03-14,20.170000,20.180000,20.049999,20.100000,9.079440,29900
2011-03-15,20.000000,20.049999,20.000000,20.049999,9.056853,116900
2011-03-16,20.020000,20.020000,20.000000,20.000000,9.034266,39200
2011-03-17,20.000000,20.049999,20.000000,20.020000,9.043303,45200
2011-03-18,20.049999,20.070000,20.000000,20.000000,9.034266,58600
2011-03-21,20.080000,20.080000,20.000000,20.000000,9.034266,50700
2011-03-22,20.000000,20.049999,20.000000,20.049999,9.056853,42700
2011-03-23,20.010000,20.020000,20.000000,20.000000,9.034266,37100
2011-03-24,20.080000,20.080000,20.000000,20.000000,9.034266,62200
2011-03-25,20.090000,20.100000,20.010000,20.070000,9.065885,52700
2011-03-28,20.250000,20.719999,20.010000,20.030001,9.047819,30800
2011-03-29,20.059999,20.070000,20.000000,20.000000,9.034266,48300
2011-03-30,20.000000,20.059999,20.000000,20.000000,9.034266,789300
2011-03-31,20.000000,20.080000,20.000000,20.000000,9.034266,106700
2011-04-01,20.000000,20.070000,20.000000,20.000000,9.034266,57600
2011-04-04,20.070000,20.070000,20.000000,20.000000,9.034266,81100
2011-04-05,20.000000,20.040001,20.000000,20.000000,9.034266,22800
2011-04-06,20.059999,20.059999,20.000000,20.040001,9.052335,49000
2011-04-07,20.090000,20.110001,20.010000,20.080000,9.070403,49900
2011-04-08,20.059999,20.100000,19.750000,19.900000,8.989097,89300
2011-04-11,19.850000,19.900000,19.500000,19.500000,8.808412,100300
2011-04-12,19.540001,19.540001,19.150000,19.190001,8.668381,117500
2011-04-13,19.200001,19.370001,19.170000,19.360001,8.745173,46500
2011-04-14,19.540001,19.540001,19.260000,19.330000,8.731621,33100
2011-04-15,19.230000,19.270000,19.040001,19.180000,8.663862,58200
2011-04-18,19.160000,19.299999,19.040001,19.100000,8.627728,70100
2011-04-19,19.290001,19.740000,19.070000,19.420000,8.772275,80500
2011-04-20,19.340000,19.559999,19.340000,19.420000,8.772275,114200
2011-04-21,19.480000,19.680000,19.360001,19.420000,8.772275,126200
2011-04-25,19.639999,19.639999,19.309999,19.440001,8.781310,102600
2011-04-26,19.520000,19.520000,19.370001,19.440001,8.781310,123800
2011-04-27,19.280001,19.400000,19.129999,19.400000,8.908041,12200
2011-04-28,19.379999,19.480000,19.250000,19.379999,8.898856,68000
2011-04-29,19.400000,19.639999,19.360001,19.559999,8.981507,92000
2011-05-02,19.680000,19.719999,19.510000,19.709999,9.050385,81000
2011-05-03,19.719999,19.830000,19.330000,19.660000,9.027427,93000
2011-05-04,19.950001,19.950001,19.120001,19.340000,8.880492,82000
2011-05-05,19.469999,19.469999,18.360001,18.520000,8.503964,206500
2011-05-06,18.540001,19.010000,18.540001,18.950001,8.701412,60300
2011-05-09,19.250000,19.360001,18.600000,18.870001,8.664680,48000
2011-05-10,19.049999,19.049999,18.840000,19.030001,8.738146,38300
2011-05-11,19.040001,19.200001,18.709999,18.959999,8.706002,53500
