Date,Open,High,Low,Close,Adj Close,Volume
1995-09-20,5.375000,5.562500,5.125000,5.343750,5.343750,15645600
1995-09-21,5.500000,5.562500,5.312500,5.468750,5.468750,2330400
1995-09-22,5.468750,5.562500,5.250000,5.343750,5.343750,1200000
1995-09-25,5.437500,5.468750,5.312500,5.468750,5.468750,1520800
1995-09-26,5.312500,5.468750,5.062500,5.093750,5.093750,1312800
1995-09-27,5.000000,5.125000,4.718750,4.718750,4.718750,1209200
1995-09-28,4.812500,5.125000,4.812500,5.000000,5.000000,233600
1995-09-29,5.125000,5.125000,5.000000,5.125000,5.125000,532000
1995-10-02,5.093750,5.312500,5.093750,5.125000,5.125000,570400
1995-10-03,5.250000,5.250000,4.750000,4.875000,4.875000,271200
1995-10-04,4.875000,5.000000,4.812500,4.812500,4.812500,352000
1995-10-05,4.812500,5.000000,4.812500,5.000000,5.000000,215600
1995-10-06,4.812500,5.000000,4.750000,4.781250,4.781250,418800
1995-10-09,4.781250,4.812500,4.781250,4.812500,4.812500,296400
1995-10-10,4.781250,4.812500,4.625000,4.625000,4.625000,712400
1995-10-11,4.625000,5.062500,4.625000,4.937500,4.937500,666000
1995-10-12,5.062500,5.062500,4.937500,4.937500,4.937500,28000
1995-10-13,5.000000,5.125000,4.937500,5.062500,5.062500,806800
1995-10-16,5.062500,5.062500,4.937500,4.937500,4.937500,53200
1995-10-17,4.937500,5.125000,4.937500,4.968750,4.968750,62800
1995-10-18,4.968750,5.125000,4.937500,4.937500,4.937500,25600
1995-10-19,4.937500,5.093750,4.906250,4.968750,4.968750,264000
1995-10-20,4.875000,5.125000,4.875000,5.125000,5.125000,467600
1995-10-23,5.000000,5.125000,4.937500,5.125000,5.125000,431200
1995-10-24,4.937500,5.125000,4.781250,4.781250,4.781250,515600
1995-10-25,4.875000,4.937500,4.781250,4.812500,4.812500,186000
1995-10-26,4.812500,4.937500,4.812500,4.875000,4.875000,70800
1995-10-27,4.812500,4.937500,4.812500,4.812500,4.812500,12400
1995-10-30,4.937500,5.250000,4.937500,5.250000,5.250000,310400
1995-10-31,5.312500,5.500000,5.250000,5.406250,5.406250,746400
1995-11-01,5.406250,5.500000,5.375000,5.437500,5.437500,691600
1995-11-02,5.500000,5.562500,5.375000,5.437500,5.437500,727200
1995-11-03,5.375000,5.500000,5.250000,5.375000,5.375000,73200
1995-11-06,5.250000,5.375000,5.062500,5.093750,5.093750,86800
1995-11-07,5.187500,5.187500,4.937500,5.031250,5.031250,126800
1995-11-08,5.062500,5.062500,4.937500,4.937500,4.937500,42800
1995-11-09,5.062500,5.062500,4.937500,4.937500,4.937500,102000
1995-11-10,4.937500,5.062500,4.937500,5.062500,5.062500,183200
1995-11-13,5.187500,5.437500,5.125000,5.375000,5.375000,135600
1995-11-14,5.500000,5.562500,5.312500,5.562500,5.562500,241200
1995-11-15,5.468750,5.562500,5.250000,5.312500,5.312500,230000
