Date,Open,High,Low,Close,Adj Close,Volume
2009-04-28,15.000000,15.000000,14.360000,15.000000,9.132083,315800
2009-04-29,15.000000,15.000000,14.800000,14.800000,9.010325,71300
2009-04-30,14.760000,14.800000,14.750000,14.800000,9.010325,40900
2009-05-01,14.760000,14.760000,14.700000,14.750000,8.979876,36200
2009-05-04,14.650000,14.810000,14.650000,14.650000,8.919000,52300
2009-05-05,14.650000,14.700000,14.650000,14.650000,8.919000,9500
2009-05-06,14.730000,15.000000,14.730000,14.940000,9.095554,1900
2009-05-07,15.000000,15.000000,14.800000,14.800000,9.010325,900
2009-05-08,14.700000,14.700000,14.630000,14.630000,8.906824,14800
2009-05-11,14.700000,14.790000,14.300000,14.400000,8.766800,13600
2009-05-12,14.440000,14.550000,14.060000,14.060000,8.559808,8000
2009-05-13,13.950000,14.410000,13.250000,13.940000,8.486752,39500
2009-05-14,13.950000,14.100000,13.780000,14.000000,8.523280,9500
2009-05-15,13.850000,13.850000,13.850000,13.850000,8.431955,100
2009-05-18,13.900000,13.900000,13.900000,13.900000,8.462396,2200
2009-05-19,13.900000,13.900000,13.900000,13.900000,8.462396,0
2009-05-20,14.150000,14.150000,13.800000,13.950000,8.492836,7900
2009-05-21,14.690000,14.690000,12.830000,13.220000,8.048408,80200
2009-05-22,13.500000,13.600000,13.310000,13.600000,8.279755,8900
2009-05-26,14.250000,14.250000,13.350000,13.650000,8.310192,11800
2009-05-27,13.680000,13.740000,13.640000,13.740000,8.364987,6900
2009-05-28,13.680000,13.800000,13.620000,13.620000,8.291930,3000
2009-05-29,13.600000,13.800000,13.600000,13.800000,8.401518,4200
2009-06-01,14.020000,14.020000,13.800000,13.900000,8.462396,10300
2009-06-02,13.850000,13.900000,13.800000,13.800000,8.401518,7200
2009-06-03,13.890000,13.890000,13.670000,13.800000,8.401518,6600
2009-06-04,13.320000,13.600000,13.300000,13.600000,8.279755,10200
2009-06-05,13.450000,13.800000,13.450000,13.800000,8.401518,1900
2009-06-08,13.760000,13.780000,13.520000,13.710000,8.346729,4300
2009-06-09,13.750000,13.790000,13.620000,13.730000,8.358902,6100
2009-06-10,13.700000,13.700000,13.540000,13.540000,8.243223,12000
2009-06-11,13.470000,13.700000,13.110000,13.340000,8.160035,26700
2009-06-12,13.210000,13.260000,13.210000,13.260000,8.111104,400
2009-06-15,13.270000,13.340000,13.220000,13.220000,8.086630,5100
2009-06-16,13.300000,13.320000,12.950000,13.170000,8.056046,15100
2009-06-17,13.000000,13.200000,13.000000,13.100000,8.013227,7700
2009-06-18,13.100000,13.240000,13.100000,13.150000,8.043817,1400
2009-06-19,13.150000,13.150000,13.120000,13.120000,8.025463,2200
2009-06-22,13.230000,13.310000,13.120000,13.120000,8.025463,13700
2009-06-23,13.240000,13.250000,13.050000,13.050000,7.982645,1600
2009-06-24,13.280000,13.280000,13.050000,13.050000,7.982645,7200
2009-06-25,13.250000,13.400000,13.210000,13.210000,8.080513,3500
2009-06-26,13.270000,13.280000,13.270000,13.280000,8.123331,300
2009-06-29,13.200000,13.280000,13.190000,13.280000,8.123331,3300
2009-06-30,13.280000,13.650000,13.250000,13.320000,8.147808,6300
2009-07-01,13.490000,13.510000,13.490000,13.510000,8.264023,2000
2009-07-02,13.400000,13.670000,13.200000,13.400000,8.196735,4100
2009-07-06,13.360000,13.510000,13.300000,13.510000,8.264023,10600
2009-07-07,13.540000,13.670000,13.500000,13.640000,8.343547,17600
2009-07-08,13.670000,13.670000,13.270000,13.400000,8.196735,2600
2009-07-09,13.770000,14.000000,13.450000,13.610000,8.325191,14600
2009-07-10,13.780000,13.780000,13.720000,13.720000,8.392483,200
2009-07-13,13.630000,13.630000,13.450000,13.500000,8.296609,4400
2009-07-14,13.500000,13.650000,13.500000,13.650000,8.388789,9500
2009-07-15,13.690000,13.690000,13.510000,13.510000,8.302752,4000
2009-07-16,13.600000,13.660000,13.600000,13.660000,8.394941,3700
2009-07-17,13.780000,13.780000,13.660000,13.730000,8.437963,6500
2009-07-20,13.930000,13.990000,13.780000,13.850000,8.511703,4800
2009-07-21,13.870000,13.940000,13.850000,13.940000,8.567019,10800
2009-07-22,13.900000,13.900000,13.890000,13.900000,8.542428,2100
