Date,Open,High,Low,Close,Adj Close,Volume
2001-10-03,15.140000,15.150000,15.080000,15.110000,4.844323,27700
2001-10-04,15.110000,15.110000,15.000000,15.020000,4.815469,28300
2001-10-05,15.080000,15.080000,15.000000,15.000000,4.809058,35300
2001-10-08,15.050000,15.050000,15.000000,15.030000,4.818672,21900
2001-10-09,15.050000,15.050000,15.000000,15.040000,4.821882,17900
2001-10-10,15.000000,15.050000,15.000000,15.000000,4.809058,23800
2001-10-11,15.000000,15.050000,15.000000,15.030000,4.818672,31000
2001-10-12,15.000000,15.060000,15.000000,15.020000,4.815469,57400
2001-10-15,15.000000,15.050000,15.000000,15.000000,4.809058,56000
2001-10-16,15.050000,15.070000,15.000000,15.000000,4.809058,87100
2001-10-17,15.000000,15.060000,15.000000,15.060000,4.828294,21000
2001-10-18,15.010000,15.040000,15.000000,15.040000,4.821882,15900
2001-10-19,15.000000,15.060000,15.000000,15.060000,4.828294,30600
2001-10-22,15.040000,15.070000,15.010000,15.010000,4.812259,16800
2001-10-23,15.080000,15.090000,15.000000,15.000000,4.809058,82200
2001-10-24,15.000000,15.040000,15.000000,15.020000,4.815469,48800
2001-10-25,15.060000,15.060000,15.000000,15.000000,4.809058,26300
2001-10-26,15.000000,15.060000,15.000000,15.000000,4.809058,21100
2001-10-29,15.000000,15.050000,15.000000,15.000000,4.809058,65800
2001-10-30,15.040000,15.070000,15.000000,15.060000,4.828294,38500
2001-10-31,15.050000,15.080000,15.000000,15.070000,4.831497,61900
2001-11-01,15.090000,15.090000,15.000000,15.000000,4.809058,42000
2001-11-02,15.050000,15.060000,15.000000,15.000000,4.809058,13300
2001-11-05,15.050000,15.050000,14.950000,15.000000,4.809058,48400
2001-11-06,15.000000,15.020000,14.900000,14.900000,4.776994,51400
2001-11-07,14.890000,14.940000,14.800000,14.860000,4.764175,31100
2001-11-08,14.900000,14.950000,14.820000,14.820000,4.751347,25700
2001-11-09,14.880000,14.900000,14.800000,14.850000,4.760965,15100
2001-11-12,14.900000,14.920000,14.840000,14.840000,4.757761,17500
2001-11-13,14.900000,15.000000,14.900000,14.970000,4.799440,34500
2001-11-14,14.980000,15.040000,14.970000,14.970000,4.799440,21700
2001-11-15,14.990000,14.990000,14.800000,14.900000,4.801372,23700
2001-11-16,14.800000,14.860000,14.710000,14.860000,4.788482,22900
2001-11-19,14.860000,14.890000,14.640000,14.690000,4.733698,29300
2001-11-20,14.700000,14.700000,14.600000,14.650000,4.720809,21700
