Date,Open,High,Low,Close,Adj Close,Volume
2001-02-09,5.142857,5.428571,5.142857,5.214286,5.214286,10492800
2001-02-12,5.214286,5.214286,5.142857,5.142857,5.142857,2156700
2001-02-13,5.142857,5.357143,5.142857,5.285714,5.285714,575900
2001-02-14,5.285714,5.375000,5.232143,5.375000,5.375000,219200
2001-02-15,5.339286,5.375000,5.196429,5.214286,5.214286,357800
2001-02-16,5.196429,5.196429,5.142857,5.142857,5.142857,511300
2001-02-20,5.142857,5.169643,5.142857,5.169643,5.169643,297500
2001-02-21,5.169643,5.232143,5.142857,5.169643,5.169643,521800
2001-02-22,5.151786,5.169643,5.142857,5.142857,5.142857,312900
2001-02-23,5.142857,5.169643,5.142857,5.160714,5.160714,576800
2001-02-26,5.160714,5.196429,5.142857,5.169643,5.169643,142600
2001-02-27,5.178571,5.232143,5.151786,5.169643,5.169643,83400
2001-02-28,5.169643,5.178571,5.142857,5.178571,5.178571,129300
2001-03-01,5.169643,5.169643,5.142857,5.142857,5.142857,446200
2001-03-02,5.142857,5.151786,5.142857,5.142857,5.142857,197400
2001-03-05,5.142857,5.285714,5.142857,5.285714,5.285714,95700
2001-03-06,5.571429,5.946429,5.428571,5.517857,5.517857,899600
2001-03-07,6.000000,6.687500,5.803571,6.428571,6.428571,860300
2001-03-08,6.339286,6.857143,6.339286,6.830357,6.830357,358900
2001-03-09,6.857143,7.142857,6.767857,7.133929,7.133929,278400
2001-03-12,7.053571,7.089286,6.232143,6.357143,6.357143,311100
2001-03-13,6.410714,6.687500,6.303571,6.687500,6.687500,223100
2001-03-14,6.571429,6.571429,6.053571,6.169643,6.169643,175500
2001-03-15,6.312500,6.312500,5.910714,6.142857,6.142857,175800
2001-03-16,6.116071,6.169643,6.000000,6.026786,6.026786,148700
2001-03-19,6.000000,6.232143,5.803571,6.116071,6.116071,201000
2001-03-20,6.169643,6.455357,6.116071,6.285714,6.285714,70300
2001-03-21,6.312500,6.312500,6.000000,6.000000,6.000000,205900
2001-03-22,6.000000,6.142857,6.000000,6.133929,6.133929,155400
2001-03-23,6.089286,6.116071,6.000000,6.071429,6.071429,45800
2001-03-26,6.089286,6.285714,6.089286,6.285714,6.285714,112300
2001-03-27,6.285714,6.285714,6.169643,6.285714,6.285714,119300
2001-03-28,6.285714,6.285714,6.169643,6.169643,6.169643,186200
2001-03-29,6.116071,6.285714,6.071429,6.232143,6.232143,87800
2001-03-30,6.232143,6.910714,6.232143,6.428571,6.428571,275800
2001-04-02,6.196429,6.294643,6.196429,6.258929,6.258929,377800
2001-04-03,5.973214,6.285714,5.142857,5.258929,5.258929,326000
2001-04-04,5.339286,5.660714,5.258929,5.660714,5.660714,92400
2001-04-05,5.625000,5.830357,5.625000,5.803571,5.803571,61900
2001-04-06,5.830357,5.857143,5.714286,5.830357,5.830357,328300
2001-04-09,5.800000,5.828571,5.628572,5.657143,5.657143,20300
2001-04-10,5.714286,6.114286,5.674286,6.114286,6.114286,58800
2001-04-11,6.085714,6.142857,5.942857,6.142857,6.142857,75900
2001-04-12,6.171429,6.228571,6.051429,6.057143,6.057143,53500
2001-04-16,6.114286,6.114286,5.628572,5.828571,5.828571,74500
2001-04-17,5.885714,6.000000,5.714286,5.714286,5.714286,60700
2001-04-18,5.742857,6.057143,5.714286,6.011428,6.011428,35300
2001-04-19,6.057143,6.171429,5.828571,5.828571,5.828571,55400
2001-04-20,5.828571,5.857143,5.771429,5.811429,5.811429,42100
2001-04-23,5.857143,5.862857,5.742857,5.777143,5.777143,331600
2001-04-24,5.714286,5.714286,5.628572,5.702857,5.702857,78000
2001-04-25,5.742857,5.742857,5.714286,5.720000,5.720000,73600
2001-04-26,5.771429,5.971428,5.771429,5.914286,5.914286,326200
2001-04-27,5.942857,6.205714,5.942857,6.160000,6.160000,258300
2001-04-30,6.160000,6.228571,5.885714,6.000000,6.000000,212600
2001-05-01,5.571429,5.685714,5.542857,5.628572,5.628572,224300
2001-05-02,5.342857,5.542857,5.342857,5.451428,5.451428,233200
2001-05-03,5.200000,5.771429,5.114286,5.685714,5.685714,264700
2001-05-04,5.685714,6.457143,5.685714,6.302857,6.302857,351400
2001-05-07,6.285714,6.428571,6.200000,6.280000,6.280000,110400
2001-05-08,6.257143,6.342857,6.171429,6.314286,6.314286,224300
2001-05-09,6.337143,6.600000,6.325714,6.600000,6.600000,166900
2001-05-10,6.582857,6.657143,6.485714,6.628572,6.628572,79800
2001-05-11,6.685714,6.971428,6.657143,6.971428,6.971428,125100
2001-05-14,6.914286,7.942857,6.857143,7.828571,7.828571,339300
2001-05-15,7.685714,8.154285,7.685714,8.142858,8.142858,357000
2001-05-16,8.171429,8.188571,7.428571,7.771429,7.771429,297800
2001-05-17,7.771429,8.074286,7.571429,7.714286,7.714286,168000
2001-05-18,7.771429,8.085714,7.771429,8.000000,8.000000,131600
2001-05-21,8.057143,8.571428,8.000000,8.571428,8.571428,194200
2001-05-22,8.514286,8.514286,8.342857,8.428572,8.428572,62800
