Date,Open,High,Low,Close,Adj Close,Volume
1989-12-15,12.000000,12.000000,12.000000,12.000000,0.973703,68500
1989-12-18,12.000000,12.000000,12.000000,12.000000,0.973703,17500
1989-12-19,12.000000,12.000000,12.000000,12.000000,0.973703,10700
1989-12-20,12.000000,12.000000,12.000000,12.000000,0.973703,47500
1989-12-21,12.000000,12.000000,12.000000,12.000000,0.973703,3900
1989-12-22,12.000000,12.125000,12.000000,12.125000,0.983845,2000
1989-12-26,12.125000,12.125000,12.000000,12.125000,0.983845,3200
1989-12-27,12.125000,12.125000,12.000000,12.000000,0.973703,14600
1989-12-28,12.000000,12.125000,12.000000,12.125000,0.983845,6100
1989-12-29,12.125000,12.125000,12.000000,12.125000,0.983845,16500
1990-01-02,12.125000,12.125000,12.000000,12.125000,0.983845,49400
1990-01-03,12.125000,12.125000,12.000000,12.125000,0.983845,3500
1990-01-04,12.125000,12.125000,12.000000,12.125000,0.983845,7700
1990-01-05,12.125000,12.125000,12.000000,12.000000,0.973703,17800
1990-01-08,12.000000,12.125000,12.000000,12.000000,0.973703,10200
1990-01-09,12.000000,12.125000,12.000000,12.125000,0.983845,6600
1990-01-10,12.125000,12.125000,12.000000,12.000000,0.973703,10900
1990-01-11,12.000000,12.125000,12.000000,12.000000,0.973703,15600
1990-01-12,12.000000,12.125000,12.000000,12.000000,0.973703,10200
1990-01-15,12.000000,12.125000,12.000000,12.000000,0.973703,35500
1990-01-16,12.000000,12.000000,12.000000,12.000000,0.973703,84300
1990-01-17,12.000000,12.125000,12.000000,12.000000,0.973703,130900
1990-01-18,12.000000,12.125000,12.000000,12.000000,0.973703,9200
1990-01-19,12.000000,12.125000,12.000000,12.000000,0.973703,120800
1990-01-22,12.000000,12.125000,12.000000,12.000000,0.973703,12600
1990-01-23,12.000000,12.125000,12.000000,12.125000,0.983845,26400
1990-01-24,12.125000,12.125000,12.000000,12.000000,0.973703,140400
1990-01-25,12.000000,12.125000,12.000000,12.000000,0.973703,32200
1990-01-26,12.000000,12.000000,12.000000,12.000000,0.973703,16000
1990-01-29,12.000000,12.125000,12.000000,12.000000,0.973703,7800
1990-01-30,12.000000,12.125000,11.875000,11.875000,0.963559,29900
1990-01-31,11.875000,12.000000,11.875000,11.875000,0.963559,5500
1990-02-01,11.875000,11.875000,11.750000,11.750000,0.953417,54500
1990-02-02,11.750000,11.750000,11.750000,11.750000,0.953417,4600
1990-02-05,11.750000,11.875000,11.750000,11.875000,0.963559,1200
1990-02-06,11.875000,11.875000,11.750000,11.750000,0.953417,5100
1990-02-07,11.750000,11.750000,11.500000,11.500000,0.933133,26600
1990-02-08,11.500000,11.500000,11.375000,11.375000,0.922989,18100
1990-02-09,11.375000,11.500000,11.250000,11.375000,0.922989,7800
1990-02-12,11.375000,11.375000,11.250000,11.375000,0.922989,4200
1990-02-13,11.375000,11.500000,11.375000,11.500000,0.933133,6800
1990-02-14,11.500000,11.625000,11.250000,11.250000,0.912846,12100
1990-02-15,11.375000,11.750000,11.375000,11.500000,0.933133,23400
1990-02-16,11.500000,11.875000,11.375000,11.875000,0.963559,20500
1990-02-20,11.875000,11.875000,11.750000,11.750000,0.953417,15300
1990-02-21,11.750000,11.875000,11.625000,11.750000,0.953417,27000
1990-02-22,11.750000,11.875000,11.625000,11.750000,0.953417,8200
1990-02-23,11.625000,11.625000,11.625000,11.625000,0.943274,6100
1990-02-26,11.625000,11.625000,11.500000,11.500000,0.933133,12700
1990-02-27,11.500000,11.625000,11.500000,11.500000,0.942143,3800
1990-02-28,11.500000,11.625000,11.375000,11.500000,0.942143,9000
1990-03-01,11.500000,11.625000,11.375000,11.625000,0.952384,10400
1990-03-02,11.625000,11.625000,11.375000,11.625000,0.952384,3100
1990-03-05,11.625000,11.625000,11.625000,11.625000,0.952384,4500
1990-03-06,11.625000,11.750000,11.500000,11.625000,0.952384,13500
1990-03-07,11.625000,11.750000,11.625000,11.625000,0.952384,9900
1990-03-08,11.625000,11.750000,11.625000,11.750000,0.962624,8800
1990-03-09,11.750000,11.875000,11.750000,11.750000,0.962624,8400
1990-03-12,11.750000,11.750000,11.625000,11.750000,0.962624,5400
1990-03-13,11.625000,11.625000,11.625000,11.625000,0.952384,6200
1990-03-14,11.625000,11.750000,11.625000,11.625000,0.952384,6000
1990-03-15,11.625000,11.750000,11.500000,11.500000,0.942143,12900
1990-03-16,11.500000,11.750000,11.250000,11.750000,0.962624,17200
1990-03-19,11.750000,11.750000,11.500000,11.500000,0.942143,6000
1990-03-20,11.500000,11.500000,11.000000,11.250000,0.921661,34500
1990-03-21,11.500000,11.750000,11.500000,11.750000,0.962624,15400
1990-03-22,11.750000,11.750000,11.500000,11.500000,0.942143,35400
1990-03-23,11.500000,11.625000,11.500000,11.500000,0.942143,25300
1990-03-26,11.500000,11.500000,11.375000,11.500000,0.951243,2600
1990-03-27,11.500000,11.500000,11.250000,11.375000,0.940903,6900
1990-03-28,11.375000,11.375000,11.250000,11.250000,0.930562,9500
1990-03-29,11.250000,11.250000,11.000000,11.000000,0.909884,15100
1990-03-30,11.000000,11.000000,10.875000,10.875000,0.899545,10800
1990-04-02,10.875000,11.125000,10.750000,11.000000,0.909884,21300
1990-04-03,11.000000,11.125000,11.000000,11.000000,0.909884,6000
1990-04-04,11.000000,11.250000,11.000000,11.250000,0.930562,10400
1990-04-05,11.250000,11.250000,11.125000,11.125000,0.920223,19100
1990-04-06,11.125000,11.250000,11.125000,11.250000,0.930562,4300
1990-04-09,11.125000,11.125000,11.000000,11.125000,0.920223,21700
1990-04-10,11.000000,11.000000,10.875000,11.000000,0.909884,36800
1990-04-11,11.000000,11.000000,10.875000,11.000000,0.909884,9900
1990-04-12,11.000000,11.125000,10.875000,11.000000,0.909884,10800
1990-04-16,11.000000,11.125000,11.000000,11.125000,0.920223,10000
1990-04-17,11.125000,11.250000,11.125000,11.250000,0.930562,10400
1990-04-18,11.250000,11.250000,11.000000,11.125000,0.920223,12400
1990-04-19,11.125000,11.125000,11.000000,11.125000,0.920223,34900
1990-04-20,11.125000,11.250000,11.000000,11.000000,0.909884,41300
1990-04-23,11.000000,11.125000,11.000000,11.125000,0.920223,23100
1990-04-24,11.125000,11.125000,10.875000,11.000000,0.918970,12700
1990-04-25,11.000000,11.125000,11.000000,11.000000,0.918970,11000
1990-04-26,11.000000,11.125000,11.000000,11.000000,0.918970,7900
1990-04-27,11.000000,11.125000,10.000000,10.500000,0.877199,74200
1990-04-30,10.500000,10.625000,10.375000,10.375000,0.866757,34600
1990-05-01,10.375000,10.500000,10.375000,10.500000,0.877199,5700
1990-05-02,10.500000,10.500000,10.375000,10.375000,0.866757,23300
1990-05-03,10.375000,10.625000,10.375000,10.625000,0.887642,76000
1990-05-04,10.625000,10.875000,10.500000,10.875000,0.908527,18400
1990-05-07,10.875000,10.875000,10.750000,10.875000,0.908527,6700
1990-05-08,10.875000,11.000000,10.750000,11.000000,0.918970,11800
1990-05-09,11.000000,11.000000,10.750000,10.750000,0.898085,21900
1990-05-10,10.750000,10.875000,10.750000,10.750000,0.898085,33200
1990-05-11,10.750000,11.000000,10.750000,11.000000,0.918970,43700
1990-05-14,11.000000,11.125000,11.000000,11.125000,0.929413,11800
1990-05-15,11.125000,11.125000,11.000000,11.125000,0.929413,17100
1990-05-16,11.125000,11.250000,11.000000,11.000000,0.918970,21400
1990-05-17,11.000000,11.250000,11.000000,11.000000,0.918970,25600
1990-05-18,11.000000,11.125000,11.000000,11.125000,0.929413,22700
1990-05-21,11.125000,11.125000,11.000000,11.125000,0.929413,10900
1990-05-22,11.125000,11.125000,11.000000,11.125000,0.929413,3500
1990-05-23,11.125000,11.125000,11.000000,11.000000,0.918970,30000
1990-05-24,11.000000,11.125000,10.875000,11.000000,0.918970,13400
1990-05-25,11.000000,11.125000,11.000000,11.000000,0.918970,5700
1990-05-29,11.000000,11.000000,10.875000,11.000000,0.928253,13800
1990-05-30,11.000000,11.125000,10.875000,11.000000,0.928253,13300
1990-05-31,11.000000,11.000000,10.875000,11.000000,0.928253,8400
1990-06-01,11.000000,11.000000,10.875000,11.000000,0.928253,9400
1990-06-04,11.000000,11.000000,10.875000,10.875000,0.917704,11300
1990-06-05,10.875000,11.000000,10.875000,10.875000,0.917704,11300
1990-06-06,10.875000,11.125000,10.875000,11.125000,0.938801,23400
1990-06-07,11.125000,11.125000,11.000000,11.125000,0.938801,14200
1990-06-08,11.125000,11.250000,11.125000,11.125000,0.938801,18400
1990-06-11,11.125000,11.125000,11.000000,11.000000,0.928253,15900
1990-06-12,11.000000,11.125000,11.000000,11.000000,0.928253,14800
1990-06-13,11.000000,11.125000,11.000000,11.125000,0.938801,13800
1990-06-14,11.125000,11.125000,11.000000,11.000000,0.928253,9100
1990-06-15,11.125000,11.125000,11.125000,11.125000,0.938801,20500
1990-06-18,11.125000,11.125000,11.000000,11.000000,0.928253,16300
1990-06-19,11.000000,11.125000,11.000000,11.000000,0.928253,31400
1990-06-20,11.000000,11.125000,10.875000,11.000000,0.928253,17700
1990-06-21,11.000000,11.000000,10.875000,11.000000,0.928253,4300
1990-06-22,11.000000,11.000000,10.875000,11.000000,0.928253,17900
1990-06-25,11.000000,11.000000,10.750000,11.000000,0.937629,20800
1990-06-26,11.000000,11.125000,10.875000,11.125000,0.948283,36900
1990-06-27,11.125000,11.125000,11.000000,11.125000,0.948283,10700
1990-06-28,11.125000,11.125000,11.000000,11.125000,0.948283,14900
1990-06-29,11.125000,11.125000,11.000000,11.125000,0.948283,11900
1990-07-02,11.125000,11.125000,11.000000,11.125000,0.948283,254800
1990-07-03,11.125000,11.125000,11.000000,11.000000,0.937629,22700
1990-07-05,11.000000,11.125000,11.000000,11.000000,0.937629,8900
1990-07-06,11.000000,11.125000,11.000000,11.125000,0.948283,33700
1990-07-09,11.125000,11.125000,11.000000,11.000000,0.937629,19800
1990-07-10,11.000000,11.125000,11.000000,11.125000,0.948283,11400
1990-07-11,11.125000,11.125000,11.000000,11.125000,0.948283,31300
1990-07-12,11.125000,11.125000,11.000000,11.000000,0.937629,26000
1990-07-13,11.000000,11.125000,11.000000,11.000000,0.937629,47100
1990-07-16,11.000000,11.125000,11.000000,11.000000,0.937629,102300
1990-07-17,11.000000,11.125000,11.000000,11.125000,0.948283,17700
1990-07-18,11.125000,11.125000,11.000000,11.125000,0.948283,42800
1990-07-19,11.125000,11.125000,11.000000,11.125000,0.948283,25300
1990-07-20,11.125000,11.125000,11.000000,11.125000,0.948283,39000
1990-07-23,11.125000,11.125000,11.000000,11.125000,0.957754,10000
1990-07-24,11.125000,11.125000,11.000000,11.125000,0.957754,55100
1990-07-25,11.125000,11.125000,11.000000,11.125000,0.957754,14700
1990-07-26,11.125000,11.250000,11.000000,11.250000,0.968515,25600
1990-07-27,11.250000,11.250000,11.125000,11.250000,0.968515,22100
1990-07-30,11.125000,11.250000,11.125000,11.125000,0.957754,36800
1990-07-31,11.125000,11.125000,11.000000,11.125000,0.957754,25400
1990-08-01,11.125000,11.250000,11.000000,11.125000,0.957754,37400
1990-08-02,11.125000,11.125000,10.875000,11.000000,0.946993,40600
1990-08-03,11.125000,11.125000,11.000000,11.000000,0.946993,95900
1990-08-06,11.000000,11.375000,11.000000,11.125000,0.957754,24400
1990-08-07,11.125000,11.250000,11.000000,11.000000,0.946993,37900
1990-08-08,10.875000,11.000000,10.875000,11.000000,0.946993,65500
1990-08-09,10.875000,11.000000,10.875000,10.875000,0.936231,9300
1990-08-10,11.000000,11.000000,10.875000,11.000000,0.946993,30400
1990-08-13,11.000000,11.000000,10.875000,11.000000,0.946993,11400
1990-08-14,10.875000,11.000000,10.875000,11.000000,0.946993,10300
1990-08-15,11.000000,11.125000,10.875000,11.000000,0.946993,13100
1990-08-16,11.000000,11.125000,10.875000,11.000000,0.946993,22600
1990-08-17,10.875000,11.000000,10.875000,11.000000,0.946993,25200
1990-08-20,11.000000,11.000000,10.875000,10.875000,0.936231,9700
1990-08-21,11.000000,11.000000,10.750000,10.875000,0.936231,27600
1990-08-22,10.750000,10.750000,10.500000,10.500000,0.903948,23000
1990-08-23,10.250000,10.375000,10.250000,10.250000,0.882425,25400
1990-08-24,10.250000,10.375000,10.125000,10.250000,0.882425,19800
1990-08-27,10.250000,10.375000,10.000000,10.000000,0.870241,24400
1990-08-28,10.125000,10.250000,10.000000,10.125000,0.881119,18400
1990-08-29,10.125000,10.375000,10.125000,10.375000,0.902876,18900
