Date,Open,High,Low,Close,Adj Close,Volume
2015-09-30,19.000000,19.000000,19.000000,19.000000,19.000000,0
2015-10-01,19.000000,19.900000,18.719999,19.200001,19.200001,5653000
2015-10-02,18.820000,21.549999,18.820000,21.180000,21.180000,1365500
2015-10-05,21.629999,22.559999,21.299999,22.020000,22.020000,535500
2015-10-06,21.629999,21.930000,21.020000,21.250000,21.250000,191400
2015-10-07,21.000000,21.629999,20.532000,21.260000,21.260000,384500
2015-10-08,21.010000,22.059999,21.000000,21.980000,21.980000,136300
2015-10-09,22.080000,22.139999,21.580000,21.709999,21.709999,43600
2015-10-12,21.730000,22.379999,21.629999,22.290001,22.290001,45700
2015-10-13,21.980000,22.299999,21.659000,22.020000,22.020000,167200
2015-10-14,21.850000,22.780001,21.850000,22.290001,22.290001,318400
2015-10-15,22.490000,22.790001,22.198999,22.420000,22.420000,141300
2015-10-16,22.450001,22.450001,21.725000,21.940001,21.940001,225800
2015-10-19,21.879999,22.290001,21.540001,21.950001,21.950001,182600
2015-10-20,21.799999,22.440001,21.631001,22.110001,22.110001,119200
2015-10-21,22.410000,22.450001,22.000000,22.180000,22.180000,105300
2015-10-22,22.440001,22.440001,22.030001,22.190001,22.190001,36100
2015-10-23,22.299999,22.299999,22.082001,22.190001,22.190001,65700
2015-10-26,22.190001,22.450001,22.020000,22.030001,22.030001,98600
2015-10-27,22.320000,22.629999,22.155001,22.520000,22.520000,231600
2015-10-28,22.610001,22.790001,22.230000,22.510000,22.510000,308700
2015-10-29,22.450001,22.790001,22.450001,22.670000,22.670000,150800
2015-10-30,22.570000,22.799999,22.295000,22.770000,22.770000,78000
2015-11-02,22.930000,23.000000,22.500000,22.750000,22.750000,228400
2015-11-03,22.629999,23.180000,22.524000,22.980000,22.980000,484200
2015-11-04,23.160000,23.950001,21.770000,21.900000,21.900000,455100
2015-11-05,21.850000,22.610001,21.250000,21.520000,21.520000,443500
2015-11-06,21.450001,22.280001,20.650000,21.850000,21.850000,170900
2015-11-09,21.780001,21.940001,20.900000,21.690001,21.690001,165100
2015-11-10,21.700001,23.530001,21.330000,22.740000,22.740000,230000
2015-11-11,22.790001,23.245001,22.299999,22.799999,22.799999,146200
2015-11-12,22.639999,22.730000,22.270000,22.440001,22.440001,127800
2015-11-13,22.490000,22.490000,22.049999,22.389999,22.389999,32100
2015-11-16,22.230000,22.500000,22.021999,22.360001,22.360001,142200
2015-11-17,22.299999,23.100000,22.299999,22.760000,22.760000,116700
2015-11-18,22.700001,23.000000,22.590000,23.000000,23.000000,81100
2015-11-19,22.870001,23.260000,22.620001,22.650000,22.650000,89700
2015-11-20,22.559999,22.879999,22.010000,22.660000,22.660000,90200
2015-11-23,22.600000,23.200001,22.575001,23.030001,23.030001,142500
2015-11-24,23.160000,23.230000,22.600000,23.110001,23.110001,164700
2015-11-25,23.059999,23.170000,22.900000,22.959999,22.959999,220100
2015-11-27,22.950001,23.200001,22.950001,23.170000,23.170000,59600
2015-11-30,23.020000,23.230000,23.020000,23.129999,23.129999,117700
2015-12-01,23.290001,23.590000,22.660000,23.040001,23.040001,127100
2015-12-02,22.930000,23.180000,22.760000,22.950001,22.950001,147200
2015-12-03,22.950001,22.980000,21.370001,21.910000,21.910000,351400
2015-12-04,21.764000,22.290001,21.764000,21.980000,21.980000,109300
2015-12-07,22.049999,23.100000,22.049999,23.000000,23.000000,188700
2015-12-08,22.980000,23.080000,22.459999,23.000000,23.000000,162000
2015-12-09,23.049999,23.049999,22.600000,22.959999,22.959999,127700
2015-12-10,22.920000,23.358999,22.389999,22.719999,22.719999,352300
