Date,Open,High,Low,Close,Adj Close,Volume
2014-03-20,16.250000,17.379999,15.150000,15.170000,15.170000,12593200
2014-03-21,15.440000,16.370001,15.220000,16.129999,16.129999,1224300
2014-03-24,16.219999,16.219999,15.250000,15.500000,15.500000,442400
2014-03-25,15.500000,15.680000,14.410000,15.530000,15.530000,1005900
2014-03-26,15.550000,15.550000,14.750000,15.000000,15.000000,316700
2014-03-27,14.880000,15.300000,14.750000,15.020000,15.020000,138900
2014-03-28,15.000000,15.150000,14.800000,15.100000,15.100000,218200
2014-03-31,15.170000,15.550000,15.000000,15.530000,15.530000,89200
2014-04-01,15.600000,16.690001,15.500000,16.610001,16.610001,280000
2014-04-02,16.740000,16.940001,16.590000,16.920000,16.920000,258800
2014-04-03,16.920000,16.959999,16.490000,16.559999,16.559999,138800
2014-04-04,16.400000,16.610001,15.260000,16.190001,16.190001,278100
2014-04-07,16.090000,16.180000,14.650000,14.860000,14.860000,537800
2014-04-08,15.400000,15.610000,13.310000,13.720000,13.720000,408200
2014-04-09,14.000000,14.000000,13.200000,13.920000,13.920000,267700
2014-04-10,14.040000,14.440000,13.230000,14.120000,14.120000,275300
2014-04-11,13.840000,13.940000,13.520000,13.680000,13.680000,206200
2014-04-14,13.750000,14.490000,13.690000,13.840000,13.840000,308100
2014-04-15,13.970000,13.970000,12.750000,13.360000,13.360000,281400
2014-04-16,13.590000,13.850000,12.860000,13.010000,13.010000,212500
2014-04-17,13.030000,13.140000,12.910000,13.060000,13.060000,191100
2014-04-21,13.170000,13.680000,13.140000,13.580000,13.580000,61100
2014-04-22,13.660000,13.660000,12.920000,13.480000,13.480000,129400
2014-04-23,13.530000,13.610000,13.050000,13.100000,13.100000,72600
2014-04-24,13.040000,13.390000,12.950000,13.200000,13.200000,161200
2014-04-25,13.200000,13.280000,13.100000,13.250000,13.250000,57000
2014-04-28,13.210000,13.600000,12.910000,12.990000,12.990000,161500
2014-04-29,13.190000,13.190000,12.400000,12.440000,12.440000,293200
2014-04-30,12.340000,12.590000,11.540000,12.280000,12.280000,249400
2014-05-01,12.200000,12.860000,12.150000,12.740000,12.740000,95300
2014-05-02,12.720000,12.720000,12.260000,12.350000,12.350000,82800
2014-05-05,12.400000,12.400000,11.800000,12.030000,12.030000,202700
2014-05-06,12.030000,12.100000,11.790000,12.000000,12.000000,98200
2014-05-07,11.950000,12.120000,11.470000,11.590000,11.590000,274200
2014-05-08,11.510000,11.890000,10.400000,10.650000,10.650000,345200
2014-05-09,11.100000,11.510000,9.620000,10.030000,10.030000,930100
2014-05-12,10.030000,10.590000,10.030000,10.390000,10.390000,253200
2014-05-13,10.430000,11.180000,10.410000,11.050000,11.050000,171900
2014-05-14,11.040000,11.780000,10.870000,11.270000,11.270000,162600
2014-05-15,11.230000,11.490000,10.870000,11.310000,11.310000,113600
2014-05-16,11.270000,11.850000,11.000000,11.740000,11.740000,113000
2014-05-19,11.790000,12.250000,11.660000,12.030000,12.030000,60400
2014-05-20,11.990000,12.150000,11.650000,11.820000,11.820000,122000
2014-05-21,11.850000,12.200000,11.700000,11.720000,11.720000,70700
2014-05-22,11.780000,12.300000,11.540000,12.010000,12.010000,89300
2014-05-23,12.080000,12.740000,12.040000,12.690000,12.690000,65500
2014-05-27,12.650000,12.840000,12.460000,12.730000,12.730000,64800
2014-05-28,12.650000,13.100000,12.650000,12.910000,12.910000,79000
2014-05-29,13.010000,13.200000,12.620000,13.130000,13.130000,57900
2014-05-30,13.030000,13.200000,12.890000,13.150000,13.150000,68000
2014-06-02,13.040000,13.660000,12.540000,13.460000,13.460000,143100
2014-06-03,13.310000,13.870000,13.240000,13.370000,13.370000,95400
2014-06-04,13.410000,13.850000,13.050000,13.750000,13.750000,140500
2014-06-05,13.700000,14.490000,13.280000,14.220000,14.220000,213600
2014-06-06,14.160000,15.060000,14.010000,14.850000,14.850000,231200
2014-06-09,14.770000,15.350000,14.590000,14.980000,14.980000,89800
2014-06-10,14.970000,15.050000,14.630000,14.780000,14.780000,59800
2014-06-11,14.740000,15.000000,14.290000,14.570000,14.570000,125500
2014-06-12,14.590000,15.160000,14.590000,15.070000,15.070000,109000
2014-06-13,15.000000,15.720000,14.960000,15.500000,15.500000,119900
2014-06-16,15.580000,16.110001,15.000000,15.110000,15.110000,140100
2014-06-17,15.120000,15.490000,14.950000,15.490000,15.490000,110200
2014-06-18,15.420000,15.460000,14.560000,14.870000,14.870000,147000
2014-06-19,15.110000,15.470000,14.990000,15.410000,15.410000,80500
2014-06-20,15.410000,15.920000,15.310000,15.880000,15.880000,299600
2014-06-23,15.950000,16.059999,15.720000,15.940000,15.940000,87500
2014-06-24,15.910000,15.940000,15.050000,15.280000,15.280000,87400
2014-06-25,15.100000,15.400000,14.900000,14.920000,14.920000,50000
2014-06-26,14.880000,14.940000,14.020000,14.830000,14.830000,92000
2014-06-27,14.810000,14.970000,14.010000,14.120000,14.120000,934000
2014-06-30,14.150000,14.410000,13.560000,14.260000,14.260000,192600
2014-07-01,14.180000,14.630000,14.090000,14.540000,14.540000,175500
2014-07-02,14.490000,14.770000,14.360000,14.660000,14.660000,82700
2014-07-03,14.680000,15.050000,14.510000,15.040000,15.040000,33500
2014-07-07,14.980000,15.110000,14.500000,14.570000,14.570000,84400
2014-07-08,14.510000,14.510000,13.630000,13.860000,13.860000,261900
2014-07-09,13.910000,14.010000,13.640000,13.830000,13.830000,194500
2014-07-10,13.520000,13.790000,13.020000,13.650000,13.650000,91000
2014-07-11,13.570000,13.820000,13.510000,13.700000,13.700000,39600
2014-07-14,13.800000,13.800000,13.500000,13.580000,13.580000,57000
2014-07-15,13.640000,13.800000,13.280000,13.630000,13.630000,141200
2014-07-16,13.720000,13.800000,13.420000,13.700000,13.700000,62300
2014-07-17,13.590000,13.710000,13.020000,13.130000,13.130000,64600
2014-07-18,13.070000,13.840000,13.070000,13.750000,13.750000,129200
2014-07-21,13.690000,13.690000,13.440000,13.550000,13.550000,61600
2014-07-22,13.580000,14.260000,13.580000,13.960000,13.960000,302500
2014-07-23,14.050000,14.200000,13.870000,14.050000,14.050000,242000
2014-07-24,14.000000,14.180000,13.720000,13.940000,13.940000,182000
2014-07-25,13.780000,14.060000,13.710000,13.790000,13.790000,120700
2014-07-28,13.750000,13.800000,13.200000,13.380000,13.380000,51500
2014-07-29,13.380000,13.530000,13.140000,13.170000,13.170000,49500
2014-07-30,13.230000,13.370000,13.050000,13.240000,13.240000,386100
2014-07-31,13.060000,13.590000,13.060000,13.170000,13.170000,75800
2014-08-01,13.150000,13.230000,12.810000,13.140000,13.140000,189800
2014-08-04,13.220000,13.450000,13.130000,13.270000,13.270000,111500
2014-08-05,13.250000,13.300000,12.440000,12.680000,12.680000,120800
2014-08-06,12.630000,12.900000,12.510000,12.840000,12.840000,71200
2014-08-07,12.950000,13.100000,12.460000,12.990000,12.990000,103200
2014-08-08,13.620000,15.760000,13.390000,15.340000,15.340000,467200
2014-08-11,15.470000,15.530000,14.530000,15.230000,15.230000,238700
2014-08-12,15.130000,16.049999,14.750000,16.020000,16.020000,232900
2014-08-13,16.030001,16.889999,15.770000,16.620001,16.620001,190800
2014-08-14,16.690001,16.860001,15.960000,16.110001,16.110001,88700
2014-08-15,16.290001,16.290001,15.860000,16.180000,16.180000,53200
2014-08-18,16.430000,16.520000,16.110001,16.200001,16.200001,78300
2014-08-19,16.219999,16.430000,15.840000,16.250000,16.250000,82900
2014-08-20,16.160000,16.160000,15.640000,15.660000,15.660000,43800
2014-08-21,15.570000,16.209999,15.320000,16.080000,16.080000,98700
2014-08-22,16.070000,16.299999,15.850000,16.219999,16.219999,77600
2014-08-25,16.309999,16.690001,15.870000,15.960000,15.960000,82000
2014-08-26,15.930000,16.070000,15.430000,15.490000,15.490000,125300
2014-08-27,15.540000,15.540000,14.760000,15.420000,15.420000,187900
2014-08-28,15.290000,15.650000,14.790000,15.160000,15.160000,125000
2014-08-29,15.150000,15.490000,14.720000,14.760000,14.760000,70500
2014-09-02,14.840000,15.220000,14.260000,14.590000,14.590000,122600
2014-09-03,14.620000,14.850000,14.580000,14.670000,14.670000,73400
2014-09-04,14.590000,15.160000,14.570000,15.060000,15.060000,83700
2014-09-05,15.060000,15.200000,14.500000,14.960000,14.960000,168000
2014-09-08,14.990000,15.120000,14.570000,15.070000,15.070000,133100
2014-09-09,14.940000,14.980000,14.560000,14.900000,14.900000,93100
2014-09-10,14.870000,15.150000,14.870000,15.020000,15.020000,95500
2014-09-11,14.970000,15.470000,14.900000,15.320000,15.320000,134300
2014-09-12,15.340000,15.660000,15.320000,15.580000,15.580000,67900
2014-09-15,15.610000,15.750000,15.290000,15.320000,15.320000,119900
2014-09-16,15.330000,15.700000,15.250000,15.610000,15.610000,157800
2014-09-17,15.650000,16.379999,15.650000,16.090000,16.090000,106300
2014-09-18,16.110001,16.209999,15.400000,15.900000,15.900000,266100
2014-09-19,15.930000,16.070000,14.930000,15.440000,15.440000,103100
2014-09-22,15.330000,15.330000,14.090000,14.660000,14.660000,87100
2014-09-23,14.560000,15.130000,14.210000,14.260000,14.260000,95400
2014-09-24,14.210000,14.370000,13.790000,14.190000,14.190000,161800
2014-09-25,14.240000,14.300000,13.820000,14.080000,14.080000,87500
2014-09-26,14.080000,14.200000,13.980000,14.060000,14.060000,40500
2014-09-29,13.880000,14.260000,13.790000,13.910000,13.910000,55100
2014-09-30,13.770000,14.260000,13.770000,14.000000,14.000000,61000
2014-10-01,13.970000,14.460000,13.750000,14.380000,14.380000,115600
2014-10-02,14.340000,15.030000,14.290000,14.950000,14.950000,72500
2014-10-03,15.130000,15.240000,14.810000,14.850000,14.850000,93300
2014-10-06,14.930000,14.930000,14.440000,14.650000,14.650000,91300
2014-10-07,14.560000,14.560000,14.230000,14.360000,14.360000,80100
2014-10-08,14.290000,14.700000,13.930000,14.490000,14.490000,97000
2014-10-09,14.490000,14.490000,13.710000,13.890000,13.890000,124200
2014-10-10,13.770000,14.000000,13.250000,13.360000,13.360000,118200
2014-10-13,13.320000,14.010000,13.110000,13.480000,13.480000,71400
2014-10-14,13.610000,14.350000,13.610000,14.010000,14.010000,61400
2014-10-15,13.760000,14.450000,13.570000,14.240000,14.240000,110000
2014-10-16,13.990000,14.880000,13.990000,14.320000,14.320000,80100
2014-10-17,14.540000,14.720000,13.890000,14.000000,14.000000,94400
2014-10-20,13.870000,14.080000,13.350000,13.990000,13.990000,65300
2014-10-21,13.990000,14.020000,13.030000,13.990000,13.990000,89300
2014-10-22,13.990000,14.130000,13.720000,13.930000,13.930000,42500
2014-10-23,13.900000,14.300000,13.840000,14.070000,14.070000,104000
2014-10-24,14.110000,14.490000,14.020000,14.430000,14.430000,47500
2014-10-27,14.410000,14.410000,14.030000,14.360000,14.360000,36500
2014-10-28,14.490000,14.730000,14.380000,14.560000,14.560000,64400
2014-10-29,14.620000,14.850000,14.350000,14.510000,14.510000,50800
2014-10-30,14.430000,14.830000,14.270000,14.560000,14.560000,49800
2014-10-31,14.930000,15.300000,14.790000,15.090000,15.090000,161200
2014-11-03,15.040000,15.230000,14.500000,14.720000,14.720000,81300
2014-11-04,14.670000,15.080000,14.500000,14.920000,14.920000,95000
2014-11-05,15.120000,15.200000,14.610000,15.070000,15.070000,223600
2014-11-06,14.950000,15.340000,14.950000,15.100000,15.100000,144500
2014-11-07,15.500000,19.430000,15.460000,18.870001,18.870001,1006900
2014-11-10,18.650000,18.850000,17.700001,17.910000,17.910000,360700
2014-11-11,17.160000,17.680000,16.600000,17.459999,17.459999,449800
2014-11-12,17.430000,17.940001,16.889999,17.910000,17.910000,169500
2014-11-13,17.910000,18.400000,17.670000,18.049999,18.049999,435000
2014-11-14,18.010000,18.900000,17.910000,18.900000,18.900000,380100
