Date,Open,High,Low,Close,Adj Close,Volume
1994-02-11,14.500000,14.500000,14.125000,14.250000,1.282624,5300
1994-02-14,14.375000,14.500000,14.375000,14.375000,1.293877,22900
1994-02-15,14.375000,14.500000,14.375000,14.375000,1.293877,12600
1994-02-16,14.500000,14.750000,14.375000,14.500000,1.305128,20300
1994-02-17,14.500000,14.625000,14.500000,14.500000,1.305128,8700
1994-02-18,14.625000,14.750000,14.625000,14.750000,1.327629,19800
1994-02-22,14.750000,14.750000,14.500000,14.750000,1.327629,13000
1994-02-23,14.750000,14.750000,14.500000,14.500000,1.305128,21400
1994-02-24,14.500000,14.625000,14.500000,14.500000,1.305128,12400
1994-02-25,14.500000,14.750000,14.500000,14.750000,1.327629,14400
1994-02-28,14.750000,15.000000,14.625000,15.000000,1.350131,57900
1994-03-01,14.875000,15.000000,14.500000,14.625000,1.316379,34900
1994-03-02,14.500000,14.875000,14.375000,14.875000,1.338881,23800
1994-03-03,14.625000,14.875000,14.625000,14.875000,1.338881,5300
1994-03-04,14.875000,14.875000,14.750000,14.875000,1.338881,15900
1994-03-07,14.875000,14.875000,14.750000,14.875000,1.338881,10000
1994-03-08,14.875000,15.000000,14.875000,15.000000,1.350131,14700
1994-03-09,14.875000,15.000000,14.750000,15.000000,1.357371,28600
1994-03-10,14.875000,15.000000,14.875000,15.000000,1.357371,10700
1994-03-11,14.875000,15.000000,14.875000,15.000000,1.357371,14000
1994-03-14,15.000000,15.000000,14.750000,14.750000,1.334748,9800
1994-03-15,14.875000,14.875000,14.750000,14.750000,1.334748,16500
1994-03-16,14.875000,14.875000,14.750000,14.750000,1.334748,15100
1994-03-17,14.750000,14.875000,14.750000,14.875000,1.346060,14000
1994-03-18,14.875000,15.000000,14.750000,15.000000,1.357371,26700
1994-03-21,15.000000,15.000000,14.875000,14.875000,1.346060,12100
1994-03-22,14.750000,15.000000,14.750000,15.000000,1.357371,21700
1994-03-23,14.875000,14.875000,14.750000,14.750000,1.334748,18400
1994-03-24,14.875000,14.875000,14.625000,14.750000,1.334748,23600
1994-03-25,14.875000,14.875000,14.625000,14.875000,1.346060,7900
1994-03-28,14.875000,14.875000,14.750000,14.750000,1.334748,12700
1994-03-29,14.875000,14.875000,14.625000,14.750000,1.334748,18200
1994-03-30,14.750000,14.750000,14.375000,14.500000,1.312126,9600
1994-03-31,14.375000,14.750000,14.375000,14.750000,1.334748,21700
1994-04-04,14.625000,14.750000,14.500000,14.750000,1.334748,23900
1994-04-05,14.750000,14.750000,14.375000,14.625000,1.323437,14200
1994-04-06,14.625000,14.750000,14.625000,14.625000,1.323437,5900
1994-04-07,14.625000,14.750000,14.625000,14.750000,1.334748,9000
1994-04-08,14.750000,14.750000,14.375000,14.375000,1.300815,11400
1994-04-11,14.500000,14.500000,14.375000,14.500000,1.319469,8900
1994-04-12,14.375000,14.500000,14.125000,14.125000,1.285345,8800
1994-04-13,14.250000,14.250000,14.125000,14.125000,1.285345,15000
1994-04-14,14.000000,14.250000,14.000000,14.000000,1.273969,17500
1994-04-15,14.000000,14.250000,14.000000,14.125000,1.285345,9000
1994-04-18,14.125000,14.250000,13.375000,13.625000,1.239846,18100
1994-04-19,13.625000,13.750000,13.500000,13.750000,1.251220,13600
1994-04-20,13.750000,14.000000,13.625000,14.000000,1.273969,25400
1994-04-21,13.875000,14.125000,13.875000,14.125000,1.285345,13900
1994-04-22,14.125000,14.125000,13.750000,13.875000,1.262595,15300
1994-04-25,13.875000,13.875000,13.750000,13.875000,1.262595,12600
1994-04-26,14.000000,14.125000,13.875000,14.125000,1.285345,7600
1994-04-28,14.125000,14.125000,13.875000,14.000000,1.273969,13000
