Date,Open,High,Low,Close,Adj Close,Volume
1985-01-29,1.717480,1.747092,1.717480,1.717480,1.025381,44500
1985-01-30,1.747092,1.835927,1.747092,1.747092,1.043060,81000
1985-01-31,1.776703,1.806315,1.776703,1.776703,1.060740,49600
1985-02-01,1.776703,1.806315,1.747092,1.776703,1.060740,20800
1985-02-04,1.776703,1.806315,1.776703,1.776703,1.060740,65800
1985-02-05,1.806315,1.806315,1.806315,1.806315,1.078418,24400
1985-02-06,1.806315,1.835927,1.776703,1.776703,1.060740,53500
1985-02-07,1.806315,1.806315,1.806315,1.806315,1.078418,50500
1985-02-08,1.806315,1.806315,1.747092,1.747092,1.043060,13600
1985-02-11,1.776703,1.776703,1.776703,1.776703,1.060740,11200
1985-02-12,1.776703,1.776703,1.776703,1.776703,1.060740,17200
1985-02-13,1.835927,1.835927,1.835927,1.835927,1.096097,109000
1985-02-14,1.865538,1.895150,1.865538,1.865538,1.113776,104400
1985-02-15,1.865538,1.865538,1.835927,1.865538,1.113776,28000
1985-02-19,1.865538,1.865538,1.865538,1.865538,1.113776,31500
1985-02-20,1.865538,1.865538,1.835927,1.835927,1.096097,53500
1985-02-21,1.924762,1.983985,1.924762,1.924762,1.149134,107100
1985-02-22,1.924762,1.954374,1.895150,1.924762,1.149134,65800
1985-02-25,1.895150,1.895150,1.835927,1.835927,1.096097,31900
1985-02-26,1.835927,1.835927,1.835927,1.835927,1.096097,30600
1985-02-27,1.865538,1.895150,1.865538,1.865538,1.113776,40500
1985-02-28,1.865538,1.895150,1.865538,1.865538,1.113776,154900
1985-03-01,1.865538,1.865538,1.865538,1.865538,1.113776,1000
1985-03-04,1.865538,1.865538,1.865538,1.865538,1.113776,1900
1985-03-05,1.835927,1.835927,1.835927,1.835927,1.096097,100
1985-03-06,1.835927,1.895150,1.806315,1.806315,1.078418,4900
1985-03-07,1.806315,1.806315,1.806315,1.806315,1.078418,8500
1985-03-08,1.806315,1.835927,1.776703,1.835927,1.096097,21700
1985-03-11,1.835927,1.835927,1.747092,1.747092,1.043060,8500
1985-03-12,1.747092,1.747092,1.717480,1.717480,1.025381,4500
1985-03-13,1.717480,1.747092,1.687868,1.687868,1.007702,18000
1985-03-14,1.687868,1.717480,1.687868,1.687868,1.007702,0
1985-03-15,1.687868,1.687868,1.687868,1.687868,1.007702,1300
1985-03-18,1.687868,1.687868,1.599033,1.599033,0.954665,39700
1985-03-19,1.628645,1.628645,1.628645,1.628645,0.972344,40000
1985-03-20,1.628645,1.628645,1.628645,1.628645,0.972344,20700
1985-03-21,1.569421,1.569421,1.569421,1.569421,0.936986,11200
1985-03-22,1.539810,1.539810,1.539810,1.539810,0.919307,1000
1985-03-25,1.539810,1.599033,1.510198,1.510198,0.901628,24400
1985-03-26,1.539810,1.539810,1.539810,1.539810,0.919307,8100
1985-03-27,1.539810,1.569421,1.480586,1.480586,0.883949,20800
