Date,Open,High,Low,Close,Adj Close,Volume
2004-06-17,14.750000,15.450000,14.400000,14.650000,2.612912,568900
2004-06-18,14.900000,14.900000,13.350000,13.450000,2.398885,742200
2004-06-21,13.500000,13.650000,12.850000,13.080000,2.332893,248200
2004-06-22,12.900000,13.250000,12.650000,13.100000,2.336461,442800
2004-06-23,13.160000,14.250000,13.100000,14.240000,2.539785,402300
2004-06-24,14.350000,14.980000,14.320000,14.880000,2.701359,248200
2004-06-25,15.000000,15.200000,14.950000,15.190000,2.757637,244800
2004-06-28,15.800000,16.000000,15.350000,15.500000,2.813915,466200
2004-06-29,15.500000,15.500000,14.900000,15.040000,2.730406,415400
2004-06-30,14.900000,15.350000,14.520000,14.950000,2.714067,379000
2004-07-01,14.800000,15.200000,14.800000,14.850000,2.695912,212700
2004-07-02,14.850000,14.850000,14.360000,14.400000,2.614219,139300
2004-07-06,14.300000,14.890000,14.300000,14.800000,2.686835,91300
2004-07-07,14.700000,14.850000,14.650000,14.780000,2.683205,252100
2004-07-08,14.780000,15.150000,14.710000,15.050000,2.732221,547300
2004-07-09,15.150000,16.190001,15.150000,16.030001,2.910134,303300
2004-07-12,16.000000,17.250000,15.810000,15.950000,2.895611,163800
2004-07-13,15.960000,16.030001,15.200000,15.530000,2.819362,132200
2004-07-14,15.350000,15.920000,15.350000,15.560000,2.824808,206300
2004-07-15,15.450000,15.800000,15.450000,15.550000,2.822993,106400
2004-07-16,15.650000,15.820000,15.510000,15.750000,2.859302,241100
2004-07-19,15.780000,16.070000,15.710000,15.850000,2.877456,161300
2004-07-20,15.900000,16.389999,15.880000,16.350000,2.968227,130800
2004-07-21,16.850000,17.270000,16.650000,17.000000,3.086230,322500
2004-07-22,17.160000,17.250000,16.480000,17.100000,3.104384,107200
2004-07-23,17.000000,17.049999,16.690001,16.809999,3.051737,32400
2004-07-26,16.900000,16.950001,15.590000,15.880000,2.882903,142200
2004-07-27,15.800000,16.299999,15.750000,16.150000,2.931920,94700
2004-07-28,16.240000,16.500000,16.049999,16.350000,2.968227,67600
2004-07-29,16.600000,16.700001,16.049999,16.450001,2.986382,177300
2004-07-30,16.400000,16.650000,16.299999,16.610001,3.015429,68600
2004-08-02,16.620001,16.650000,16.389999,16.469999,2.990012,44500
2004-08-03,16.400000,16.400000,15.620000,16.049999,2.913765,119200
2004-08-04,16.100000,16.400000,16.010000,16.350000,2.968227,184400
2004-08-05,16.299999,16.350000,15.500000,15.750000,2.859302,135100
2004-08-06,15.680000,16.299999,15.530000,15.940000,2.893795,68800
2004-08-09,15.900000,16.379999,15.900000,16.230000,2.946442,109600
2004-08-10,16.250000,16.360001,16.150000,16.330000,2.964596,97800
2004-08-11,16.080000,16.209999,15.970000,16.200001,2.940995,129600
2004-08-12,16.209999,16.209999,15.900000,15.930000,2.891979,109200
2004-08-13,15.940000,15.980000,15.820000,15.830000,2.873825,104900
2004-08-16,15.830000,16.200001,15.800000,16.200001,2.940995,81900
2004-08-17,16.350000,16.840000,16.299999,16.590000,3.011797,61500
2004-08-18,16.600000,16.799999,16.580000,16.670000,3.026321,95500
2004-08-19,16.750000,17.400000,16.750000,17.250000,3.131615,237300
2004-08-20,17.450001,17.700001,17.299999,17.450001,3.167925,214200
2004-08-23,18.250000,18.400000,18.000000,18.200001,3.304082,303800
2004-08-24,18.299999,18.320000,18.049999,18.090000,3.284112,88300
2004-08-25,18.020000,18.100000,17.610001,17.910000,3.251434,114600
2004-08-26,17.500000,17.620001,17.350000,17.469999,3.234770,74500
2004-08-27,17.650000,17.820000,17.600000,17.600000,3.258841,43900
2004-08-30,17.750000,17.860001,17.600000,17.639999,3.266246,39800
2004-08-31,17.600000,17.629999,17.410000,17.500000,3.240324,109200
2004-09-01,17.610001,17.700001,17.450001,17.510000,3.242176,128500
2004-09-02,17.690001,18.100000,17.690001,18.000000,3.332906,112500
2004-09-03,18.000000,18.250000,17.930000,18.200001,3.369938,93700
2004-09-07,18.280001,18.299999,17.610001,17.700001,3.277358,140700
2004-09-08,17.750000,17.850000,17.350000,17.480000,3.596245,118700
2004-09-09,17.500000,18.000000,17.500000,17.850000,3.672368,113200
2004-09-10,17.850000,17.850000,17.500000,17.500000,3.600360,152500
2004-09-13,17.510000,17.700001,17.459999,17.650000,3.631222,58300
2004-09-14,17.700001,17.910000,17.700001,17.820000,3.666194,53400
2004-09-15,17.950001,18.200001,17.950001,18.160000,3.736145,70800
2004-09-16,18.160000,18.700001,18.049999,18.570000,3.820496,98400
