Date,Open,High,Low,Close,Adj Close,Volume
2012-02-01,17.250000,17.440001,15.770000,16.000000,13.807659,11511900
2012-02-02,16.000000,16.139999,15.380000,16.000000,13.807659,1378300
2012-02-03,16.000000,16.400000,15.710000,16.120001,13.911218,554100
2012-02-06,16.400000,16.450001,15.920000,16.350000,14.109698,336200
2012-02-07,16.440001,17.500000,16.040001,17.340000,14.964050,880400
2012-02-08,17.200001,17.740000,17.000000,17.200001,14.843233,777300
2012-02-09,17.500000,17.700001,17.080000,17.250000,14.886379,157100
2012-02-10,17.000000,17.320000,16.950001,17.049999,14.713783,200500
2012-02-13,17.070000,17.389999,17.030001,17.250000,14.886379,140500
2012-02-14,17.250000,17.320000,16.799999,16.850000,14.541188,329600
2012-02-15,17.000000,17.000000,16.410000,16.660000,14.377226,168400
2012-02-16,16.750000,16.969999,16.570000,16.790001,14.489412,71600
2012-02-17,18.219999,18.219999,16.379999,16.540001,14.273668,371500
2012-02-21,16.750000,16.750000,16.450001,16.750000,14.454892,251600
2012-02-22,16.950001,17.100000,16.709999,17.000000,14.670638,199500
2012-02-23,17.049999,17.090000,16.740000,17.010000,14.679266,407600
2012-02-24,16.980000,17.900000,16.900000,17.430000,15.041714,346600
2012-02-27,17.360001,17.570000,17.090000,17.400000,15.015828,166700
2012-02-28,17.350000,17.389999,16.990000,17.049999,14.713783,149000
2012-02-29,17.139999,17.139999,16.900000,16.920000,14.601599,113200
2012-03-01,16.940001,17.090000,16.910000,17.090000,14.748307,115000
2012-03-02,17.000000,17.209999,16.889999,16.940001,14.618859,101800
2012-03-05,16.770000,17.030001,16.200001,16.240000,14.014772,337600
2012-03-06,16.100000,16.650000,16.100000,16.250000,14.023403,489100
2012-03-07,16.549999,16.750000,16.200001,16.450001,14.196001,256400
2012-03-08,16.650000,16.889999,16.490000,16.559999,14.290925,200100
2012-03-09,16.500000,17.150000,16.500000,17.059999,14.722413,691100
2012-03-12,17.350000,17.850000,17.190001,17.340000,14.964050,753500
2012-03-13,17.290001,17.980000,17.209999,17.469999,15.076237,355000
2012-03-14,17.650000,18.850000,17.600000,18.299999,15.792508,553200
2012-03-15,18.240000,19.480000,18.230000,19.330000,16.681377,570800
2012-03-16,19.559999,20.450001,19.410000,19.940001,17.207794,884000
2012-03-19,20.750000,20.910000,19.490000,19.809999,17.095606,552000
2012-03-20,19.670000,21.780001,19.610001,21.090000,18.200216,1170900
2012-03-21,21.600000,21.750000,20.500000,21.400000,18.467745,794300
2012-03-22,21.059999,21.070000,20.070000,20.129999,17.371756,477000
2012-03-23,20.780001,21.000000,20.400000,20.620001,17.794622,259100
2012-03-26,20.950001,21.730000,20.740000,21.690001,18.718008,320300
2012-03-27,21.780001,22.139999,21.540001,21.870001,18.873341,303100
2012-03-28,21.790001,21.990000,20.850000,20.940001,18.070772,272800
2012-03-29,20.870001,21.209999,20.379999,20.719999,17.880917,348900
2012-03-30,21.010000,21.070000,20.610001,20.940001,18.070772,1027800
2012-04-02,20.940001,21.510000,20.650000,21.110001,18.217478,308900
2012-04-03,21.790001,21.790001,20.590000,21.209999,18.303776,362700
2012-04-04,20.750000,21.100000,20.250000,20.420000,17.622021,173800
2012-04-05,20.340000,20.400000,19.719999,20.010000,17.268200,381800
2012-04-09,19.950001,20.410000,19.010000,19.719999,17.017937,142300
2012-04-10,19.719999,20.059999,18.469999,19.090000,16.474258,304000
2012-04-11,19.190001,19.400000,18.330000,18.750000,16.180845,420900
2012-04-12,18.770000,19.299999,18.400000,18.790001,16.215368,381000
2012-04-13,18.190001,18.670000,17.469999,18.000000,15.533622,786700
2012-04-16,18.799999,18.799999,17.340000,17.629999,15.214313,433400
2012-04-17,17.850000,18.090000,17.400000,17.469999,15.076237,480700
2012-04-18,17.930000,17.930000,16.639999,16.879999,14.567080,546900
2012-04-19,17.100000,17.459999,16.450001,16.750000,14.454892,655500
2012-04-20,16.879999,17.010000,16.320000,16.559999,14.290925,188100
2012-04-23,16.250000,16.510000,15.920000,16.280001,14.049292,428900
2012-04-24,16.309999,17.049999,16.230000,16.830000,14.523931,303200
2012-04-25,16.940001,17.809999,16.719999,17.120001,14.774196,355800
2012-04-26,17.080000,17.959999,16.920000,17.840000,15.395540,435400
2012-04-27,17.900000,18.530001,17.900000,18.190001,15.697583,511200
2012-04-30,18.150000,18.270000,17.570000,18.120001,15.637172,200000
