Date,Open,High,Low,Close,Adj Close,Volume
2019-06-27,24.990000,25.180000,24.990000,25.100000,24.060045,1199200
2019-06-28,25.129999,25.219999,24.959999,25.059999,24.021702,761400
2019-07-01,25.129999,25.150000,25.049999,25.080000,24.040874,313400
2019-07-02,25.080000,25.125000,25.020000,25.120001,24.079218,483100
2019-07-03,25.120001,25.170000,25.110001,25.139999,24.098389,386200
2019-07-05,25.080000,25.100000,24.940001,25.030001,23.992947,391900
2019-07-08,25.049999,25.080000,25.000000,25.070000,24.031288,326500
2019-07-09,25.049999,25.330000,25.030001,25.299999,24.251759,1498600
2019-07-10,25.340000,25.400000,25.250000,25.320000,24.270929,632900
2019-07-11,25.330000,25.540001,25.299999,25.469999,24.414717,789200
2019-07-12,25.520000,25.660000,25.480000,25.650000,24.587255,1946500
2019-07-15,25.620001,25.690001,25.530001,25.559999,24.500986,511900
2019-07-16,25.540001,25.590000,25.459999,25.520000,24.462645,195300
2019-07-17,25.510000,25.620001,25.459999,25.590000,24.529745,438500
2019-07-18,25.590000,25.680000,25.590000,25.670000,24.606430,226000
2019-07-19,25.680000,25.770000,25.639999,25.680000,24.616016,328700
2019-07-22,25.680000,25.820000,25.680000,25.790001,24.721457,161200
2019-07-23,25.820000,25.870001,25.719999,25.870001,24.798143,310400
2019-07-24,25.870001,25.879999,25.816000,25.879999,24.807728,217100
2019-07-25,25.879999,25.879999,25.840000,25.860001,24.788557,137000
2019-07-26,25.879999,25.969999,25.851000,25.879999,24.807728,275200
2019-07-29,25.930000,26.000000,25.910000,25.990000,24.913170,309900
2019-07-30,25.980000,26.070000,25.950001,26.049999,24.970684,549100
2019-07-31,26.070000,26.389999,26.066000,26.290001,25.200741,2993900
2019-08-01,26.200001,26.379999,26.160000,26.260000,25.171984,295300
2019-08-02,26.260000,26.490000,26.209999,26.430000,25.334940,157200
2019-08-05,26.309999,26.400000,26.030001,26.389999,25.296598,226300
2019-08-06,26.440001,26.440001,26.230000,26.370001,25.277430,173500
2019-08-07,26.170000,26.299999,26.170000,26.230000,25.143227,92100
2019-08-08,26.360001,26.370001,26.270000,26.309999,25.219912,65700
2019-08-09,26.260000,26.340000,26.230000,26.250000,25.162397,112300
2019-08-12,26.290001,26.290001,26.200001,26.250000,25.162397,62600
2019-08-13,26.290001,26.340000,26.219999,26.260000,25.171984,145800
2019-08-14,26.200001,26.260000,26.120001,26.180000,25.095299,127900
2019-08-15,26.180000,26.350000,26.129999,26.309999,25.219912,130600
2019-08-16,26.350000,26.480000,26.280001,26.360001,25.267841,129200
2019-08-19,26.379999,26.400000,26.280001,26.379999,25.287012,277200
2019-08-20,26.379999,26.459999,26.340000,26.350000,25.258255,206900
