Date,Open,High,Low,Close,Adj Close,Volume
2014-10-21,46.500000,46.500000,46.500000,46.500000,42.566853,0
2014-10-22,46.500000,46.500000,46.500000,46.500000,42.566853,0
2014-10-23,47.000000,47.000000,47.000000,46.500000,42.566853,5000
2014-10-24,45.000000,45.000000,45.000000,46.500000,42.566853,1756
2014-10-27,45.000000,45.000000,45.000000,47.500000,43.482262,2510
2014-10-28,43.000000,43.000000,43.000000,43.500000,39.820595,19011
2014-10-29,40.500000,41.099998,40.500000,41.500000,37.989765,26876
2014-10-30,41.500000,41.500000,41.500000,41.500000,37.989765,0
2014-10-31,41.500000,41.500000,41.500000,41.500000,37.989765,0
2014-11-03,40.000000,40.000000,40.000000,40.500000,37.074352,5000
2014-11-04,40.450001,40.450001,40.450001,40.500000,37.074352,12360
2014-11-05,41.500000,52.000000,41.500000,50.000000,45.770805,359129
2014-11-06,48.500000,52.000000,48.500000,50.000000,45.770805,23329
2014-11-07,48.599998,52.000000,48.599998,50.000000,45.770805,10085
2014-11-10,52.000000,52.000000,49.000000,50.000000,45.770805,17527
2014-11-11,49.000000,56.000000,49.000000,55.000000,50.347881,32599
2014-11-12,55.000000,55.000000,55.000000,55.000000,50.347881,0
2014-11-13,57.000000,57.000000,54.020000,55.000000,50.347881,1894
2014-11-14,55.000000,55.000000,55.000000,55.000000,50.347881,0
2014-11-17,null,null,null,null,null,null
2014-11-18,null,null,null,null,null,null
2014-11-19,null,null,null,null,null,null
2014-11-20,null,null,null,null,null,null
2014-11-21,null,null,null,null,null,null
2014-11-24,null,null,null,null,null,null
2014-11-25,null,null,null,null,null,null
2014-11-26,null,null,null,null,null,null
2014-11-28,null,null,null,null,null,null
2014-12-01,null,null,null,null,null,null
2014-12-02,null,null,null,null,null,null
2014-12-03,null,null,null,null,null,null
2014-12-04,null,null,null,null,null,null
2014-12-05,null,null,null,null,null,null
2014-12-08,null,null,null,null,null,null
2014-12-09,null,null,null,null,null,null
2014-12-10,null,null,null,null,null,null
2014-12-11,null,null,null,null,null,null
2014-12-12,null,null,null,null,null,null
2014-12-15,null,null,null,null,null,null
2014-12-16,null,null,null,null,null,null
2014-12-17,null,null,null,null,null,null
2014-12-18,null,null,null,null,null,null
2014-12-19,null,null,null,null,null,null
2014-12-22,null,null,null,null,null,null
2014-12-23,null,null,null,null,null,null
2014-12-24,null,null,null,null,null,null
2014-12-26,null,null,null,null,null,null
2014-12-29,null,null,null,null,null,null
2014-12-30,null,null,null,null,null,null
2014-12-31,null,null,null,null,null,null
2015-01-02,null,null,null,null,null,null
2015-01-05,null,null,null,null,null,null
2015-01-06,null,null,null,null,null,null
2015-01-07,null,null,null,null,null,null
2015-01-08,null,null,null,null,null,null
2015-01-09,null,null,null,null,null,null
2015-01-12,null,null,null,null,null,null
2015-01-13,null,null,null,null,null,null
2015-01-14,null,null,null,null,null,null
2015-01-15,null,null,null,null,null,null
2015-01-16,null,null,null,null,null,null
2015-01-20,null,null,null,null,null,null
2015-01-21,null,null,null,null,null,null
2015-01-22,null,null,null,null,null,null
2015-01-23,null,null,null,null,null,null
2015-01-26,null,null,null,null,null,null
2015-01-27,null,null,null,null,null,null
2015-01-28,null,null,null,null,null,null
2015-01-29,null,null,null,null,null,null
2015-01-30,null,null,null,null,null,null
2015-02-02,null,null,null,null,null,null
2015-02-03,null,null,null,null,null,null
2015-02-04,null,null,null,null,null,null
2015-02-05,null,null,null,null,null,null
2015-02-06,null,null,null,null,null,null
2015-02-09,null,null,null,null,null,null
2015-02-10,null,null,null,null,null,null
2015-02-11,null,null,null,null,null,null
