Date,Open,High,Low,Close,Adj Close,Volume
2015-12-17,24.850000,24.950001,24.850000,24.950001,18.777771,15300
2015-12-18,24.950001,24.950001,24.900000,24.900000,18.740141,3100
2015-12-21,25.000000,25.000000,24.770000,24.950001,18.777771,6900
2015-12-22,24.950001,24.950001,24.850000,24.896000,18.737125,6600
2015-12-23,24.969999,24.969999,24.850000,24.950001,18.777771,3800
2015-12-24,24.948000,24.950001,24.948000,24.950001,18.777771,1400
2015-12-28,24.950001,24.950001,24.950001,24.950001,18.777771,400
2015-12-29,24.980000,24.980000,24.900000,24.950001,18.777771,18300
2015-12-30,24.900000,24.926001,24.500000,24.860001,18.710037,12100
2015-12-31,24.860001,24.940001,24.860001,24.940001,18.770243,3600
2016-01-04,24.900000,24.900000,24.855000,24.900000,18.740141,13000
2016-01-05,24.940001,25.000000,24.934000,25.000000,18.815401,9200
2016-01-06,24.930000,25.049999,24.920000,24.943001,18.772501,11800
2016-01-07,24.910000,25.149000,24.910000,25.149000,18.927540,2700
2016-01-08,25.030001,25.096001,24.992001,25.049999,18.853027,19500
2016-01-11,24.900000,25.100000,24.900000,25.100000,18.890663,6200
2016-01-12,25.469999,25.469999,25.100000,25.100000,18.890663,4100
2016-01-13,25.180000,25.200001,25.011000,25.048000,18.851528,5300
2016-01-14,25.250000,25.250000,25.129999,25.190001,18.958397,2000
2016-01-15,25.160000,25.160000,24.950001,24.950001,18.777771,14500
2016-01-19,24.940001,25.004999,24.600000,24.750000,18.627245,16700
2016-01-20,24.250000,25.000000,24.250000,25.000000,18.815401,8100
2016-01-21,24.990000,25.000000,24.990000,25.000000,18.815401,1100
2016-01-22,24.879000,25.420000,24.750000,25.100000,18.890663,6600
2016-01-25,25.020000,25.438999,25.010000,25.150000,18.928289,12200
2016-01-26,25.030001,25.030001,24.959999,25.020000,18.830450,3300
2016-01-27,24.990000,25.000000,24.990000,25.000000,18.815401,1300
2016-01-28,25.090000,25.100000,25.000000,25.000000,18.815401,500
2016-01-29,24.850000,24.999001,24.850000,24.999001,18.814650,2500
2016-02-01,25.000000,25.000000,24.959999,24.959999,18.785294,500
2016-02-02,24.900000,24.950001,24.650000,24.850000,18.702505,1100
2016-02-03,24.840000,24.840000,24.799999,24.799999,18.664879,800
2016-02-04,24.879999,25.218000,24.770000,24.900000,18.740141,17900
2016-02-05,24.900000,24.900000,24.900000,24.900000,18.740141,0
2016-02-08,24.799999,24.799999,24.799999,24.799999,18.664879,500
2016-02-09,24.700001,24.700001,24.010000,24.180000,18.198256,5600
2016-02-10,24.100000,24.150000,24.100000,24.136999,18.165894,4500
2016-02-11,23.900000,23.900000,23.900000,23.900000,17.987524,100
2016-02-12,24.002001,24.049999,24.000999,24.049999,18.100416,1400
2016-02-16,24.299999,24.490000,24.299999,24.490000,18.431568,2500
2016-02-17,24.261000,24.420000,24.261000,24.309999,18.296095,1700
2016-02-18,24.419001,24.419001,24.250000,24.250000,18.250938,1500
2016-02-19,24.230000,24.238001,23.832001,23.832001,17.936348,7400
2016-02-22,24.180000,24.200001,24.030001,24.049999,18.100416,2700
2016-02-23,24.010000,24.157000,23.936001,23.940001,18.017628,7300
2016-02-24,23.980000,24.480000,23.750000,24.209999,18.220833,6300
2016-02-25,24.490000,24.580000,24.490000,24.580000,18.499306,2400
2016-02-26,24.150000,24.299999,23.600000,24.299999,18.288568,6200
2016-02-29,24.250000,24.459999,23.969999,24.030001,18.085361,27400
2016-03-01,24.090000,24.750000,24.090000,24.719999,18.604666,12700
2016-03-02,25.250000,25.500000,24.650000,24.830000,18.687456,4000
2016-03-03,24.799999,25.000000,24.549999,24.559999,18.484251,9300
2016-03-04,24.750000,24.750000,24.740000,24.740000,18.619719,800
2016-03-07,24.620001,24.799999,24.620001,24.799999,18.664879,3200
2016-03-08,24.600000,24.997999,24.549999,24.988001,18.806374,1500
2016-03-09,24.730000,25.709999,24.730000,25.250000,19.003551,2600
2016-03-10,25.000000,25.209999,24.959999,25.180000,18.950871,11200
2016-03-11,24.820000,25.139999,24.450001,24.620001,18.906328,22500
2016-03-14,24.459999,24.480000,24.200001,24.350000,18.698994,3400
2016-03-15,24.309999,24.490000,24.250000,24.490000,18.806501,3100
2016-03-16,24.299999,24.490000,24.299999,24.490000,18.806501,200
2016-03-17,24.566999,24.750000,24.313999,24.490000,18.806501,6800
2016-03-18,24.820000,24.840000,24.601999,24.660000,18.937050,2800
2016-03-21,24.900000,25.000000,24.850000,24.850000,19.082954,3800
2016-03-22,24.760000,24.799999,24.760000,24.799999,19.044559,3100
2016-03-23,24.750000,24.750000,24.670000,24.750000,19.006159,4600
2016-03-24,24.520000,24.749001,24.520000,24.749001,19.005392,800
2016-03-28,24.750000,24.750000,24.542000,24.750000,19.006159,3300
2016-03-29,24.750000,24.750000,24.549999,24.750000,19.006159,1200
2016-03-30,25.000000,25.000000,24.650000,24.650000,18.929369,9200
2016-03-31,24.650000,24.719999,24.650000,24.650000,18.929369,5400
2016-04-01,24.600000,24.889999,24.600000,24.889999,19.113670,5200
2016-04-04,24.639999,25.000000,24.639999,24.900000,19.121353,3700
2016-04-05,24.959999,24.959999,24.950001,24.950001,19.159748,1500
2016-04-06,24.820000,24.820000,24.750000,24.780001,19.029198,3000
2016-04-07,24.943001,25.049999,24.740000,24.740000,18.998482,8700
2016-04-08,24.790001,24.799999,24.701000,24.799999,19.044559,3900
2016-04-11,24.799999,24.799999,24.731001,24.750000,19.006159,9800
2016-04-12,24.700001,24.770000,24.660000,24.770000,19.021521,11300
2016-04-13,24.770000,24.770000,24.670000,24.670000,18.944727,18600
2016-04-14,24.750000,24.980000,24.740000,24.980000,19.182785,2200
2016-04-15,24.750000,24.760000,24.650000,24.760000,19.013844,3200
2016-04-18,24.750000,24.750000,24.629999,24.700001,18.967766,2800
2016-04-19,24.750000,24.750000,24.559999,24.629999,18.914009,16600
2016-04-20,24.750000,24.870001,24.660000,24.870001,19.098314,10500
2016-04-21,24.750000,24.990000,24.600000,24.990000,19.190468,3300
2016-04-22,24.740000,24.750000,24.650000,24.700001,18.967766,12000
2016-04-25,24.750000,24.990000,24.680000,24.680000,18.952406,5600
2016-04-26,24.750000,24.799999,24.600000,24.600000,18.890974,27100
2016-04-27,24.730000,24.750000,24.639999,24.639999,18.921690,4400
2016-04-28,24.750000,24.790001,24.746000,24.750000,19.006159,2700
2016-04-29,24.750000,24.790001,24.750000,24.790001,19.036880,6300
2016-05-02,24.812000,24.889999,24.812000,24.889999,19.113670,2500
2016-05-03,24.790001,24.889999,24.790001,24.889999,19.113670,800
2016-05-04,24.850000,24.889999,24.850000,24.850000,19.082954,2500
2016-05-05,24.889999,24.889999,24.889999,24.889999,19.113670,6500
2016-05-06,24.889999,24.990000,24.889999,24.990000,19.190468,1600
2016-05-09,24.889999,25.000000,24.889999,25.000000,19.198141,5500
2016-05-10,25.000000,25.000000,25.000000,25.000000,19.198141,400
2016-05-11,25.000000,25.059999,24.855000,25.059999,19.244223,5800
2016-05-12,25.090000,25.100000,25.000000,25.000000,19.198141,7400
2016-05-13,24.950001,24.950001,24.712000,24.950001,19.159748,700
2016-05-16,24.948999,25.059999,24.830000,25.049999,19.236538,11600
2016-05-17,24.879999,25.040001,24.809999,24.830000,19.067595,12800
2016-05-18,24.990000,25.080000,24.930000,25.080000,19.259579,11500
