Date,Open,High,Low,Close,Adj Close,Volume
1999-04-08,2.500000,3.125000,2.500000,2.843750,2.843750,3577200
1999-04-09,3.062500,3.468750,3.015625,3.218750,3.218750,1336400
1999-04-12,3.250000,3.406250,3.140625,3.250000,3.250000,763200
1999-04-13,3.328125,3.531250,3.265625,3.437500,3.437500,256000
1999-04-14,3.453125,3.484375,3.250000,3.421875,3.421875,450000
1999-04-15,3.453125,3.562500,3.375000,3.500000,3.500000,647200
1999-04-16,3.500000,3.687500,3.406250,3.671875,3.671875,185200
1999-04-19,3.703125,3.921875,3.687500,3.890625,3.890625,327200
1999-04-20,3.843750,4.000000,3.562500,3.875000,3.875000,457200
1999-04-21,3.937500,4.218750,3.828125,3.843750,3.843750,684400
1999-04-22,3.750000,3.765625,3.468750,3.562500,3.562500,648400
1999-04-23,3.593750,3.718750,3.500000,3.718750,3.718750,388400
1999-04-26,3.750000,4.000000,3.750000,3.937500,3.937500,580800
1999-04-27,4.000000,4.062500,3.875000,3.906250,3.906250,139600
1999-04-28,4.000000,4.109375,3.984375,4.062500,4.062500,113600
1999-04-29,4.125000,4.156250,4.000000,4.125000,4.125000,186400
1999-04-30,4.125000,4.218750,4.000000,4.000000,4.000000,140400
1999-05-03,4.062500,4.375000,4.062500,4.312500,4.312500,695200
1999-05-04,4.250000,4.437500,4.250000,4.343750,4.343750,310400
1999-05-05,4.343750,4.406250,4.187500,4.312500,4.312500,174400
1999-05-06,4.312500,4.500000,4.250000,4.421875,4.421875,67600
1999-05-07,4.484375,4.593750,4.406250,4.406250,4.406250,260800
1999-05-10,4.531250,4.656250,4.437500,4.625000,4.625000,438400
1999-05-11,4.562500,4.968750,4.562500,4.812500,4.812500,592800
1999-05-12,5.000000,5.000000,4.687500,4.750000,4.750000,660800
1999-05-13,4.750000,4.859375,4.750000,4.781250,4.781250,506000
1999-05-14,4.781250,4.812500,4.750000,4.765625,4.765625,139200
1999-05-17,4.781250,4.812500,4.750000,4.812500,4.812500,124400
1999-05-18,4.796875,4.812500,4.718750,4.796875,4.796875,384800
1999-05-19,4.796875,4.968750,4.796875,4.906250,4.906250,176000
1999-05-20,4.890625,5.437500,4.875000,5.328125,5.328125,207200
1999-05-21,5.343750,5.484375,5.281250,5.421875,5.421875,229200
1999-05-24,5.468750,5.687500,5.468750,5.640625,5.640625,447600
1999-05-25,5.750000,5.906250,5.718750,5.781250,5.781250,557200
1999-05-26,5.937500,6.250000,5.875000,6.125000,6.125000,768000
1999-05-27,6.125000,6.125000,5.000000,5.234375,5.234375,1206800
1999-05-28,5.218750,5.500000,5.187500,5.484375,5.484375,598800
1999-06-01,5.546875,5.718750,5.546875,5.671875,5.671875,181200
1999-06-02,5.687500,5.937500,5.687500,5.812500,5.812500,302800
1999-06-03,5.828125,5.906250,5.781250,5.875000,5.875000,500800
1999-06-04,5.937500,6.656250,5.875000,6.359375,6.359375,714400
1999-06-07,6.421875,6.421875,6.031250,6.125000,6.125000,184000
1999-06-08,6.156250,6.187500,5.843750,5.937500,5.937500,180000
1999-06-09,5.906250,5.921875,5.687500,5.828125,5.828125,134000
1999-06-10,5.828125,5.984375,5.828125,5.968750,5.968750,86800
1999-06-11,6.093750,6.109375,5.875000,5.953125,5.953125,547600
1999-06-14,5.984375,5.984375,5.562500,5.734375,5.734375,264800
1999-06-15,5.625000,5.625000,5.187500,5.234375,5.234375,1013200
1999-06-16,5.234375,5.343750,5.125000,5.281250,5.281250,220800
1999-06-17,5.343750,5.484375,5.312500,5.484375,5.484375,94000
1999-06-18,5.546875,5.609375,5.500000,5.562500,5.562500,56400
1999-06-21,5.593750,5.687500,5.593750,5.625000,5.625000,58800
1999-06-22,5.640625,5.656250,5.406250,5.406250,5.406250,75600
