Date,Open,High,Low,Close,Adj Close,Volume
1985-01-29,0.000000,0.619792,0.609375,0.614583,0.001108,496000
1985-01-30,0.000000,0.625000,0.614583,0.619792,0.001117,1579200
1985-01-31,0.000000,0.630208,0.614583,0.630208,0.001136,806400
1985-02-01,0.000000,0.640625,0.625000,0.640625,0.001155,1081600
1985-02-04,0.000000,0.635417,0.625000,0.635417,0.001146,1080000
1985-02-05,0.000000,0.656250,0.635417,0.651042,0.001174,2056000
1985-02-06,0.000000,0.661458,0.645833,0.661458,0.001192,1531200
1985-02-07,0.000000,0.692708,0.661458,0.682292,0.001230,1888000
1985-02-08,0.000000,0.703125,0.682292,0.697917,0.001258,1440000
1985-02-11,0.000000,0.703125,0.682292,0.682292,0.001230,1353600
1985-02-12,0.000000,0.682292,0.661458,0.671875,0.001211,2396800
1985-02-13,0.000000,0.692708,0.677083,0.687500,0.001239,2152000
1985-02-14,0.000000,0.703125,0.666667,0.671875,0.001211,1336000
1985-02-15,0.000000,0.671875,0.661458,0.661458,0.001192,662400
1985-02-19,0.000000,0.697917,0.666667,0.697917,0.001258,1187200
1985-02-20,0.000000,0.697917,0.692708,0.697917,0.001258,510400
1985-02-21,0.000000,0.697917,0.671875,0.671875,0.001211,342400
1985-02-22,0.000000,0.671875,0.656250,0.666667,0.001202,1382400
1985-02-25,0.000000,0.656250,0.630208,0.645833,0.001164,404800
1985-02-26,0.000000,0.661458,0.640625,0.656250,0.001183,964800
1985-02-27,0.000000,0.682292,0.666667,0.671875,0.001211,417600
1985-02-28,0.000000,0.682292,0.666667,0.666667,0.001202,260800
1985-03-01,0.000000,0.677083,0.671875,0.677083,0.001221,193600
1985-03-04,0.000000,0.692708,0.682292,0.687500,0.001239,393600
1985-03-05,0.000000,0.713542,0.697917,0.708333,0.001277,1720000
1985-03-06,0.000000,0.713542,0.692708,0.713542,0.001286,3361600
1985-03-07,0.000000,0.713542,0.703125,0.713542,0.001286,1958400
1985-03-08,0.000000,0.713542,0.708333,0.713542,0.001286,1091200
1985-03-11,0.000000,0.713542,0.703125,0.708333,0.001277,292800
1985-03-12,0.000000,0.708333,0.692708,0.703125,0.001268,265600
1985-03-13,0.000000,0.703125,0.692708,0.692708,0.001249,892800
1985-03-14,0.000000,0.692708,0.677083,0.677083,0.001221,409600
1985-03-15,0.000000,0.682292,0.666667,0.677083,0.001221,259200
1985-03-18,0.000000,0.671875,0.661458,0.661458,0.001192,254400
1985-03-19,0.000000,0.651042,0.572917,0.604167,0.001089,1660800
1985-03-20,0.000000,0.625000,0.604167,0.619792,0.001117,817600
1985-03-21,0.000000,0.625000,0.614583,0.614583,0.001242,884800
1985-03-22,0.000000,0.619792,0.604167,0.604167,0.001221,750400
1985-03-25,0.000000,0.614583,0.604167,0.614583,0.001242,158400
1985-03-26,0.000000,0.640625,0.619792,0.635417,0.001284,721600
1985-03-27,0.000000,0.645833,0.635417,0.640625,0.001294,657600
1985-03-28,0.000000,0.651042,0.640625,0.640625,0.001294,264000
1985-03-29,0.000000,0.651042,0.640625,0.640625,0.001294,350400
1985-04-01,0.000000,0.661458,0.645833,0.661458,0.001337,422400
1985-04-02,0.000000,0.666667,0.651042,0.656250,0.001326,235200
1985-04-03,0.000000,0.671875,0.651042,0.651042,0.001315,345600
1985-04-04,0.000000,0.661458,0.651042,0.661458,0.001337,182400
1985-04-08,0.000000,0.677083,0.651042,0.651042,0.001315,470400
1985-04-09,0.000000,0.661458,0.645833,0.645833,0.001305,193600
1985-04-10,0.000000,0.645833,0.630208,0.630208,0.001273,150400
1985-04-11,0.000000,0.630208,0.625000,0.625000,0.001263,270400
1985-04-12,0.000000,0.630208,0.619792,0.625000,0.001263,475200
1985-04-15,0.000000,0.625000,0.619792,0.625000,0.001263,321600
1985-04-16,0.000000,0.625000,0.609375,0.609375,0.001231,172800
1985-04-17,0.000000,0.619792,0.593750,0.609375,0.001231,326400
1985-04-18,0.000000,0.609375,0.593750,0.609375,0.001231,379200
1985-04-19,0.000000,0.598958,0.567708,0.583333,0.001179,614400
1985-04-22,0.000000,0.583333,0.562500,0.578125,0.001168,369600
1985-04-23,0.000000,0.578125,0.552083,0.578125,0.001168,528000
1985-04-24,0.000000,0.583333,0.578125,0.578125,0.001168,486400
1985-04-25,0.000000,0.598958,0.583333,0.598958,0.001210,1081600
1985-04-26,0.000000,0.614583,0.598958,0.614583,0.001242,475200
1985-04-29,0.000000,0.619792,0.614583,0.614583,0.001242,307200
1985-04-30,0.000000,0.625000,0.614583,0.619792,0.001252,777600
1985-05-01,0.000000,0.625000,0.619792,0.619792,0.001252,260800
1985-05-02,0.000000,0.630208,0.619792,0.619792,0.001252,168000
1985-05-03,0.000000,0.619792,0.614583,0.614583,0.001242,182400
1985-05-06,0.000000,0.619792,0.593750,0.593750,0.001200,678400
1985-05-07,0.000000,0.614583,0.598958,0.609375,0.001231,78400
1985-05-08,0.000000,0.619792,0.604167,0.614583,0.001242,177600
1985-05-09,0.000000,0.619792,0.609375,0.609375,0.001231,86400
1985-05-10,0.000000,0.630208,0.614583,0.630208,0.001273,139200
1985-05-13,0.000000,0.645833,0.630208,0.635417,0.001284,148800
1985-05-14,0.000000,0.640625,0.619792,0.630208,0.001273,260800
1985-05-15,0.000000,0.635417,0.619792,0.625000,0.001263,489600
1985-05-16,0.000000,0.635417,0.619792,0.625000,0.001263,1588800
1985-05-17,0.000000,0.635417,0.625000,0.635417,0.001284,198400
1985-05-20,0.000000,0.656250,0.640625,0.640625,0.001294,609600
1985-05-21,0.000000,0.656250,0.640625,0.651042,0.001315,481600
1985-05-22,0.000000,0.656250,0.640625,0.645833,0.001305,198400
1985-05-23,0.000000,0.645833,0.635417,0.635417,0.001284,140800
1985-05-24,0.000000,0.630208,0.614583,0.619792,0.001252,1528000
1985-05-28,0.000000,0.614583,0.593750,0.598958,0.001210,184000
1985-05-29,0.000000,0.604167,0.588542,0.598958,0.001210,278400
1985-05-30,0.000000,0.604167,0.588542,0.604167,0.001221,236800
1985-05-31,0.000000,0.604167,0.588542,0.588542,0.001189,139200
1985-06-03,0.000000,0.588542,0.583333,0.588542,0.001189,158400
1985-06-04,0.000000,0.593750,0.583333,0.593750,0.001200,201600
1985-06-05,0.000000,0.598958,0.588542,0.593750,0.001200,361600
1985-06-06,0.000000,0.593750,0.583333,0.588542,0.001189,366400
1985-06-07,0.000000,0.604167,0.583333,0.604167,0.001221,323200
1985-06-10,0.000000,0.609375,0.593750,0.604167,0.001221,174400
1985-06-11,0.000000,0.609375,0.604167,0.609375,0.001231,86400
1985-06-12,0.000000,0.609375,0.598958,0.604167,0.001221,129600
1985-06-13,0.000000,0.609375,0.598958,0.598958,0.001210,112000
1985-06-14,0.000000,0.604167,0.588542,0.604167,0.001221,148800
1985-06-17,0.000000,0.604167,0.588542,0.598958,0.001210,140800
1985-06-18,0.000000,0.604167,0.588542,0.604167,0.001221,155200
1985-06-19,0.000000,0.619792,0.604167,0.609375,0.001231,97600
1985-06-20,0.000000,0.630208,0.614583,0.630208,0.001273,278400
1985-06-21,0.000000,0.635417,0.609375,0.630208,0.001273,668800
1985-06-24,0.000000,0.630208,0.619792,0.625000,0.001413,145600
1985-06-25,0.000000,0.630208,0.609375,0.619792,0.001401,240000
1985-06-26,0.000000,0.614583,0.604167,0.604167,0.001365,126400
1985-06-27,0.000000,0.614583,0.604167,0.604167,0.001365,144000
1985-06-28,0.000000,0.619792,0.598958,0.619792,0.001401,217600
1985-07-01,0.000000,0.625000,0.609375,0.625000,0.001413,179200
1985-07-02,0.000000,0.625000,0.614583,0.625000,0.001413,236800
1985-07-03,0.000000,0.619792,0.609375,0.609375,0.001377,486400
1985-07-05,0.000000,0.625000,0.609375,0.614583,0.001389,222400
1985-07-08,0.000000,0.619792,0.614583,0.619792,0.001401,91200
1985-07-09,0.000000,0.625000,0.614583,0.614583,0.001389,121600
1985-07-10,0.000000,0.619792,0.614583,0.614583,0.001389,131200
1985-07-11,0.000000,0.614583,0.609375,0.614583,0.001389,494400
1985-07-12,0.000000,0.614583,0.609375,0.609375,0.001377,211200
1985-07-15,0.000000,0.619792,0.609375,0.619792,0.001401,712000
1985-07-16,0.000000,0.630208,0.619792,0.630208,0.001424,211200
1985-07-17,0.000000,0.640625,0.625000,0.640625,0.001448,448000
