Date,Open,High,Low,Close,Adj Close,Volume
2013-10-16,38.000000,39.639999,35.060001,37.160000,37.160000,13954000
2013-10-17,37.130001,42.000000,37.099998,41.599998,41.599998,2936900
2013-10-18,43.700001,44.990002,43.590000,44.389999,44.389999,1190900
2013-10-21,49.000000,49.000000,45.389999,46.240002,46.240002,998800
2013-10-22,47.959999,48.000000,41.770000,42.950001,42.950001,1133000
2013-10-23,42.470001,42.930000,39.570000,40.150002,40.150002,953500
2013-10-24,40.150002,43.340000,40.150002,43.150002,43.150002,591600
2013-10-25,44.000000,44.619999,40.599998,43.000000,43.000000,392200
2013-10-28,43.250000,43.250000,40.110001,40.470001,40.470001,340200
2013-10-29,40.480000,41.000000,38.009998,38.720001,38.720001,528400
2013-10-30,38.619999,39.000000,36.820000,37.200001,37.200001,641500
2013-10-31,36.900002,39.490002,35.000000,38.910000,38.910000,1275500
2013-11-01,39.000000,40.299999,37.549999,38.580002,38.580002,401100
2013-11-04,39.040001,39.919998,37.500000,38.930000,38.930000,264500
2013-11-05,39.000000,39.560001,37.900002,38.189999,38.189999,281100
2013-11-06,38.759998,38.880001,37.799999,38.639999,38.639999,189600
2013-11-07,38.639999,38.700001,37.680000,38.110001,38.110001,260600
2013-11-08,38.150002,40.619999,38.150002,40.540001,40.540001,504300
2013-11-11,40.230000,40.590000,37.090000,37.189999,37.189999,720100
2013-11-12,37.639999,37.639999,36.599998,37.099998,37.099998,279700
2013-11-13,37.000000,38.770000,36.750000,38.709999,38.709999,184700
2013-11-14,39.049999,39.049999,38.360001,38.849998,38.849998,110900
2013-11-15,39.439999,41.049999,38.480000,38.590000,38.590000,365900
2013-11-18,38.599998,40.790001,38.250000,38.529999,38.529999,295100
2013-11-19,38.250000,38.320000,36.810001,37.009998,37.009998,272500
2013-11-20,37.750000,38.619999,36.750000,36.930000,36.930000,251800
2013-11-21,37.160000,37.990002,36.849998,37.549999,37.549999,418200
2013-11-22,39.439999,39.700001,37.830002,38.150002,38.150002,775500
2013-11-25,39.250000,40.750000,38.459999,39.490002,39.490002,83800
2013-11-26,38.410000,42.470001,38.400002,42.130001,42.130001,993700
2013-11-27,42.439999,43.689999,41.020000,41.910000,41.910000,521800
2013-11-29,42.290001,42.590000,39.730000,40.490002,40.490002,443600
2013-12-02,40.029999,42.220001,40.029999,41.220001,41.220001,390100
2013-12-03,40.330002,42.270000,39.990002,40.209999,40.209999,743700
2013-12-04,40.349998,41.889999,39.950001,40.139999,40.139999,825000
2013-12-05,40.490002,41.480000,40.029999,40.980000,40.980000,1115000
2013-12-06,43.220001,44.299999,38.500000,40.049999,40.049999,3305300
2013-12-09,40.040001,40.080002,37.820000,38.080002,38.080002,1406100
2013-12-10,38.080002,39.480000,37.980000,38.310001,38.310001,610200
2013-12-11,38.400002,38.910000,37.779999,37.880001,37.880001,507900
2013-12-12,37.700001,38.279999,37.400002,37.520000,37.520000,472000
2013-12-13,37.830002,37.860001,36.669998,36.930000,36.930000,751700
2013-12-16,36.970001,37.090000,32.560001,34.169998,34.169998,3465100
2013-12-17,34.310001,34.310001,32.880001,34.060001,34.060001,1625800
2013-12-18,33.220001,34.150002,32.599998,33.570000,33.570000,1090000
2013-12-19,33.200001,33.320000,32.049999,32.939999,32.939999,988000
2013-12-20,33.000000,33.990002,32.250000,33.689999,33.689999,2274700
2013-12-23,33.599998,33.900002,32.529999,32.700001,32.700001,643300
2013-12-24,32.900002,32.980000,32.590000,32.830002,32.830002,489300
2013-12-26,32.750000,33.490002,32.080002,32.310001,32.310001,459600
2013-12-27,32.150002,32.410000,31.559999,31.860001,31.860001,561500
2013-12-30,31.799999,32.400002,31.430000,31.879999,31.879999,528500
2013-12-31,32.070000,32.230000,31.629999,32.099998,32.099998,544700
2014-01-02,32.080002,32.430000,31.900000,32.330002,32.330002,392800
2014-01-03,32.349998,35.500000,32.000000,35.169998,35.169998,1604900
2014-01-06,35.020000,35.590000,34.139999,34.860001,34.860001,882100
2014-01-07,34.689999,34.910000,33.700001,34.340000,34.340000,807800
2014-01-08,34.279999,35.000000,33.799999,34.169998,34.169998,780300
2014-01-09,34.070000,34.380001,32.110001,32.630001,32.630001,925100
2014-01-10,32.630001,32.730000,31.500000,32.529999,32.529999,974500
2014-01-13,32.910000,33.099998,32.470001,33.070000,33.070000,609600
2014-01-14,33.090000,33.759998,32.910000,33.740002,33.740002,794200
2014-01-15,33.290001,33.500000,28.709999,32.020000,32.020000,5051900
2014-01-16,32.000000,32.360001,31.309999,31.940001,31.940001,1326000
2014-01-17,31.900000,31.990000,31.320000,31.500000,31.500000,916700
2014-01-21,31.600000,31.889999,31.219999,31.760000,31.760000,622400
2014-01-22,31.959999,31.969999,31.139999,31.290001,31.290001,468900
2014-01-23,31.889999,32.080002,31.250000,31.620001,31.620001,649700
2014-01-24,31.410000,32.009998,30.910000,31.889999,31.889999,556100
2014-01-27,31.820000,31.889999,30.580000,31.090000,31.090000,397200
2014-01-28,31.110001,31.570000,30.900000,31.020000,31.020000,197700
2014-01-29,30.709999,31.180000,30.500000,31.000000,31.000000,427500
2014-01-30,31.260000,32.639999,31.260000,32.250000,32.250000,525200
2014-01-31,31.980000,32.389999,31.750000,31.790001,31.790001,347400
2014-02-03,31.760000,31.780001,29.190001,29.459999,29.459999,1010000
2014-02-04,29.549999,30.110001,28.809999,30.040001,30.040001,863800
2014-02-05,29.680000,30.379999,29.469999,29.760000,29.760000,540800
2014-02-06,29.959999,30.730000,29.840000,30.549999,30.549999,240900
2014-02-07,30.750000,30.969999,30.559999,30.809999,30.809999,286700
2014-02-10,30.900000,31.030001,30.690001,30.850000,30.850000,154300
2014-02-11,30.900000,31.340000,30.450001,31.020000,31.020000,228100
