Date,Open,High,Low,Close,Adj Close,Volume
2019-07-26,8.250000,9.240000,8.000000,9.100000,9.100000,2499900
2019-07-29,9.230000,11.030000,9.090000,10.000000,10.000000,777700
2019-07-30,10.210000,10.780000,10.100000,10.100000,10.100000,697800
2019-07-31,10.140000,10.450000,10.000000,10.020000,10.020000,305300
2019-08-01,9.990000,10.260000,9.110000,9.400000,9.400000,529800
2019-08-02,9.980000,9.980000,9.120000,9.280000,9.280000,142800
2019-08-05,8.660000,8.890000,8.250000,8.750000,8.750000,385300
2019-08-06,8.960000,9.240000,8.130000,8.230000,8.230000,184200
2019-08-07,8.150000,8.680000,8.122000,8.470000,8.470000,120100
2019-08-08,8.570000,8.980000,8.490000,8.900000,8.900000,67100
2019-08-09,9.080000,9.150000,8.550000,8.700000,8.700000,259300
2019-08-12,7.990000,7.990000,5.190000,7.290000,7.290000,491700
2019-08-13,7.270000,7.690000,6.560000,6.940000,6.940000,457900
2019-08-14,6.750000,6.850000,5.940000,6.460000,6.460000,256700
2019-08-15,6.310000,6.487000,5.960000,6.160000,6.160000,408100
2019-08-16,6.220000,6.883000,6.220000,6.640000,6.640000,198100
2019-08-19,6.550000,6.558000,6.150000,6.150000,6.150000,141200
2019-08-20,6.200000,6.380000,6.000000,6.040000,6.040000,122000
2019-08-21,6.100000,6.280000,5.965000,6.070000,6.070000,67200
2019-08-22,6.210000,6.330000,5.820000,5.900000,5.900000,133100
2019-08-23,5.500000,5.900000,5.200000,5.660000,5.660000,85400
2019-08-26,5.640000,5.780000,5.490000,5.650000,5.650000,36600
2019-08-27,5.740000,5.740000,4.800000,4.860000,4.860000,223100
2019-08-28,5.000000,5.140000,4.000000,4.040000,4.040000,302800
2019-08-29,4.190000,4.410000,3.890000,4.040000,4.040000,511500
2019-08-30,4.040000,4.060000,3.800000,4.000000,4.000000,293500
2019-09-03,3.960000,4.140000,3.920000,4.090000,4.090000,240200
2019-09-04,4.360000,4.540000,4.110000,4.190000,4.190000,250800
2019-09-05,4.250000,5.150000,4.225000,4.960000,4.960000,553600
2019-09-06,5.230000,5.680000,4.920000,5.230000,5.230000,524600
2019-09-09,5.410000,5.820000,5.394000,5.460000,5.460000,336200
2019-09-10,5.350000,6.180000,5.230000,5.750000,5.750000,372300
2019-09-11,5.980000,6.005000,5.536000,5.580000,5.580000,256700
2019-09-12,5.650000,5.730000,5.270000,5.320000,5.320000,394000
2019-09-13,5.250000,5.510000,5.030000,5.130000,5.130000,108600
2019-09-16,5.620000,5.620000,5.130000,5.220000,5.220000,274200
2019-09-17,5.120000,5.350000,4.860000,5.000000,5.000000,295200
2019-09-18,4.850000,5.270000,4.810000,5.030000,5.030000,238800
2019-09-19,5.040000,5.290000,4.850000,5.100000,5.100000,610000
2019-09-20,5.010000,5.190000,4.900000,4.920000,4.920000,120900
2019-09-23,4.850000,4.990000,4.820000,4.920000,4.920000,61000
2019-09-24,4.800000,4.870000,4.710000,4.770000,4.770000,108600
2019-09-25,4.710000,4.950000,4.630000,4.810000,4.810000,93200
2019-09-26,4.920000,4.930000,4.820000,4.920000,4.920000,45300
2019-09-27,4.900000,5.330000,4.820000,5.230000,5.230000,194200
2019-09-30,5.250000,5.250000,5.020000,5.170000,5.170000,54700
2019-10-01,5.110000,5.240000,5.030000,5.140000,5.140000,71500
2019-10-02,5.140000,5.200000,5.040000,5.180000,5.180000,113000
2019-10-03,5.120000,5.200000,5.060000,5.180000,5.180000,39400
2019-10-04,5.200000,5.370000,5.110000,5.250000,5.250000,82800
2019-10-07,5.370000,5.390000,5.170000,5.300000,5.300000,88500
2019-10-08,5.280000,5.350000,5.130000,5.210000,5.210000,32400
2019-10-09,5.210000,5.370000,5.130000,5.200000,5.200000,36600
2019-10-10,5.130000,5.470000,5.060000,5.250000,5.250000,150400
2019-10-11,5.330000,5.850000,5.300000,5.760000,5.760000,322600
2019-10-14,5.690000,5.710000,5.400000,5.450000,5.450000,74300
2019-10-15,5.400000,5.690000,5.390000,5.670000,5.670000,79600
2019-10-16,5.560000,5.620000,5.350000,5.360000,5.360000,314200
2019-10-17,5.430000,5.430000,5.060000,5.140000,5.140000,151200
2019-10-18,5.200000,5.340000,4.740000,4.900000,4.900000,246300
2019-10-21,4.840000,5.280000,4.840000,5.200000,5.200000,121800
2019-10-22,5.220000,5.340000,4.850000,4.930000,4.930000,217400
2019-10-23,4.960000,5.170000,4.880000,4.970000,4.970000,129600
2019-10-24,5.040000,5.330000,4.956000,5.000000,5.000000,174000
2019-10-25,5.020000,5.170000,4.830000,5.060000,5.060000,115100
2019-10-28,5.170000,5.170000,4.670000,4.730000,4.730000,145800
2019-10-29,4.750000,5.000000,4.730000,4.900000,4.900000,170500
2019-10-30,4.900000,5.130000,4.800000,4.850000,4.850000,129300
2019-10-31,4.780000,5.100000,4.770000,4.900000,4.900000,170600
2019-11-01,4.980000,5.690000,4.900000,5.420000,5.420000,495800
2019-11-04,5.500000,5.800000,5.447000,5.760000,5.760000,263300
2019-11-05,5.820000,5.870000,5.539000,5.820000,5.820000,89700
2019-11-06,5.870000,5.970000,5.560000,5.670000,5.670000,343600
2019-11-07,5.540000,5.780000,5.410000,5.530000,5.530000,90500
2019-11-08,5.500000,5.640000,5.300000,5.380000,5.380000,88800
2019-11-11,5.440000,5.530000,5.300000,5.530000,5.530000,29500
2019-11-12,5.420000,5.550000,5.300000,5.330000,5.330000,26300
2019-11-13,5.240000,5.415000,5.180000,5.320000,5.320000,82100
