Date,Open,High,Low,Close,Adj Close,Volume
2014-10-02,36.000000,39.430000,34.490002,37.720001,37.720001,16000600
2014-10-03,36.250000,36.799999,31.200001,32.180000,32.180000,4069700
2014-10-06,32.330002,33.290001,32.000000,32.799999,32.799999,802900
2014-10-07,33.000000,34.549999,32.689999,32.820000,32.820000,937500
2014-10-08,32.820000,32.950001,30.650000,31.049999,31.049999,1020200
2014-10-09,30.850000,31.620001,26.540001,26.709999,26.709999,1775000
2014-10-10,26.940001,27.280001,24.250000,25.870001,25.870001,1337900
2014-10-13,25.570000,26.900000,25.480000,26.410000,26.410000,479100
2014-10-14,26.750000,26.840000,25.736000,26.180000,26.180000,800900
2014-10-15,25.600000,25.600000,22.561001,24.670000,24.670000,1361200
2014-10-16,23.959999,24.600000,23.270000,23.889999,23.889999,620700
2014-10-17,24.389999,28.870001,24.000000,26.870001,26.870001,801400
2014-10-20,27.450001,30.290001,26.799999,30.020000,30.020000,683800
2014-10-21,30.350000,32.150002,29.610001,30.889999,30.889999,941900
2014-10-22,30.330000,30.341999,27.150000,27.900000,27.900000,952500
2014-10-23,28.049999,28.235001,25.745001,26.010000,26.010000,946200
2014-10-24,26.059999,26.280001,23.900000,25.160000,25.160000,1005900
2014-10-27,26.290001,26.900000,25.600000,26.049999,26.049999,1538900
2014-10-28,26.299999,26.400000,25.270000,25.690001,25.690001,378800
2014-10-29,26.620001,26.860001,25.000000,25.059999,25.059999,341500
2014-10-30,24.850000,25.830000,23.780001,24.400000,24.400000,758400
2014-10-31,24.920000,25.430000,24.549999,25.100000,25.100000,827100
2014-11-03,25.150000,26.049999,25.000000,25.719999,25.719999,1020700
2014-11-04,25.690001,26.438000,25.250000,26.030001,26.030001,387500
2014-11-05,26.040001,26.299999,25.139999,25.440001,25.440001,420500
2014-11-06,25.620001,26.090000,25.200001,25.700001,25.700001,313700
2014-11-07,25.670000,27.450001,25.620001,26.010000,26.010000,451500
2014-11-10,26.000000,28.120001,25.770000,28.100000,28.100000,616300
2014-11-11,27.000000,27.270000,23.510000,23.660000,23.660000,2331500
2014-11-12,23.510000,23.840000,20.910000,21.309999,21.309999,1659900
2014-11-13,21.565001,22.740000,21.490000,22.010000,22.010000,1143900
2014-11-14,21.660000,22.750000,21.500000,21.570000,21.570000,826300
2014-11-17,21.600000,22.290001,21.420000,21.570000,21.570000,554100
2014-11-18,21.830000,22.250000,21.400000,22.080000,22.080000,483800
2014-11-19,22.120001,22.740000,21.690001,22.290001,22.290001,713500
2014-11-20,22.080000,23.100000,22.000000,23.000000,23.000000,457400
2014-11-21,22.740000,23.153000,22.250000,22.280001,22.280001,654100
2014-11-24,22.250000,23.100000,22.219999,23.000000,23.000000,189800
2014-11-25,23.379999,24.308001,22.990000,23.270000,23.270000,456500
2014-11-26,23.240000,23.950001,23.070000,23.900000,23.900000,166200
2014-11-28,24.040001,24.280001,23.620001,24.260000,24.260000,136800
2014-12-01,23.969999,23.996000,22.980000,23.010000,23.010000,425800
2014-12-02,23.030001,23.129999,21.760000,22.049999,22.049999,803400
2014-12-03,22.020000,22.570000,21.100000,21.150000,21.150000,320400
2014-12-04,21.230000,21.559999,19.049999,20.900000,20.900000,876900
2014-12-05,20.700001,21.030001,20.389999,20.730000,20.730000,617300
2014-12-08,20.559999,21.340000,20.110001,21.100000,21.100000,407100
2014-12-09,20.360001,21.129999,20.290001,21.000000,21.000000,345300
2014-12-10,20.780001,20.980000,19.500000,20.129999,20.129999,418400
2014-12-11,20.230000,20.684999,19.360001,19.379999,19.379999,748700
2014-12-12,19.180000,19.200001,16.740000,18.440001,18.440001,2432300
2014-12-15,18.889999,19.820000,18.270000,19.160000,19.160000,876400
2014-12-16,19.400000,19.562000,18.389999,18.400000,18.400000,461700
2014-12-17,18.980000,21.400000,18.570000,20.709999,20.709999,947700
2014-12-18,21.170000,21.170000,19.590000,20.809999,20.809999,867800
2014-12-19,20.750000,21.080000,19.799999,20.059999,20.059999,2301400
2014-12-22,20.700001,21.290001,19.809999,20.379999,20.379999,945800
2014-12-23,20.620001,20.950001,20.184000,20.790001,20.790001,531500
2014-12-24,20.709999,20.770000,20.006001,20.440001,20.440001,171900
2014-12-26,20.400000,20.889999,20.190001,20.309999,20.309999,144100
