Date,Open,High,Low,Close,Adj Close,Volume
1985-01-29,9.250000,9.375000,9.000000,9.312500,4.132162,251000
1985-01-30,9.500000,9.937500,9.500000,9.687500,4.298558,1123800
1985-01-31,9.562500,9.812500,9.437500,9.500000,4.215359,556000
1985-02-01,9.375000,9.437500,9.000000,9.375000,4.159895,469000
1985-02-04,9.312500,9.625000,9.250000,9.437500,4.187627,276400
1985-02-05,9.500000,9.625000,9.437500,9.500000,4.215359,278200
1985-02-06,9.562500,9.937500,9.312500,9.437500,4.187627,180000
1985-02-07,9.375000,10.062500,9.375000,10.000000,4.437221,480200
1985-02-08,10.125000,10.125000,9.750000,9.812500,4.354023,174600
1985-02-11,9.812500,9.937500,9.625000,9.812500,4.354023,257800
1985-02-12,9.812500,9.937500,9.750000,9.875000,4.381756,148800
1985-02-13,9.812500,10.312500,9.812500,10.250000,4.548153,342200
1985-02-14,10.312500,10.437500,10.250000,10.312500,4.575883,372400
1985-02-15,10.187500,10.312500,9.812500,9.937500,4.409489,289200
1985-02-19,9.812500,9.875000,9.625000,9.687500,4.298558,211800
1985-02-20,9.750000,10.000000,9.625000,9.937500,4.409489,237600
1985-02-21,10.000000,10.000000,9.750000,9.812500,4.354023,93600
1985-02-22,9.625000,9.687500,9.437500,9.500000,4.215359,162400
1985-02-25,9.375000,9.500000,9.187500,9.437500,4.187627,243600
1985-02-26,9.437500,9.625000,9.312500,9.562500,4.243092,245800
1985-02-27,9.500000,9.687500,9.437500,9.562500,4.243092,205000
1985-02-28,9.500000,9.687500,9.437500,9.687500,4.298558,121600
1985-03-01,9.750000,9.937500,9.687500,9.875000,4.381756,261400
1985-03-04,9.937500,9.937500,9.750000,9.937500,4.409489,102000
1985-03-05,9.875000,9.937500,9.625000,9.687500,4.298558,171400
1985-03-06,9.625000,9.875000,9.625000,9.750000,4.326290,164000
1985-03-07,9.750000,9.812500,9.625000,9.750000,4.326290,50200
1985-03-08,9.625000,9.687500,9.625000,9.625000,4.270826,145600
1985-03-11,9.562500,9.750000,9.562500,9.562500,4.243092,49000
1985-03-12,9.437500,9.625000,9.375000,9.562500,4.243092,87600
1985-03-13,9.500000,9.687500,9.500000,9.500000,4.215359,49400
1985-03-14,9.375000,9.500000,9.250000,9.437500,4.187627,53200
1985-03-15,9.312500,9.375000,9.250000,9.312500,4.132162,47000
1985-03-18,9.312500,9.437500,9.312500,9.312500,4.132162,67200
1985-03-19,9.187500,9.500000,9.187500,9.500000,4.215359,78200
1985-03-20,9.437500,9.875000,9.437500,9.812500,4.354023,224200
1985-03-21,9.750000,9.875000,9.437500,9.500000,4.215359,420000
1985-03-22,9.375000,9.500000,9.250000,9.375000,4.159895,60200
1985-03-25,9.250000,9.312500,8.125000,8.125000,3.605243,408800
1985-03-26,8.000000,8.750000,7.937500,8.687500,3.854836,383400
1985-03-27,8.750000,9.000000,8.687500,9.000000,3.993499,214600
1985-03-28,9.062500,9.312500,9.000000,9.000000,3.993499,189200
1985-03-29,9.062500,9.062500,8.750000,8.937500,3.965766,54200
1985-04-01,8.875000,9.000000,8.812500,8.937500,3.965766,97000
1985-04-02,9.000000,9.000000,8.812500,8.875000,3.938034,76600
1985-04-03,8.750000,8.750000,8.375000,8.437500,3.743905,254200
1985-04-04,8.437500,8.625000,8.312500,8.562500,3.799371,184200
1985-04-08,8.500000,8.562500,8.312500,8.437500,3.743905,134600
1985-04-09,8.437500,8.437500,8.312500,8.375000,3.716173,31800
1985-04-10,8.500000,8.750000,8.437500,8.687500,3.854836,105200
1985-04-11,8.812500,9.062500,8.812500,8.875000,3.938034,169000
1985-04-12,8.875000,8.875000,8.750000,8.750000,3.882568,16200
1985-04-15,8.812500,8.875000,8.562500,8.687500,3.854836,44200
1985-04-16,8.687500,8.687500,8.500000,8.500000,3.771639,56400
1985-04-17,8.500000,8.562500,8.437500,8.500000,3.771639,32800
1985-04-18,8.500000,8.625000,8.312500,8.375000,3.716173,61400
1985-04-19,8.437500,8.437500,8.125000,8.375000,3.716173,148800
1985-04-22,8.375000,8.375000,7.437500,7.437500,3.300183,960200
1985-04-23,7.437500,7.500000,6.187500,6.687500,2.967391,1355600
1985-04-24,6.750000,6.875000,6.625000,6.875000,3.050590,590000
1985-04-25,6.812500,6.812500,6.625000,6.687500,2.967391,352600
1985-04-26,6.687500,6.750000,6.250000,6.250000,2.773263,368800
1985-04-29,6.312500,6.312500,5.625000,5.750000,2.551401,648200
1985-04-30,5.625000,5.875000,5.375000,5.875000,2.606866,927800
1985-05-01,5.937500,5.937500,5.625000,5.750000,2.551401,585000
1985-05-02,5.812500,5.875000,5.750000,5.750000,2.551401,255400
1985-05-03,5.812500,6.187500,5.812500,6.062500,2.690065,391400
1985-05-06,6.125000,6.312500,6.125000,6.250000,2.773263,245200
1985-05-07,6.187500,6.375000,6.187500,6.250000,2.773263,205800
1985-05-08,6.250000,6.375000,6.250000,6.375000,2.828727,146200
1985-05-09,6.312500,6.562500,6.312500,6.562500,2.911926,210000
1985-05-10,6.562500,7.000000,6.562500,6.812500,3.022858,533800
1985-05-13,6.875000,7.125000,6.875000,6.937500,3.078321,294000
1985-05-14,6.937500,7.000000,6.687500,6.687500,2.967391,507600
1985-05-15,6.500000,6.625000,6.375000,6.500000,2.884194,257400
1985-05-16,6.500000,6.750000,6.500000,6.625000,2.939659,168200
1985-05-17,6.625000,6.875000,6.625000,6.750000,2.995125,223800
1985-05-20,6.875000,7.125000,6.875000,6.875000,3.050590,308000
1985-05-21,6.875000,6.937500,6.750000,6.812500,3.022858,132200
1985-05-22,6.875000,6.937500,6.750000,6.812500,3.022858,529000
1985-05-23,6.812500,6.937500,6.812500,6.875000,3.050590,109800
1985-05-24,6.875000,6.937500,6.812500,6.875000,3.050590,180200
1985-05-28,6.875000,6.937500,6.812500,6.812500,3.022858,94200
1985-05-29,6.875000,6.875000,6.750000,6.812500,3.022858,49600
1985-05-30,6.687500,6.750000,6.500000,6.500000,2.884194,181000
1985-05-31,6.500000,6.500000,6.312500,6.375000,2.828727,252600
1985-06-03,6.437500,6.625000,6.437500,6.625000,2.939659,106800
1985-06-04,6.937500,6.937500,6.500000,6.937500,3.125499,184000
