Date,Open,High,Low,Close,Adj Close,Volume
2003-11-20,32.799999,33.700001,32.500000,32.540001,32.540001,3690400
2003-11-21,32.520000,32.799999,32.400002,32.599998,32.599998,446000
2003-11-24,32.540001,33.000000,32.520000,33.000000,33.000000,208200
2003-11-25,32.900002,33.099998,32.500000,32.540001,32.540001,86200
2003-11-26,32.400002,33.099998,32.299999,32.799999,32.799999,95600
2003-11-28,32.700001,33.220001,32.639999,33.220001,33.220001,48500
2003-12-01,33.099998,33.439999,32.799999,33.419998,33.419998,133600
2003-12-02,33.220001,33.500000,32.880001,33.500000,33.500000,84400
2003-12-03,33.700001,34.400002,33.419998,33.520000,33.520000,202900
2003-12-04,33.599998,33.860001,33.340000,33.840000,33.840000,112200
2003-12-05,33.820000,34.000000,33.500000,34.000000,34.000000,271200
2003-12-08,34.000000,34.459999,33.799999,34.400002,34.400002,124200
2003-12-09,34.599998,34.700001,33.900002,33.980000,33.980000,84900
2003-12-10,33.919998,34.599998,33.900002,34.299999,34.299999,168000
2003-12-11,34.099998,34.500000,33.799999,34.240002,34.240002,43300
2003-12-12,34.500000,35.779999,34.380001,35.099998,35.099998,144700
2003-12-15,35.400002,35.599998,34.619999,34.799999,34.799999,150500
2003-12-16,34.599998,34.959999,34.500000,34.740002,34.740002,41300
2003-12-17,34.740002,35.200001,34.619999,34.939999,34.939999,69600
2003-12-18,34.740002,36.020000,34.619999,35.520000,35.520000,226900
2003-12-19,35.500000,35.840000,35.099998,35.299999,35.299999,46100
2003-12-22,35.500000,35.500000,34.900002,35.020000,35.020000,41800
2003-12-23,35.060001,35.060001,34.000000,34.200001,34.200001,42900
2003-12-24,34.099998,34.700001,34.099998,34.599998,34.599998,40700
2003-12-26,34.500000,36.200001,34.500000,36.000000,36.000000,98200
2003-12-29,36.500000,36.700001,35.639999,35.959999,35.959999,88600
2003-12-30,35.980000,36.099998,35.360001,35.720001,35.720001,83800
2003-12-31,35.720001,37.080002,35.720001,36.799999,36.799999,207900
2004-01-02,37.299999,38.500000,37.139999,37.680000,37.680000,195800
2004-01-05,37.939999,38.000000,36.900002,37.099998,37.099998,158200
2004-01-06,37.220001,38.740002,37.220001,38.500000,38.500000,269200
2004-01-07,38.500000,38.500000,37.680000,37.860001,37.860001,71500
2004-01-08,38.020000,38.299999,37.700001,37.880001,37.880001,56400
2004-01-09,38.400002,38.939999,38.299999,38.500000,38.500000,112300
2004-01-12,39.000000,39.000000,38.000000,38.240002,38.240002,40200
2004-01-13,38.799999,40.400002,38.560001,40.200001,40.200001,168200
2004-01-14,40.200001,40.439999,39.459999,39.799999,39.799999,131600
2004-01-15,40.200001,40.240002,39.299999,39.660000,39.660000,89800
2004-01-16,39.700001,39.700001,38.500000,38.560001,38.560001,92900
2004-01-20,38.799999,39.520000,38.459999,39.400002,39.400002,137300
