Date,Open,High,Low,Close,Adj Close,Volume
2007-12-12,16.500000,18.000000,14.000000,16.799999,9.667939,11192700
2007-12-13,16.240000,17.980000,15.290000,16.650000,9.581617,2492700
2007-12-14,16.500000,16.900000,14.900000,15.400000,8.862277,1315500
2007-12-17,14.770000,15.500000,12.880000,13.660000,7.860955,1054000
2007-12-18,13.900000,14.300000,12.900000,13.400000,7.711332,975100
2007-12-19,13.430000,13.750000,12.700000,12.700000,7.308501,847600
2007-12-20,12.700000,15.000000,12.000000,14.100000,8.114163,749700
2007-12-21,14.400000,15.160000,13.900000,14.400000,8.286806,898600
2007-12-24,14.400000,15.040000,14.000000,14.690000,8.453693,110300
2007-12-26,14.690000,14.800000,14.050000,14.230000,8.188975,469500
2007-12-27,14.180000,14.260000,13.640000,13.750000,7.912749,127700
2007-12-28,13.750000,14.450000,13.300000,14.300000,8.229259,238000
2007-12-31,14.500000,14.860000,14.000000,14.230000,8.188975,346100
2008-01-02,14.230000,14.710000,13.870000,14.110000,8.119919,164400
2008-01-03,14.500000,14.660000,14.100000,14.160000,8.148693,250000
2008-01-04,14.000000,14.000000,13.500000,13.500000,7.768879,206000
2008-01-07,13.500000,13.750000,13.110000,13.450000,7.740105,166100
2008-01-08,13.480000,13.750000,13.030000,13.300000,7.653785,218800
2008-01-09,13.170000,13.500000,12.260000,12.730000,7.325767,349700
2008-01-10,12.260000,12.940000,11.950000,12.150000,6.991991,336200
2008-01-11,12.160000,12.250000,11.280000,11.400000,6.560387,378400
2008-01-14,11.330000,11.500000,10.010000,10.700000,6.157558,473800
2008-01-15,10.700000,10.700000,9.100000,9.300000,5.351894,476100
2008-01-16,9.150000,10.170000,9.140000,9.900000,5.697179,458000
2008-01-17,10.100000,10.480000,8.960000,9.050000,5.208028,639700
2008-01-18,9.170000,9.700000,8.730000,8.760000,5.041141,471000
2008-01-22,7.760000,8.860000,7.750000,8.310000,4.782178,579900
2008-01-23,8.330000,9.400000,8.020000,9.020000,5.190763,396200
2008-01-24,9.110000,9.810000,9.060000,9.390000,5.403688,357400
2008-01-25,9.520000,10.400000,9.520000,10.350000,5.956143,229300
2008-01-28,10.340000,11.750000,10.000000,11.450000,6.589159,512000
2008-01-29,11.620000,12.890000,11.540000,12.690000,7.302747,435800
2008-01-30,12.770000,13.470000,12.750000,13.100000,7.538692,585700
2008-01-31,12.500000,13.200000,12.180000,12.950000,7.452370,187600
2008-02-01,13.010000,13.860000,12.900000,13.650000,7.855200,352100
2008-02-04,13.930000,13.930000,12.660000,13.130000,7.555957,285400
2008-02-05,13.000000,13.020000,12.250000,12.500000,7.193408,136600
2008-02-06,12.800000,12.800000,12.170000,12.400000,7.135859,225000
2008-02-07,12.330000,12.830000,12.210000,12.820000,7.377559,89500
