Date,Open,High,Low,Close,Adj Close,Volume
1997-07-30,20.666666,21.416666,20.666666,21.000000,17.360666,4703100
1997-07-31,21.083334,21.250000,20.666666,20.666666,17.085098,1207000
1997-08-01,20.666666,20.750000,20.500000,20.500000,16.947313,587700
1997-08-04,20.500000,20.583334,20.416666,20.500000,16.947313,219700
1997-08-05,20.416666,20.416666,20.250000,20.333334,16.809532,160000
1997-08-06,20.416666,20.500000,20.333334,20.500000,16.947313,53200
1997-08-07,21.416666,21.666666,21.333334,21.500000,17.774015,298900
1997-08-08,21.500000,21.583334,20.916666,20.916666,17.291773,381300
1997-08-11,20.833334,21.000000,20.500000,20.583334,17.016207,411000
1997-08-12,21.166666,21.166666,20.666666,20.750000,17.153990,81000
1997-08-13,23.083334,23.083334,22.416666,22.833334,18.876278,454600
1997-08-14,22.666666,22.666666,22.583334,22.666666,18.738495,158700
1997-08-15,22.333334,22.333334,21.416666,21.416666,17.705122,79000
1997-08-18,21.416666,21.416666,20.416666,20.500000,16.947313,218700
1997-08-19,20.500000,20.666666,20.333334,20.500000,16.947313,283000
1997-08-20,21.250000,21.333334,21.000000,21.000000,17.360666,187600
1997-08-21,21.666666,21.666666,21.250000,21.250000,17.567339,240900
1997-08-22,21.250000,21.416666,20.666666,20.750000,17.153990,440800
1997-08-25,24.500000,24.500000,23.833334,23.916666,19.771868,616600
1997-08-26,23.916666,23.916666,22.916666,23.166666,19.151844,243700
1997-08-27,23.166666,23.166666,22.666666,23.000000,19.014059,122200
1997-08-28,22.333334,22.333334,21.833334,21.833334,18.049578,201000
1997-08-29,21.333334,21.416666,20.916666,20.916666,17.291773,223500
1997-09-02,18.333334,19.916666,18.333334,19.750000,16.327290,241000
1997-09-03,20.250000,20.666666,19.833334,20.250000,16.740641,81600
1997-09-04,19.666666,20.250000,19.666666,20.000000,16.533966,47100
1997-09-05,20.000000,20.000000,19.916666,19.916666,16.465075,10600
1997-09-08,19.916666,20.166666,19.916666,20.166666,16.671751,10500
1997-09-09,21.333334,21.333334,21.333334,21.333334,17.636230,0
1997-09-10,20.666666,20.833334,20.166666,20.166666,16.671751,60000
1997-09-11,20.500000,20.500000,20.166666,20.333334,16.809532,13900
1997-09-12,20.250000,20.583334,20.250000,20.583334,17.016207,22600
1997-09-15,20.583334,20.916666,20.583334,20.916666,17.291773,15300
1997-09-16,20.750000,20.750000,20.583334,20.583334,17.016207,34300
1997-09-17,20.416666,20.583334,20.416666,20.500000,16.947313,100000
1997-09-18,20.000000,20.000000,19.833334,20.000000,16.533966,30000
1997-09-19,20.000000,20.083334,19.833334,20.083334,16.602858,14200
1997-09-22,19.333334,19.750000,19.333334,19.750000,16.327290,22600
1997-09-23,19.583334,19.583334,19.416666,19.416666,16.051725,64800
1997-09-24,19.000000,19.333334,18.916666,19.333334,15.982835,42400
1997-09-25,19.666666,20.166666,19.666666,20.166666,16.671751,12400
1997-09-26,20.333334,20.666666,20.333334,20.500000,16.947313,23800
1997-09-29,20.666666,20.666666,20.416666,20.500000,16.947313,36400
1997-09-30,19.833334,20.000000,19.833334,19.916666,16.465075,27300
1997-10-01,20.083334,20.083334,20.000000,20.083334,16.602858,4000
1997-10-02,20.000000,20.083334,20.000000,20.000000,16.533966,4800
1997-10-03,20.166666,20.166666,19.750000,19.750000,16.327290,17500
1997-10-06,19.666666,19.833334,19.666666,19.666666,16.258402,4000
1997-10-07,19.500000,19.583334,19.000000,19.000000,15.707267,47100
1997-10-08,19.000000,19.250000,18.916666,19.000000,15.707267,58200
1997-10-09,18.166666,18.416666,18.166666,18.416666,15.225027,38100
1997-10-10,18.333334,18.333334,18.250000,18.250000,15.087246,4600
1997-10-13,18.166666,18.166666,17.333334,17.416666,14.398330,155800
1997-10-14,17.333334,17.333334,16.916666,17.083334,14.122764,70300
1997-10-15,16.916666,17.000000,16.666666,16.666666,13.778304,27100
1997-10-16,17.500000,17.583334,16.833334,16.833334,13.916090,190800
1997-10-17,17.250000,17.333334,17.166666,17.333334,14.329438,41200
1997-10-20,17.000000,17.000000,16.916666,16.916666,13.984979,51700
1997-10-21,15.666667,16.666666,15.500000,16.416666,13.571630,83200
1997-10-22,16.000000,16.000000,15.250000,15.333333,12.676040,85500
1997-10-23,13.666667,14.500000,13.666667,13.916667,11.504886,134800
1997-10-24,14.666667,14.750000,13.833333,13.833333,11.435993,213000
1997-10-27,13.666667,13.750000,12.500000,12.500000,10.333729,46000
1997-10-28,12.000000,14.500000,11.666667,14.500000,11.987124,225400
1997-10-29,14.083333,14.250000,13.166667,13.333333,11.022645,124800
